C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data     07/08/2013  re-evaluated data																																																							
peakarea																																																							
filename	position (mm)	sample surface	validity	revalidity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Y	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	Fe a*2	S1	S2	S3	Mo inc	Mo coh
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000000.spe	0.04	8	0	1	0.018307	-0.003173	0.009958	0.093737	4040.59692	0.93	0	0	0	0	0	0	58	0	0	0	0	4	13	0	53	17	0	36	39	0	0	50	81	0	1196	5	266	0	0	0	0	0	13	10	39	12	42	40	6	0	0	0	0	6760	1668
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000001.spe	2.04	8	0	1	0.018303	-0.003173	0.009937	0.093737	8486.47266	1.22	14	10	9	10	25	8	46	0	153	0	40	0	16	13	1858	78	0	21	80	0	11	64	164	0	2057	0	638	0	0	0	22	0	0	5	14	0	19	41	0	48	0	0	0	13745	3807
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000002.spe	4.04	7.75	1	1	0.018303	-0.003173	0.009926	0.093737	13886.60059	1.39	0	0	14	12	17	0	34	41	1730	0	415	20	12	338	18283	266	0	347	289	21	0	110	128	109	2879	31	653	4	0	0	0	0	38	96	76	58	222	93	0	0	38	9	0	17152	4901
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000003.spe	6.04	7.66	1	1	0.018304	-0.003173	0.009918	0.093737	13101.14258	1.35	0	0	31	0	30	0	42	70	2205	0	508	30	24	370	20687	210	7	260	330	24	181	50	172	67	2655	54	750	0	0	0	0	0	54	64	102	54	0	16	63	110	55	0	0	14895	4977
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000004.spe	8.04	7.66	1	1	0.018303	-0.003173	0.00992	0.093737	10919.05176	1.42	22	6	26	0	19	0	44	59	1437	0	579	38	18	227	18784	123	0	25	99	4	0	32	11	43	1792	0	753	6	0	0	17	0	66	81	118	56	37	18	0	83	122	5	0	12033	4575
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000005.spe	10.04	7.68	1	1	0.018303	-0.003173	0.00992	0.093737	10713.16211	1.46	6	0	22	0	27	0	34	45	1482	0	389	21	16	260	16184	163	0	187	147	0	6	44	78	26	1828	174	759	0	0	0	0	52	58	48	22	54	11	94	7	148	102	0	1.33E+15	12219	4459
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000006.spe	12.04	7.72	1	1	0.018303	-0.003173	0.00992	0.093737	11130.44238	1.4	12	6	12	11	21	0	53	41	1453	0	369	20	15	328	18511	225	0	155	159	54	0	22	68	64	1874	151	843	8	0	0	0	19	16	65	55	66	38	26	0	75	37	0	0	12417	4591
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000007.spe	14.04	7.77	0	1	0.018304	-0.003173	0.00992	0.093737	9255.23535	1.32	0	0	0	18	0	0	67	15	501	0	195	5	8	141	8405	185	0	65	65	0	62	67	79	69	1834	49	675	0	0	0	7	12	39	35	42	33	0	0	0	95	0	0	1.55E+15	12064	4205
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000008.spe	16.04	7.81	0	1	0.018304	-0.003173	0.00992	0.093737	9913.20215	1.25	24	32	16	11	5	0	52	0	388	0	156	16	0	129	6804	95	0	87	120	0	0	61	0	0	1891	9	881	0	0	0	0	0	36	23	58	23	34	0	11	34	29	0	5.39E+14	13835	4665
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000009.spe	18.04	7.83	1	1	0.018304	-0.003173	0.00992	0.093737	11377.0293	1.32	0	0	0	0	22	0	44	13	702	0	210	9	24	146	8544	114	0	46	171	17	37	121	84	88	2426	0	898	0	0	0	0	38	0	9	31	6	47	46	0	0	43	6	0	16115	4995
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000010.spe	20.04	7.83	1	1	0.018304	-0.003173	0.00992	0.093737	13927.80078	1.27	4	13	12	13	47	4	47	29	1757	5	301	17	12	311	11440	129	0	273	436	10	24	134	187	0	2972	51	866	6	0	0	29	0	22	44	99	49	70	0	0	0	23	0	1.98E+15	19246	5244
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000011.spe	22.04	7.84	1	1	0.018304	-0.003173	0.00992	0.093737	15522.9209	1.39	0	0	18	0	27	0	9	52	1423	0	599	0	28	325	21241	234	0	271	328	11	111	63	263	97	2975	82	879	7	0	0	0	0	0	38	78	47	50	0	9	93	70	0	1.93E+15	20529	5243
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000012.spe	24.04	7.85	1	1	0.018304	-0.003173	0.00992	0.093737	16088.49219	1.49	18	18	25	0	34	0	39	29	1434	0	458	10	18	313	19370	365	0	283	352	57	135	190	204	55	3262	0	851	0	0	0	0	35	0	28	62	54	0	34	52	42	0	0	1.81E+15	21460	5645
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000013.spe	26.04	7.86	1	1	0.018304	-0.003173	0.00992	0.093737	17110.03906	1.4	7	0	0	0	25	0	24	46	1988	0	216	0	0	355	13762	238	0	560	698	0	37	124	346	77	4371	0	964	0	0	0	0	0	0	148	161	114	139	24	0	86	0	0	1.76E+15	23410	5924
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000014.spe	28.04	7.86	1	1	0.018304	-0.003173	0.00992	0.093737	15508.62207	1.39	43	20	24	0	18	0	0	44	2233	0	380	0	15	439	15491	238	0	506	713	0	91	144	363	107	4521	82	824	0	0	0	0	23	10	80	65	45	38	172	0	0	22	0	1.31E+15	19959	5255
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000015.spe	30.04	7.88	1	1	0.018304	-0.003173	0.00992	0.093737	14586.26758	1.49	21	22	57	0	30	15	17	126	2393	0	888	72	27	499	28107	315	0	209	302	10	17	108	228	126	3301	14	952	5	0	6	0	0	34	47	86	75	80	12	0	103	85	12	1.81E+15	15485	5115
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000016.spe	32.04	7.88	1	1	0.018304	-0.003173	0.00992	0.093737	14234.08594	1.64	0	0	36	0	23	0	30	111	2512	0	1018	64	8	468	35469	225	0	84	105	32	15	125	8	165	2235	81	886	0	0	11	0	30	43	58	100	78	13	0	0	83	154	0	0	13275	4867
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000017.spe	34.04	7.89	1	1	0.018304	-0.003173	0.00992	0.093737	13936.90039	1.52	42	27	51	27	12	0	15	140	2689	0	1081	84	19	490	35134	390	0	82	101	39	64	50	32	87	2046	110	902	0	0	0	0	13	40	38	60	6	0	0	5	95	126	0	1.25E+15	12710	5033
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000018.spe	36.04	7.89	1	1	0.018304	-0.003173	0.00992	0.093737	13746.80859	1.66	33	10	55	0	23	0	16	122	2432	0	1078	67	21	435	35450	87	0	134	91	6	0	8	63	33	1945	129	785	0	0	8	0	0	0	64	111	0	117	0	18	135	210	11	0	12433	4824
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000019.spe	38.04	7.89	1	1	0.018304	-0.003173	0.00992	0.093737	14016.39453	1.61	29	24	63	7	36	7	22	117	2494	0	1166	18	41	497	36726	439	0	58	106	0	0	0	0	73	2030	117	836	0	0	6	14	0	30	73	39	45	120	6	0	64	58	0	5.2E+14	12810	4945
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000020.spe	40.04	7.91	1	1	0.018304	-0.003173	0.00992	0.093737	14235.48633	1.71	21	20	61	8	8	0	11	150	2507	0	1203	26	16	449	38674	242	8	69	131	17	0	105	46	117	1983	84	876	0	0	0	24	31	54	49	84	96	143	114	69	0	191	0	2.93E+13	12364	5010
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000021.spe	42.04	7.91	1	1	0.018304	-0.003173	0.00992	0.093737	14609.86621	1.61	0	6	65	14	26	0	24	168	2594	0	1202	74	20	499	39765	491	0	89	103	19	0	0	10	82	1985	13	977	7	0	0	0	23	68	64	91	97	82	0	0	41	43	0	0	12841	5216
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000022.spe	44.04	7.92	1	1	0.018304	-0.003173	0.00992	0.093737	15170.43652	1.45	0	0	62	13	21	0	23	153	2654	0	1187	33	21	482	37699	301	10	80	140	0	85	7	10	104	2354	110	949	0	0	7	0	6	68	59	75	68	18	108	10	20	152	0	3.04E+14	14185	5555
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000023.spe	46.04	7.92	1	1	0.018304	-0.003173	0.00992	0.093737	18043.29492	1.66	28	27	63	12	31	10	22	128	2450	0	925	54	41	464	30232	96	0	240	297	53	8	98	117	52	3536	43	923	0	0	27	0	0	6	48	105	144	70	0	7	11	219	0	2.52E+15	22346	5996
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000024.spe	48.04	7.92	1	1	0.018304	-0.003173	0.00992	0.093737	18115.19141	1.63	0	0	31	0	19	15	17	130	2381	0	829	54	0	481	27810	220	0	290	317	81	159	136	122	180	3333	0	986	0	0	0	0	0	12	106	71	90	0	0	0	184	55	0	3.47E+15	23123	5843
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000025.spe	50.04	7.91	1	1	0.018304	-0.003173	0.00992	0.093737	16378.77832	1.62	6	8	34	16	43	0	15	123	2645	0	855	20	22	465	30614	276	0	282	278	122	71	73	178	81	3076	10	923	7	0	25	0	33	15	76	103	70	61	50	0	77	93	0	2.68E+15	18364	5541
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000026.spe	52.04	7.9	1	1	0.018304	-0.003173	0.00992	0.093737	15736.81055	1.55	9	9	49	10	26	0	11	129	2627	0	1063	55	0	529	37087	383	11	157	177	0	0	49	103	12	2535	98	894	0	0	0	0	31	25	74	47	79	129	0	16	77	105	0	0	15516	5372
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000027.spe	54.04	7.9	1	1	0.018304	-0.003173	0.00992	0.093737	15603.91602	1.47	28	34	40	0	19	0	20	107	2361	0	891	54	13	453	32622	253	0	132	227	0	0	56	135	119	2816	110	1065	0	0	0	0	18	55	77	106	70	129	0	18	33	126	6	1.61E+15	16381	5617
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000028.spe	56.04	7.89	1	1	0.018304	-0.003173	0.00992	0.093737	15486.02246	1.54	18	0	61	19	29	13	31	116	2576	31	969	55	5	468	34291	319	0	208	213	14	76	61	95	130	2774	102	1009	4	0	6	0	42	89	77	115	87	95	17	0	41	125	0	0	15842	5472
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000029.spe	58.04	7.88	1	1	0.018304	-0.003173	0.00992	0.093737	15022.54492	1.61	9	14	26	0	21	13	0	103	2378	0	798	16	30	454	28641	273	0	157	239	45	0	60	79	120	3304	35	995	0	0	25	0	0	0	44	50	39	83	18	44	0	93	26	1.01E+15	16338	5371
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000030.spe	60.04	7.88	1	1	0.018304	-0.003173	0.00992	0.093737	14698.06152	1.6	33	17	28	24	39	0	33	89	2319	7	703	75	9	452	26366	389	0	207	217	0	0	0	181	45	2790	85	983	0	0	0	21	0	52	97	52	0	77	162	24	0	21	11	0	16264	5135
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000031.spe	62.04	7.87	1	1	0.018304	-0.003173	0.00992	0.093737	15022.64355	1.52	12	0	11	11	11	0	10	114	2312	16	931	18	20	481	33240	356	14	146	188	65	69	46	55	46	2695	95	902	7	0	6	0	18	15	87	82	77	21	0	0	37	125	0	0	15128	5370
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000032.spe	64.04	7.87	1	1	0.018304	-0.003173	0.00992	0.093737	15051.34375	1.63	18	10	27	0	28	10	31	111	2544	0	906	53	26	499	34426	326	0	175	183	0	0	85	35	131	2705	73	949	0	0	0	0	50	68	48	97	38	118	0	0	138	103	13	7.66E+14	14942	5317
