Record,strat_depth,SH20_age,Group,Guano_Zone,Guano_Sum,cln_P2O5_TiO2,cln_CaO_TiO2,cln_Cu_TiO2,cln_Zn_TiO2,cln_Sr_TiO2,cln_P_Ti,cln_Ca_Ti,cln_Cu_Ti,cln_Zn_Ti,cln_Sr_Ti,cln_P_Ti_CS,cln_Ca_Ti_CS,cln_Cu_Ti_CS,cln_Zn_Ti_CS,cln_Sr_Ti_CS,Plot_order
,cm,cal a BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARD,53,2846,Unit  11,ARD GZ 0,Non Guano,-0.14383747,-0.279374436,-0.636984069,-0.503544231,-0.213742669,-0.14383747,-0.279374436,-0.636984069,-0.503544231,-0.213742669,0.166867551,-0.278642651,-1.123481847,-0.691752631,-0.554698614,2
ARD,55,2862,Unit  11,ARD GZ 0,Non Guano,-1.258179298,-0.445825512,-1.742387754,-1.150524619,-0.620416489,-1.258179298,-0.445825512,-1.742387754,-1.150524619,-0.620416489,-0.650991915,-0.362621042,-1.245014481,-0.93188588,-0.790685312,2
ARD,57,2876,Unit  11,ARD GZ 0,Non Guano,0.092610569,-0.197265903,-0.37630793,-0.283279338,-0.049688375,0.092610569,-0.197265903,-0.37630793,-0.283279338,-0.049688375,-0.433034265,-0.297400538,-0.917756716,-0.857676073,-0.759399921,2
ARD,59,2890,Unit  11,ARD GZ 0,Non Guano,-0.473673643,-0.336173468,-0.992395773,-0.721182991,-0.309464317,-0.473673643,-0.336173468,-0.992395773,-0.721182991,-0.309464317,-1.55651462,-0.270934652,-0.784283575,-0.849096206,-0.757477971,2
ARD,61.3,2907,Unit  11,ARD GZ 0,Non Guano,0.909559283,0.085699475,0.427750302,0.570656725,0.541230067,0.909559283,0.085699475,0.427750302,0.570656725,0.541230067,,-0.153967309,-0.030477129,-0.164927451,0.513301525,2
ARD,64.5,2930,Unit  11,ARD GZ 0,Non Guano,,,,,,,,,,,1.314402639,0.83528017,1.474051318,1.518986575,1.304675078,2
ARD,67.6,2953,Unit 10,ARD GZ 4,Guano,1.997803133,0.916353695,1.748076315,1.831804411,1.512694339,1.997803133,0.916353695,1.748076315,1.831804411,1.512694339,1.675070792,0.7553249,1.499147395,1.464632493,1.45155124,4
ARD,70.8,2977,Unit 10,ARD GZ 4,Guano,1.997152975,0.886956503,1.810922848,1.809352434,1.485557798,1.997152975,0.886956503,1.810922848,1.809352434,1.485557798,1.562242183,1.055244235,1.520255511,1.454131662,1.055174863,4
ARD,74,3001,Unit 10,ARD GZ 4,Guano,1.884335449,0.812458441,1.65002001,1.74199365,1.422582999,1.884335449,0.812458441,1.65002001,1.74199365,1.422582999,1.18345904,0.913553651,1.387944171,1.296586265,0.94379897,4
ARD,77.1,3027,Unit 10,ARD GZ 4,Guano,1.747047986,0.708083589,1.557852689,1.655728081,1.284725355,1.747047986,0.708083589,1.557852689,1.655728081,1.284725355,2.727071942,1.128753648,2.009863843,2.271739911,2.606246431,4
