Record,Section,Strat_Depth_cm,SH20_95CI_min_age,SH20_95CI_max_age,SH20_median_age,SH20_mean_age,Type,Group,Guano_Zone,Guano_Sum,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Location,Location1,Location2,Reference
ARD,ARD1E,288,5204.91,5575.8,5340.51,5351.11,Freshwater,Unit A5,ARD GZ 0,Non Guano,26.17,0.53,10.02,5.16,0.23,1.22,12.57,1.67,0.54,9.92,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,290,5217.64,5625.71,5365.31,5377.43,Freshwater,Unit A5,ARD GZ 0,Non Guano,30.33,0.64,10.56,4.33,0.19,1.24,11.83,1.99,0.63,10.27,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,294,5268.09,5766.46,5449.3,5464.82,Freshwater,Unit A5,ARD GZ 0,Non Guano,34.48,0.75,11.96,6.62,0.18,1.81,9.15,2.09,0.66,6.55,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,300,5352.67,6007.92,5580.9,5604.39,Freshwater,Unit A5,ARD GZ 2,Guano,47.82,1.51,15.51,8.57,0.17,4.08,8.38,3.18,0.56,2.2,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,302,5396.41,6067.28,5625.1,5649,Freshwater,Unit A5,ARD GZ 2,Guano,40.15,0.82,12.32,6.01,0.17,2.02,8.07,2.16,0.62,5.16,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,304,5423.58,6117.13,5669.53,5693.62,Freshwater,Unit A5,ARD GZ 2,Guano,36.13,0.68,11.06,4.85,0.2,1.52,9.81,1.88,0.57,7.31,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,310,5547.86,6390.4,5843.74,5870.86,Freshwater,Unit A4,ARD GZ 0,Non Guano,53.57,1.55,17.11,8.71,0.15,4.32,8.08,3.89,0.66,0.4,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,312,5632.53,6522.87,5984.52,6007.42,Freshwater,Unit A4,ARD GZ 0,Non Guano,53.36,1.57,17,8.83,0.15,4.35,8.04,3.83,0.67,0.44,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,314,5683.19,6755.91,6112.2,6143.97,Freshwater,Unit A4,ARD GZ 0,Non Guano,52.82,1.58,16.77,8.9,0.15,4.36,7.73,3.75,0.68,0.51,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,316,5769.96,6947.48,6245.41,6277.85,Freshwater,Unit A4,ARD GZ 0,Non Guano,52.05,1.56,16.56,8.83,0.15,4.35,7.76,3.68,0.67,0.56,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,318,5855.86,7060.14,6390.66,6409.04,Freshwater,Unit A4,ARD GZ 0,Non Guano,49.87,1.5,15.79,8.64,0.16,4.16,7.78,3.48,0.67,1.16,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,320,5918.01,7255.63,6524.45,6540.23,Freshwater,Unit A3,ARD GZ 1,Guano,33.24,0.68,11.33,5.83,0.27,1.68,9.31,1.94,0.71,6.76,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,322,6074.5,7354.44,6660.26,6680.78,Freshwater,Unit A3,ARD GZ 1,Guano,22.46,0.54,8.54,5.03,0.32,1.45,11.5,1.4,0.5,8.33,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,324,6173.24,7505.01,6811.97,6821.33,Freshwater,Unit A3,ARD GZ 1,Guano,32.19,0.87,10.66,7.4,0.25,2.12,8.76,2.25,0.69,5.01,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,326,6293.88,7644.08,6946.97,6954.91,Freshwater,Unit A2,ARD GZ 0,Non Guano,51.61,1.45,16.17,8.68,0.15,3.85,6.99,3.66,0.69,0.67,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,328,6407.52,7719.08,7085.29,7081.51,Freshwater,Unit A2,ARD GZ 0,Non Guano,55.31,1.66,16.11,9.12,0.16,3.42,5.76,4.16,0.91,0.48,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,330,6479.9,7864.61,7219.31,7208.11,Freshwater,Unit A2,ARD GZ 0,Non Guano,54.47,1.75,15.89,9.61,0.16,3.7,6.24,4.18,0.83,0.32,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,332,6668.76,7920.22,7356.43,7339.48,Freshwater,Unit A2,ARD GZ 0,Non Guano,55.07,1.75,16,9.63,0.17,3.75,6.45,4.23,0.84,0.35,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,334,6784.53,8007.27,7500.44,7470.86,Freshwater,Unit A2,ARD GZ 0,Non Guano,53.89,1.85,16.16,10.08,0.17,3.85,7.18,4.25,0.71,0.37,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,336,6956.85,8094.53,7631.91,7600.48,Freshwater,Unit A2,ARD GZ 0,Non Guano,54.12,1.9,16.23,10.32,0.18,3.85,7.33,4.28,0.69,0.36,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,338,7125.43,8154.78,7760.28,7728.34,Freshwater,Unit A2,ARD GZ 0,Non Guano,55.35,1.79,16.13,9.7,0.18,3.55,6.78,4.58,0.81,0.32,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,340,7242.46,8261.17,7900.52,7856.21,Freshwater,Unit A2,ARD GZ 0,Non Guano,54.48,1.82,16.41,9.89,0.17,3.93,7.46,4.33,0.7,0.33,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,342,7564.61,8289.22,8008.15,7987.21,Freshwater,Unit A2,ARD GZ 0,Non Guano,52.94,1.9,16.12,11.26,0.18,3.92,7.43,4.28,0.63,0.33,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,344,7819.83,8332.49,8129.79,8118.21,Freshwater,Unit A2,ARD GZ 0,Non Guano,54.12,1.84,16.34,9.76,0.17,3.85,7.37,4.34,0.69,0.31,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,346,8035.06,8395.39,8245.03,8241.61,Freshwater,Unit A2,ARD GZ 0,Non Guano,51.54,0.85,17.8,7.06,0.08,2.89,3.31,2.6,0.86,0.24,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,348,8170.38,8537.64,8362.89,8357.39,Freshwater,Unit A1,ARD GZ 0,Non Guano,52.75,0.94,19.77,8.49,0.09,3.79,3.45,2.53,0.82,0.22,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,350,8231.4,8852.84,8449.26,8473.18,Freshwater,Unit A1,ARD GZ 0,Non Guano,52.1,0.92,19.34,9.29,0.1,3.96,3.81,2.39,0.76,0.19,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,352,8288.7,8999.32,8551.12,8574.24,Freshwater,Unit A1,ARD GZ 0,Non Guano,53.02,1.09,18.95,9.57,0.11,3.86,4.68,2.92,0.77,0.21,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,354,8329.31,9220.93,8635.36,8675.31,Freshwater,Unit A1,ARD GZ 0,Non Guano,52.86,0.91,19.31,9.42,0.1,3.91,4.12,2.5,0.79,0.18,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,356,8388.22,9397.95,8732.89,8776.18,Freshwater,Unit A1,ARD GZ 0,Non Guano,54.92,0.91,19.54,9.5,0.1,3.96,3.96,2.7,0.91,0.19,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1E,358,8444.06,9557.1,8834.44,8876.85,Freshwater,Unit A1,ARD GZ 0,Non Guano,52.75,0.9,19.09,9.41,0.1,3.92,4.13,2.5,0.78,0.18,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
