Record,Section,Strat_Depth_cm,SH20_95CI_min_age,SH20_95CI_max_age,SH20_median_age,SH20_mean_age,Type,Group,Guano_Zone,Guano_Sum,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,Cl,Location,Location1,Location2,Reference
YAN,YAN 8A-I,3,349.41,503.31,412.12,413.85,Freshwater,Unit Y8,YAN GZ 0,Non Guano,53.21,1.709,16.96,9.77,0.14,4.08,6.62,3.93,0.67,0.295,0.432,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,5,619.21,876.1,724.1,727.09,Freshwater,Unit Y8,YAN GZ 0,Non Guano,52.63,1.751,16.68,10.03,0.152,4.48,6.98,4.22,0.61,0.322,0.52,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,7,875.65,1053.08,960,960.6,Freshwater,Unit Y8,YAN GZ 0,Non Guano,50.32,1.311,17.57,9,0.094,3.73,3.59,2.7,0.89,0.244,1.202,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,9,1094.54,1282.72,1199.5,1194.12,Freshwater,Unit Y8,YAN GZ 0,Non Guano,51.18,1.171,18.77,9.39,0.087,4.12,2.75,2.5,1.06,0.239,0.836,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,13,2012.48,2269.55,2150.74,2149.92,Freshwater,Unit Y8,YAN GZ 0,Non Guano,52.48,1.747,18.39,9.56,0.123,4.18,4.84,3.55,0.72,0.43,0.807,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,15,2485.16,2895.05,2708.42,2709.28,Freshwater,Unit Y8,YAN GZ 0,Non Guano,52.55,1.402,18.53,9.28,0.09,3.89,3.74,3.07,0.75,0.287,1.169,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,17,2890.41,3176.44,3041.46,3039.78,Freshwater,Unit Y8,YAN GZ 0,Non Guano,55.07,1.584,18.42,8.81,0.123,4.07,4.43,3.44,0.76,0.335,0.609,0.12,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,19,3249.45,3541.21,3362.38,3370.27,Freshwater,Unit Y7,YAN GZ 0,Non Guano,49.61,1.585,17.38,8.99,0.108,3.77,5.35,3.3,0.7,0.327,1.519,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,21,3544.84,3828.07,3656.2,3664.29,Freshwater,Unit Y7,YAN GZ 0,Non Guano,47.27,1.249,17.31,10.32,0.083,3.68,3.43,2.49,0.78,0.24,3.497,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,23,3784.69,4076.3,3919.58,3921.83,Freshwater,Unit Y7,YAN GZ 0,Non Guano,48.53,1.182,18.53,7.85,0.093,3.8,3.05,2.43,0.88,0.238,1.347,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,25,3965.08,4448.46,4178.68,4179.37,Freshwater,Unit Y7,YAN GZ 0,Non Guano,50.44,1.283,18.23,8.21,0.088,3.88,4.13,2.86,0.78,0.236,1.631,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,27,4164.54,4520.61,4334.31,4335.56,Freshwater,Unit Y7,YAN GZ 0,Non Guano,49.11,1.154,16.18,8.19,0.084,3.44,3.68,2.34,0.73,0.21,2.007,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,29,4282.56,4678.45,4493.76,4491.74,Freshwater,Unit Y7,YAN GZ 0,Non Guano,49.87,1.217,16.365,8.075,0.093,3.635,4.15,2.665,0.715,0.2215,1.7385,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,31,4494.97,4816.59,4653.57,4658.3,Freshwater,Unit Y7,YAN GZ 0,Non Guano,50.63,1.28,16.55,7.96,0.102,3.83,4.62,2.99,0.7,0.233,1.47,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,33,4656.06,5002.71,4842.29,4835.24,Freshwater,Unit Y6,YAN GZ 0,Non Guano,63.82,1.721,20.44,10.05,0.138,4.75,6.78,3.97,0.84,0.284,0.684,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,35,4706.93,5384.1,4994.86,5012.18,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.86,1.52,17.6,8.68,0.127,4.11,6.26,3.64,0.71,0.232,0.274,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,37,4948.8,5431.21,5167.2,5174.49,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.07,1.591,17.34,9.08,0.143,4.29,6.86,3.95,0.69,0.24,0.098,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,39,5131.64,5503.07,5350.54,5336.81,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.27,1.613,17,9.3,0.148,4.36,7.1,4.03,0.67,0.245,0.12,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,41,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.26,1.601,17.02,9.15,0.15,4.37,7.43,4.06,0.65,0.238,0.063,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,43,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.34,1.608,16.9,9.34,0.153,4.39,7.3,4.08,0.67,0.243,0.071,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,45,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.36,1.606,16.91,9.26,0.156,4.39,7.38,4.1,0.68,0.243,0.081,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,47,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,54.31,1.631,17.4,9.41,0.163,4.73,7.41,4.53,0.67,0.251,0.096,0.06,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,49,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.27,1.627,16.86,9.42,0.161,4.44,7.28,4.13,0.69,0.248,0.085,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,51,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.26,1.627,16.88,9.43,0.161,4.48,7.26,4.14,0.69,0.247,0.107,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,53,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.47,1.626,16.87,9.43,0.162,4.5,7.28,4.11,0.7,0.251,0.09,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,55,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.05,1.634,16.7,9.58,0.163,4.54,7.17,4.03,0.71,0.254,0.089,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,59,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.07,1.602,16.74,9.26,0.162,4.46,7.5,4.19,0.7,0.247,0.081,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,61,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.81,1.627,16.63,9.53,0.166,4.54,7.33,4,0.71,0.255,0.084,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,63,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.16,1.606,16.85,9.3,0.163,4.47,7.54,4.07,0.7,0.25,0.087,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,65,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.95,1.6,16.77,9.26,0.164,4.48,7.65,4.01,0.69,0.248,0.088,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,67,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.24,1.658,16.59,10.11,0.18,5.31,6.84,4.03,0.73,0.274,0.117,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
