Depth_cm,Si,Cl,K,Ca,Ti,Mn,Fe,Zn,Br,Rb,Sr,Zr,Ba,Pb
1,2738,4416,26753,27445,19923,23908,951891,5278,4322,14393,14990,2601,1077,18565
1.2,2592,4696,27007,27409,20312,36207,944049,5754,4190,14252,15332,2503,1125,18775
1.4,2519,4920,26405,26228,19627,39296,905361,5191,4137,14202,15419,2281,1059,17885
1.6,2362,4562,27246,26039,19772,23537,930873,5555,4021,15796,15123,1506,1181,17862
1.8,2507,4713,26587,25769,19977,20237,928539,5634,3654,14997,14583,2565,1270,17619
2,2298,4789,25365,25543,19081,21840,879629,5156,3963,14160,15572,2826,1236,17874
2.2,2724,4271,25515,26258,19275,23865,871549,5139,3714,13939,15442,2543,1227,17366
2.4,2480,4193,25539,26225,19364,25595,856766,5068,3679,13197,15423,2924,1124,17104
2.6,2581,4310,25289,25712,19112,27195,860036,5282,3778,13523,15088,3523,1078,16925
2.8,2550,4148,25701,25907,19269,24302,859547,5140,3645,13742,15676,3179,1174,17104
3,2437,4242,25193,25606,19115,19785,864087,5127,3752,13488,15400,3083,1173,16914
3.2,2428,4341,25121,24897,18886,21796,853980,5145,3704,13704,15032,2846,1173,16492
3.4,2637,4163,24634,24813,18677,19010,850448,5295,3580,13607,15262,3205,1211,16289
3.6,2433,4364,24504,24785,18389,17465,853534,5370,4124,13410,15107,3387,1117,16680
3.8,2508,4280,24476,25576,19033,18646,848980,5329,3831,13671,15907,3195,1141,16185
4,2471,4344,24507,25190,18934,17279,834374,4978,3831,13546,15738,3245,1097,16202
4.2,2311,4329,24250,25385,18626,16611,833043,5025,3833,14366,16311,3336,1130,15991
4.4,2358,4356,24165,25103,18816,16475,832971,5160,3808,13687,15798,4075,1236,15589
4.6,2363,4315,25021,25578,19020,18190,878000,5368,3725,14057,15378,3101,1192,15462
4.8,2427,4359,25270,25791,19171,18079,889794,5492,3619,14660,15296,2737,1194,15465
5,2435,4103,25042,26264,19168,22458,883802,4963,3874,13740,15319,2385,1223,15430
5.2,2551,4128,25117,27606,19359,23813,880626,4994,3444,13783,15708,3070,1211,14912
5.4,2419,4022,25594,28153,19481,15518,868806,5154,3577,13486,17619,2621,1266,15035
5.6,2473,3981,25159,28801,19086,13289,861475,4898,3353,14293,17714,2914,1221,14944
5.8,2374,4201,24260,25948,18818,19251,839761,5187,3531,13187,15833,2151,1122,14586
6,2186,4522,23914,25437,18653,16379,833822,5046,3806,13297,15598,3632,1145,14693
6.2,2129,4478,23723,24794,17995,17790,833471,4816,3809,13574,15555,3348,1260,14916
6.4,2180,4517,23951,24400,18554,20927,841022,5149,3406,13954,14951,3027,1160,14556
6.6,2218,4188,24002,24915,18288,20910,837680,4972,3756,13331,15565,2794,1062,14946
6.8,2284,4291,23866,24888,18315,19663,843655,4901,3697,13805,15476,2878,1165,14508
7,2145,4598,23761,24987,18170,20099,847675,5002,3726,13791,15684,2472,1311,14524
7.2,1535,5549,20859,25884,16847,17501,810634,4843,3678,13649,15913,3034,1146,14679
7.4,1266,6158,19791,21882,16507,17109,796072,5113,3378,14091,15590,2969,1203,14886
7.6,1095,6516,18714,20950,15870,16118,782589,4751,3820,14304,15673,2816,1091,14970
7.8,1023,6794,17329,19658,15472,14226,760218,4614,3342,13827,15340,2497,1024,15109
8,1164,6474,17754,19423,15574,14730,761608,4728,3303,12588,15032,3116,1052,15428
8.2,1531,5336,19971,21114,16242,14475,772698,4676,3311,13056,14931,3084,1178,15462
8.4,1902,4446,21923,23030,17556,15183,804641,4844,3038,13947,15518,2660,1083,15667
8.6,2101,3850,22997,23621,17730,15024,809516,4881,2812,14135,15086,2915,1098,15361
8.8,1918,4118,22574,23766,17247,15370,828058,4839,3195,14169,15587,2370,1164,15358
9,1892,4226,21843,22482,16969,18909,771130,4687,4067,12365,15118,4064,1077,15477
9.2,2019,4260,21774,23000,16574,20504,792724,4744,3711,13115,15167,3615,1162,15644
9.4,2056,4269,22955,23953,17860,23847,807802,4743,3217,13113,15496,3133,1031,15184
