Depth_cm,Si,Cl,K,Ca,Ti,Mn,Fe,Zn,Br,Rb,Sr,Zr,Ba,Pb
9.6,2184,4320,23241,24495,18284,19710,824347,5359,3170,13682,15097,3058,1121,14914
9.8,2184,4028,22991,24188,17998,16485,812016,4937,3604,13051,14838,3460,1058,15115
10,2089,4395,22268,23556,17448,15883,793734,5104,3590,13534,14973,3626,1101,15359
10.2,2071,4289,22208,22844,17163,15139,784590,5080,3482,12862,14423,3183,977,15331
10.4,2003,4199,22044,23116,17394,15219,780505,4782,3299,13133,14472,3483,1008,15052
10.6,1850,4576,21502,22951,16923,18660,792732,4793,3206,12387,15337,3392,1121,15144
10.8,1588,5006,21110,22443,16733,16757,790494,4956,3233,12992,14920,3593,1060,15393
11,1893,4555,20987,22340,16494,15795,793828,4918,3106,12957,14987,3267,954,15367
11.2,1761,4427,20158,21730,16075,15411,764738,4860,3118,13136,14723,3019,1058,15798
11.4,1821,4142,20029,21318,15936,16004,752547,4867,3189,12650,14338,3122,1039,16071
11.6,1698,4234,20014,21247,16123,17748,753515,4871,3152,12699,14860,3198,888,16505
11.8,1674,3993,20524,20459,16325,15210,752826,4733,3000,13177,13972,3285,760,16260
12,1895,3910,20439,20456,16273,14083,750762,5118,3720,13554,13757,3014,1147,16343
12.2,1798,3993,20288,20419,15862,13618,743346,5129,3451,13580,13965,3585,1035,16602
12.4,1841,4110,20934,20265,15981,13389,750080,5026,3535,12947,13709,2965,979,16366
12.6,1739,4231,20880,20711,16310,14113,758764,5067,3481,13567,13777,3765,945,16137
12.8,1902,4038,21042,20295,16526,13993,760025,5162,3315,13529,13841,3474,874,16100
13,1776,4179,21124,19844,16308,14651,765077,5326,3612,13169,13581,3990,1120,15928
13.2,1847,4589,20983,19989,16694,15690,783796,4950,3436,13584,13932,2897,1132,16252
13.4,1951,4538,21332,19989,16514,15150,776229,4960,3754,12860,14089,3621,1134,16154
13.6,1950,4142,21500,19993,16925,15769,775399,4746,3563,12866,13904,3719,806,16529
13.8,2047,4178,22203,21319,16955,15503,788520,4788,3264,13854,14369,2994,1087,16449
14,2066,4033,22167,22123,17030,14827,800779,5265,3427,13715,14517,2801,1041,16605
14.2,2125,4085,22436,22108,16858,15081,801458,5237,3585,13979,14771,2124,1211,16482
14.4,1962,4220,22633,22111,17219,15336,805139,5260,3762,13628,14915,2772,1057,16655
14.6,1965,4637,22297,22123,17568,15659,813495,5140,3334,14141,14805,2763,1197,16347
14.8,1784,4815,22381,22067,17443,16342,821312,5050,3435,13824,15035,2626,1122,16458
15,1844,4733,22244,22182,17336,16302,823162,4800,3490,14120,14677,3002,1086,17057
15.2,1715,5033,22082,22482,17487,16455,827765,5043,3419,14885,15581,2602,1152,16622
15.4,1852,4894,21959,22717,17380,17030,825267,4832,3042,14524,15645,2559,1044,16732
15.6,1793,4825,22685,23440,17638,17341,835293,4834,3273,14398,15770,2321,1049,16803
15.8,1908,4766,23057,23700,17800,17587,845485,5118,3210,14457,15239,3216,998,16836
16,1897,4904,23239,23759,18531,17475,849047,5107,3388,14057,15704,2676,1120,16748
16.2,1949,4967,23769,23741,18229,17539,860831,5250,3422,14161,15278,2614,1221,16467
16.4,1902,5078,23819,23724,18283,15752,870919,5357,3365,14239,14725,2383,1108,16703
16.6,2147,4933,24470,24111,18463,14948,875541,5370,3367,14976,15207,1992,1175,16870
16.8,2238,4605,24740,24447,18362,14109,880993,5169,2972,14821,14873,1892,1207,16714
17,2302,4502,24760,24200,18485,13870,876335,5253,3429,14572,14948,1731,1239,17072
17.2,2178,4424,24263,23820,18545,13828,869498,4944,3421,14398,14915,2359,997,16900
17.4,2084,4585,23725,23845,18293,14119,866167,5239,3522,14282,15403,1971,1051,17409
17.6,2087,4591,23665,23622,17828,13737,861677,5157,3386,13982,15192,2176,1151,17213
17.8,2077,4879,22814,23519,17961,13802,865162,5028,2836,15094,15981,1738,1100,17348
18,1701,5496,21427,23095,17044,13390,834443,5111,3252,14111,16645,2190,1299,17376
18.2,1581,5745,20093,22553,16523,12682,807145,4861,2983,14140,17471,2459,1124,17701
18.4,1434,5849,19698,21775,16208,12754,795668,4823,3153,14269,16328,2373,1079,17492
18.6,1312,6014,19964,21652,16659,12761,797729,4769,3178,14160,15228,2810,1079,17222
18.8,1689,5547,21617,22265,17267,13201,822746,5073,3316,13894,15124,2433,1032,17243
19,1897,5045,22765,23035,18324,13437,845952,5279,3022,14769,15362,2346,1013,17107
19.2,1909,4826,23862,23471,18599,13308,864102,5318,3051,14958,14235,2764,1226,16928
19.4,2336,4621,24954,23499,19121,13170,870575,5259,3553,14025,14815,3614,1122,16712
19.6,1934,4964,23854,22522,19206,12882,851349,5560,3417,14302,14968,3732,1132,16998
19.8,1102,6800,20783,21482,17728,12715,826120,5321,2890,13583,15636,3300,1133,16394
20,721,8071,17528,19350,16515,12133,782636,4977,3303,14019,15668,4249,938,16891
20.2,525,8077,16902,18981,16451,13060,813136,5054,3673,14377,14620,2859,1001,16886
20.4,559,7845,17482,19571,16131,13755,829427,5068,3744,13918,14575,3038,990,17126
20.6,742,7372,18757,19800,16608,13985,841625,5125,3942,14008,14898,2504,1069,17246
20.8,923,6599,20202,20673,17155,14281,850943,5310,3782,14410,14204,2382,1083,17537
21,1338,5904,21100,21366,17498,14076,851930,5004,3551,13918,14613,2299,904,17682
21.2,1435,5744,21937,21830,17748,13925,852377,5242,3529,14501,14174,2573,1211,17553
21.4,1517,5337,21912,21871,17782,13884,845527,5221,3571,14197,14091,2539,1096,17676
21.6,1581,5259,22091,21882,17591,13517,840584,5302,3243,13994,13987,2380,1178,17480
21.8,1405,5427,21263,21194,17365,13477,830171,5392,3414,13726,14008,1896,1272,17831
22,1098,5924,20570,20264,17032,13032,824551,5326,3663,13556,14187,2261,1050,18136
22.2,586,6897,18152,18802,16247,13052,818426,5274,3356,14430,13850,2480,970,18061
22.4,351,7990,16392,17498,15682,12554,800992,5183,3484,14433,14118,2234,916,18205
22.6,248,8716,15037,16676,15227,12083,783827,5062,4019,13989,13660,2912,951,18463
22.8,160,9419,13776,15429,14418,12404,784443,4815,4096,13993,13972,2783,968,17993
23,80,9861,13352,15156,14339,12799,810742,5164,4087,14026,14329,1781,896,18110
23.2,132,9475,13823,15642,14025,13162,811799,5284,3771,14397,13628,2224,916,18232
23.4,256,8839,15303,16659,14795,13390,819723,5255,3777,14586,13719,2016,1089,18354
23.6,473,7717,17305,17973,15753,13555,835863,5214,4336,14014,13765,1737,1050,18377
23.8,826,6641,19227,19281,16148,13732,844272,5182,3991,15031,13784,2343,1127,18718
24,1058,6026,20356,19799,16818,13932,847407,5180,3766,14034,13364,1700,1129,18405
24.2,1063,6022,20562,19846,16840,13799,855698,5117,3849,14026,13373,1861,965,18719
24.4,1084,6227,19835,19440,16558,13755,854675,5151,4085,14869,13199,1316,1014,18943
24.6,1017,6158,19680,19270,16866,13391,840609,5413,4128,14416,13232,1767,929,19115
24.8,1055,6281,19778,19019,16402,13618,838011,5093,3931,13781,13121,1510,1022,19105
25,1057,6364,19309,18873,15953,13374,830174,4993,3659,14089,13795,1630,1038,18907
25.2,1093,6306,19447,19189,16001,13350,825143,5106,3556,14327,14282,1477,1150,18775
25.4,1039,6173,18798,19658,15982,12747,802715,4876,3896,13969,14460,1626,1178,18597
25.6,1028,6068,19401,19586,16330,12782,801895,5166,3751,13649,13895,1811,1084,18253
25.8,1194,5692,19439,19480,16123,12789,803223,5093,3804,14023,13605,1660,1091,18112
26,1341,5320,20384,19078,16790,13426,809828,5351,3408,14419,13428,2246,952,18297
26.2,1314,5358,20907,19565,16683,13369,818173,5156,3430,14822,13307,2703,1198,17966
26.4,1434,5328,21040,19874,17277,14114,847395,5337,3689,13922,13286,1835,1085,18178
26.6,1423,5446,21451,20149,17152,14530,859529,5566,3810,14205,13302,1773,1144,17987
26.8,1335,5702,21389,20008,17135,15802,884647,5711,4066,14936,12996,1665,1229,17451
27,1396,5591,21921,20729,17868,15706,929360,5525,3880,14516,13298,1129,1328,17895
27.2,1416,5921,22088,22145,18511,15875,953452,5493,3787,14570,14184,1351,1267,17882
27.4,1350,6097,21839,22283,18681,16177,940015,5339,3988,14212,14842,2200,1209,18071
27.6,1320,6563,20855,21420,18009,16231,921283,5267,4001,13708,14278,2002,1120,18190
27.8,1049,7085,19898,20660,17706,17191,898606,5275,4077,14120,14412,2999,996,18330
28,919,7549,18162,19764,16359,19310,866691,4948,4087,13764,14440,2166,1088,18689
28.2,810,7830,17506,18743,16288,16697,866689,5124,3462,14103,14430,2289,934,18370
28.4,815,7806,17958,18703,16100,14666,846706,5182,3545,14652,14579,2616,1076,18197
28.6,1000,7397,18892,19547,16637,13921,852092,5474,3614,13852,14591,2412,1061,18134
28.8,1072,6927,19182,19630,17240,13906,852474,5116,3786,13908,14395,2790,1052,17989
29,1160,6588,19450,19837,16851,13978,848638,5289,3559,13388,14624,3442,916,18100
29.2,1307,6591,19881,20185,16916,13962,848137,5390,3246,13171,14716,3122,937,17915
29.4,1389,6152,20377,19974,16933,13651,838644,5454,3976,14444,14208,3256,1103,17759
29.6,1499,5834,20883,20068,17196,13752,843417,5572,3523,13667,14024,2986,1044,17862
29.8,1714,5388,21832,19887,17391,13502,846174,5430,3327,14153,13966,3661,1099,17801
30,1775,5189,22152,19534,17346,13603,841385,5243,3466,14014,13818,3553,1100,16893
30.2,1739,4953,22764,20726,17838,13898,846926,5166,3566,14132,13786,3500,1305,17130
30.4,2081,4667,23308,21819,18528,13925,852958,5515,3384,13917,14113,3378,1052,17204
30.6,2175,4297,24573,22600,18823,13605,855329,5282,2963,14049,15858,3533,1163,16938
30.8,2346,4308,24508,23571,19105,13608,843911,5174,3044,14135,16412,3141,1194,16789
31,2287,4046,24063,24869,18950,13265,834292,5104,2813,13520,17310,3217,1141,16403
31.2,2365,3870,23949,25231,18606,13544,821888,5042,2690,13519,17785,3104,1293,16487
31.4,2203,3899,22546,24911,17714,12778,795437,4836,2686,13542,17261,3261,1291,16354
31.6,1833,4303,21408,24054,16911,12575,755078,4681,3468,12751,17166,3187,1210,15244
31.8,1525,4718,19853,22729,16078,12252,739072,4454,3515,12837,17509,3274,1110,15334
32,1446,5234,19037,22948,15473,12447,727829,4670,3515,12914,16845,3213,1158,14875
32.2,1325,5340,18442,22354,15548,12735,716634,4565,3250,12253,16275,3372,1074,14531
32.4,1452,4754,19540,21874,15716,14938,750372,4611,3567,12033,13350,2915,872,14178
32.6,1793,4066,21107,22141,16564,18805,758278,4692,3659,13071,14649,2870,941,14330
32.8,2116,3844,21910,23319,17393,19978,779153,4910,3823,13305,14222,3347,1048,14263
33,2092,4467,22571,24269,17796,22354,802005,4626,3810,12172,15153,2462,959,14357
33.2,2008,4831,22882,24552,18352,24005,843908,5060,4085,13036,15076,3063,1036,15059
33.4,1829,5365,22449,24657,18040,26825,851720,5278,4109,13121,15326,3638,1114,15205
33.6,1911,5459,22279,24635,18138,26443,855390,4937,3706,12670,14944,2645,1115,15145
33.8,1906,5604,22515,24370,18494,26007,866594,4963,3994,12841,15127,3478,1027,14965
34,1889,5450,22181,24756,18321,25960,873520,5079,3815,12771,15017,3450,1063,14478
34.2,1998,5384,22419,24349,18271,26684,876240,5079,3896,13339,15237,3314,1003,14437
34.4,2023,5198,23097,24624,18471,28884,888505,5061,4218,12967,15330,3147,1059,14067
34.6,2182,4975,23200,25014,18612,25257,874340,4799,4242,12881,15187,2978,1057,14202
34.8,2080,5206,22805,24960,18480,23448,864837,5202,4062,13541,15222,3069,1106,13385
35,1570,6212,21527,23828,18215,23155,876106,5333,3788,13280,14800,3376,1194,13974
35.2,795,8178,18662,21561,16673,21366,866120,4981,3934,13245,14960,3579,1081,14168
35.4,401,8943,16500,19549,16382,20495,818963,4965,4300,13166,15194,3528,991,13596
35.6,733,8200,17906,20792,16682,18549,825511,4882,3995,13426,15530,3710,1022,13113
35.8,1209,6823,19886,22031,17580,18293,834691,5184,4255,13415,14977,3548,1048,12990
36,1754,5467,22352,23913,18400,17998,848855,5103,3646,13499,15027,3803,1150,12815
36.2,2061,4720,23505,24734,18855,17536,859001,4934,3600,13267,15568,3468,1103,12361
36.4,2257,4534,23582,25047,19148,18063,865678,5131,3344,14062,15747,3679,1040,12185
36.6,2079,4755,23270,24601,19033,16847,857259,5132,3846,13268,15505,3831,1100,11866
36.8,1905,4627,22807,24077,18370,16205,841535,4968,3652,13280,15100,3743,1182,11695
37,1766,5048,22516,23963,18262,15218,834408,5055,3881,13972,15902,4168,1041,11837
37.2,1509,5582,21726,23806,18320,15125,829861,5018,3889,13449,15411,3967,1190,12141
37.4,1325,5790,21178,23038,17566,14657,819272,4679,3566,13454,15945,3861,1157,12082
37.6,1359,5982,20210,22927,17830,14210,799530,4950,4115,13452,15516,4533,952,11629
37.8,1085,6476,19451,21388,16665,14629,793709,4957,3655,13146,14933,4144,1166,11272
38,690,7425,17679,20588,15989,13892,782322,4857,3748,12585,15326,4024,931,11315
38.2,823,7204,17958,20927,16188,14298,786498,4642,4069,12617,15107,3787,996,11341
38.4,1264,6271,19714,22011,17341,14622,811015,4634,4089,13253,15677,4230,1063,11102
38.6,1584,5451,21348,23584,17706,14819,829426,4952,3615,13274,15559,4301,1143,11133
38.8,1753,5190,22187,24157,18118,15272,836062,5055,3825,13623,15558,3524,1112,11009
39,1543,5286,21570,23760,17894,15018,841353,4924,3252,13367,15452,3507,1054,10855
39.2,1504,5655,20923,23044,17937,14893,836140,4994,3478,13472,15567,3664,1220,10815
39.4,1425,5783,20698,22859,17516,14974,830073,4692,3571,13370,15370,3848,1147,10350
39.6,1823,4814,22103,24231,18007,14152,832817,5166,3549,14283,15670,4320,961,10050
39.8,2236,4420,23550,24498,18570,14254,849655,4982,3563,13868,15015,4097,1097,10250
40,2246,4553,23587,23633,18462,15000,854169,4928,3738,12929,14504,3229,1085,10444
40.2,2177,4688,23526,23360,18270,15956,865523,5103,4028,13610,14968,3208,1098,10804
40.4,2142,4443,24056,23873,18604,16127,874627,4967,3746,13738,14633,3561,1175,10474
40.6,2489,4253,24873,24433,19408,16378,885082,5246,4098,13935,14775,4166,1161,10321
40.8,2361,4346,24635,24049,18934,16089,887954,5105,3958,13879,15373,3498,1157,10643
41,1975,4921,23518,23217,18790,15460,879499,5251,4229,13738,14738,4062,1126,10341
41.2,1663,5691,23293,22910,18263,15049,898626,5344,4087,14671,15049,3386,1209,11074
41.4,1337,6704,21640,21986,18295,14942,895827,5298,3499,15207,14681,3422,911,11135
41.6,905,7654,19502,20161,17061,14146,876016,5252,4000,14649,14523,3543,1065,10771
41.8,819,8281,18803,19836,16780,14820,891435,5301,3659,14739,14865,3116,1074,10301
42,784,8153,18462,20474,16818,14955,900484,4986,3703,15077,15367,2092,1090,10950
42.2,997,7477,18945,20875,17061,14769,868692,5101,4104,13916,15212,3012,1145,9894
42.4,1098,7130,19582,21070,17300,14571,852285,4862,3962,14469,14856,3683,944,9854
42.6,1424,6303,21143,21872,17475,14849,856711,4893,3964,13763,14913,3802,1108,9871
42.8,1536,5564,22485,23243,18404,15364,874621,4904,3940,13368,15356,3878,1131,9479
43,1283,6568,21607,22753,18345,15422,888096,5239,3876,13997,15071,3444,1104,10095
43.2,705,8164,17954,20230,16759,14602,866393,4843,3832,14066,15396,3547,967,9735
43.4,616,9835,15231,17919,15697,13997,843160,4885,3869,13670,15969,3543,850,10099
43.6,452,10159,14174,16927,14997,13725,837361,4978,3891,13587,15689,3765,1080,10719
43.8,506,9882,15102,17825,15466,13875,841253,4568,3940,13860,15633,3209,824,10445
44,824,8313,18092,20213,16968,14737,865124,4700,3448,14173,15589,4131,943,9944
44.2,1588,6257,22264,23464,18790,14806,897560,5298,3762,14607,16009,4195,1004,9709
44.4,2159,5265,24616,25140,19937,15125,903249,5066,3655,14418,15860,3702,1160,9360
44.6,2275,5004,25317,25335,20343,15160,918101,5404,3911,13992,15324,4009,1152,9753
44.8,2347,4673,25836,26061,19912,15900,936847,5355,3995,13901,15570,3502,1240,9456
45,2575,4619,26067,25877,20258,16983,949034,5196,3844,14462,15158,2840,1195,9464
45.2,2519,4657,25942,26127,20215,17123,955159,4905,3802,13868,15786,3217,1249,9915
45.4,2420,4767,25828,25989,20265,16464,944544,5273,3815,13526,15399,3161,1101,9650
45.6,2298,4988,25346,25538,20249,15778,935645,5264,3890,14807,15664,3238,1181,9465
45.8,1727,6310,22518,23440,18778,15723,913915,4759,3922,14713,15200,2996,1092,9840
46,1301,7624,18618,19978,16369,14096,849274,4889,4144,14329,15315,3769,999,9397
46.2,1597,7101,19531,20417,16987,13449,829969,4816,4200,13927,15081,3329,950,9316
46.4,1478,6963,18674,19370,16058,12916,802417,5098,4345,13421,14554,3678,874,9123
46.6,1143,7822,18333,20292,16236,13481,841425,5083,3962,14392,15310,3571,1094,8623
46.8,903,7423,19224,20865,17079,13914,846984,5211,3791,14022,15082,3656,1063,8653
47,856,7619,19452,20789,17485,13820,845054,5079,3995,14264,15507,3455,1015,8959
47.2,1143,6471,20818,21648,17847,13757,854873,5003,3615,13907,14653,4108,1109,8660
47.4,1554,5524,22284,22314,17947,13865,863064,5226,3795,13739,14965,3172,1261,8194
47.6,1814,5180,22832,22618,18614,13878,863117,4950,3532,13700,15229,4267,1081,7583
47.8,1661,5470,22037,22243,18006,13489,852467,4936,3558,14715,14934,4741,1159,7522
48,1561,6085,20984,21406,17581,13094,834128,5138,3709,14147,15451,3742,1096,7299
48.2,1438,6265,19671,20306,16564,12932,814197,5215,3427,13886,14915,3977,1099,6821
48.4,1122,6814,18548,19367,16671,12869,806745,4484,3594,13394,15190,4327,958,6410
48.6,894,7137,18145,19241,16339,12805,810017,5028,3574,14301,14831,3985,1211,6288
48.8,1080,6435,19245,20085,17279,13060,829329,4927,3312,13699,14895,3814,1016,6009
49,1880,4824,22394,22549,18351,14189,877452,4947,3736,14913,14867,3607,1265,5668
49.2,2000,4817,24327,23674,19015,15108,918326,5393,3492,14115,14814,3161,1239,5681
49.4,2219,4452,24529,23990,19558,14616,914439,5398,3413,15121,14722,3470,1105,5715
49.6,2323,4504,24839,24012,19441,14701,918452,5120,3848,14897,14779,3039,1280,6282
49.8,2208,5203,24554,23690,19788,15054,928542,5039,3713,15044,15248,3664,1155,6203
50,2246,4910,24904,23876,19440,15255,932671,5002,3550,15438,14958,3360,1160,6264
50.2,2257,4979,25101,23976,19759,15225,927533,5282,3838,14665,14888,3953,1314,7043
50.4,2297,4866,25389,24746,19702,14638,925829,5269,3867,13778,14851,3816,1202,7058
50.6,2370,4532,26376,25385,19867,15037,924432,5422,3621,14232,15179,3992,1362,7093
50.8,2416,4418,25593,24806,19522,14588,910100,5260,3689,14202,15273,3767,1291,6672
51,2311,4703,25188,24750,19895,15187,914957,4937,3951,14295,15141,3905,1122,7040
51.2,2273,4843,24787,24357,19293,15117,909912,5174,4158,13434,15404,3983,1057,6773
51.4,2420,4462,24718,24184,19188,15017,898968,5080,3541,14274,15775,3491,1112,6739
51.6,2513,4310,24789,24415,19519,15232,897495,4949,3851,14323,15618,3901,1114,6519
51.8,2455,4271,24663,24639,19502,15126,895286,4954,3611,14706,15922,3750,1059,6231
52,2450,4583,24493,25126,19138,14920,886774,5199,3085,14099,15773,4307,1266,6104
52.2,2286,4551,24128,24202,19367,14693,885148,5430,3389,14707,15640,4305,1129,6385
52.4,2372,4783,24386,24516,19343,14763,891240,5076,3763,14302,15803,3879,1132,6127
52.6,2586,4540,24348,25001,19502,14742,889938,4955,3363,14012,15719,4338,1129,6337
52.8,2382,4476,24846,24854,19388,14989,890893,5229,3495,14617,15900,3947,1213,6007
53,2537,4567,25333,25354,19672,14831,905034,5076,3448,14215,15912,4333,1241,6198
53.2,2570,4387,25943,25931,19994,14924,912319,5209,3636,14158,15753,4134,1163,6387
53.4,2534,4550,25815,26206,20471,15591,915477,5318,3686,13807,15831,3883,1180,6686
53.6,2369,4792,26002,26721,20488,15565,926459,5425,3486,14604,16190,3915,1290,6942
53.8,2265,4888,25346,26125,20131,15614,927938,5293,3881,14832,16452,3918,1257,6668
54,2323,4689,24986,25825,20062,15780,923425,5218,3528,13288,16080,3930,1211,6167
54.2,2568,4256,25900,26477,20098,15279,923008,5315,3775,14289,16252,3786,1259,6047
54.4,2527,4127,25569,26814,19843,15179,914620,5161,3868,14376,15925,3601,1094,5901
54.6,2574,4416,25271,26351,19737,14745,911656,5252,3777,14499,15875,3758,1243,5692
54.8,2392,4565,24847,25505,19048,14858,891210,4976,3652,14086,16089,3897,1188,5180
55,2378,4737,25008,25371,19281,14517,893625,5076,3410,14955,15635,4507,1360,5213
55.2,2158,4997,24244,24966,19401,14591,899600,5163,3755,14455,15939,4377,1072,5246
55.4,2180,5217,24572,25219,19876,14769,913368,5353,3986,14451,16460,3276,1269,5200
55.6,1947,5293,24401,25161,19802,14551,910024,5465,3424,14973,16209,4286,1228,5127
55.8,1980,5547,23937,24548,19140,14378,898852,5185,3190,14483,16444,4197,1234,5411
56,1785,5577,23149,23639,18956,14192,893329,5029,3531,15218,16119,4325,1121,4705
56.2,2039,5289,23376,24368,18869,14147,892248,5034,3708,14298,15904,3741,1206,4870
56.4,2008,5618,23346,24135,19084,14124,889834,5136,4018,14755,16095,3877,1278,5232
56.6,2142,5409,23415,24079,18985,14240,899555,4974,4006,15032,15977,3825,1182,5203
56.8,1939,5862,22837,23689,19113,14255,900736,4875,3975,14293,15513,3944,915,4695
57,1625,5970,22444,23271,18595,13866,884931,5116,3588,14551,16303,4151,1037,4903
57.2,1912,5785,22650,23109,18652,13973,878506,5065,3928,14566,15806,3773,1168,4945
57.4,1891,5401,22954,23432,18909,14126,888599,4816,3805,14350,15707,3989,1109,4401
57.6,2085,5012,23406,23543,18873,14145,886013,4957,3257,14998,15880,3791,1184,3980
57.8,1956,5264,23592,23750,18973,14538,891639,4805,3643,14181,15852,3868,1117,3910
58,1852,5355,23898,23741,18766,14352,895471,4921,3453,13774,15291,3189,1160,3770
58.2,2112,4760,24016,24148,18835,14434,903927,4849,3728,14579,15251,3571,1323,3537
58.4,1686,5645,22753,23328,18409,14406,899534,5122,3908,14377,15611,3454,1274,3902
58.6,1420,6548,20859,22030,17998,14291,883452,5209,3506,14710,15665,3622,1066,3720
58.8,1590,6121,21864,22676,18177,14315,899739,5051,3628,14976,15796,3567,1073,4026
59,1384,6692,21533,22726,18210,14719,902346,5049,4080,15149,16287,3729,1115,4158
59.2,1107,7194,20280,21929,17554,14409,884359,5018,3741,14152,16224,3442,1091,4084
59.4,1266,6979,20775,22446,17966,14489,888241,4967,3601,14128,16311,3618,1061,4188
59.6,1604,6101,21755,23489,18505,14911,907011,5033,4104,14676,15930,3753,1164,3991
59.8,1527,6279,22005,23556,18313,14576,892717,4746,3715,13845,16083,3723,1211,4004
60,1800,5591,22276,23446,18254,13984,873064,4681,3626,13651,16159,3458,958,3626
60.2,1526,6259,21388,23105,18252,14062,875942,4977,3296,14633,16524,3789,932,3868
60.4,1548,6434,21072,22523,17847,13780,860577,5058,3863,14006,16028,4140,1195,3703
60.6,1630,6327,20774,22346,17554,13630,845014,4913,3774,14279,15891,4333,1091,3512
60.8,2024,5528,21876,22928,17616,13476,844595,4932,3806,14233,16070,3989,1224,3443
61,1880,5487,22124,23040,17717,13170,846494,4680,3592,14488,15694,3929,1083,2975
61.2,1732,5510,21619,23398,17768,13379,841437,4682,3610,13981,16076,3967,1112,3204
61.4,1882,5547,21934,23046,17737,13436,850667,4900,3785,13693,15969,4085,1262,3243
61.6,1706,5338,22394,22934,18322,13457,854802,4927,3655,14105,16380,4086,1309,3237
61.8,1660,5601,21961,22380,18067,13524,853881,4961,3826,13874,15998,3936,1236,3251
62,1686,5659,21751,22340,18287,13450,849697,4828,3496,13393,16235,4439,1133,3656
