Record,Section,Section_depth,strat_depth,SH20_age,Type,Group,Guano_Zone,Guano_Sum,P2O5_TiO2,CaO_TiO2,Cu_TiO2,Zn_TiO2,Sr_TiO2,P_Ti,Ca_Ti,Cu_Ti,Zn_Ti,Sr_Ti,P_Ti_CS,Ca_Ti_CS,Cu_Ti_CS,Zn_Ti_CS,Sr_Ti_CS,Plot_order
ARD,ARD-1A,13,13,1286,Freshwater,Unit A12,ARD GZ 5,Guano,5.34375,7.080078125,0.033986591,0.024316406,0.074023438,3.891111946,8.443267661,0.056707273,0.040572386,0.123509514,0.009029819,1.635027299,0.10751785,0.158546829,1.518269635,3
ARD,ARD-1A,15,15,1609,Freshwater,Unit A12,ARD GZ 5,Guano,3.375856164,5.84760274,0.019428927,0.023287671,0.052568493,2.458167813,6.973492981,0.032417534,0.038855922,0.087711531,0.046336882,5.189104571,1.484658735,2.142767689,10.13587977,3
ARD,ARD-1A,17,17,1783,Freshwater,Unit A12,ARD GZ 5,Guano,12.82005495,13.55769231,0.086049566,0.080631868,0.169230769,9.335067874,16.16807371,0.143575337,0.134535806,0.282364757,0.037643208,6.242771413,1.692307692,2.183306056,11.53409711,3
ARD,ARD-1A,19,19,1958,Freshwater,Unit A12,ARD GZ 5,Guano,7.842789598,7.978723404,0.054662069,0.045862884,0.10177305,5.710815869,9.514936998,0.091204702,0.076523095,0.169810269,0.098051948,9.461038961,2.392207792,3.834415584,21.16103896,3
ARD,ARD-1A,21,21,2084,Freshwater,Unit A12,ARD GZ 5,Guano,9.486891386,9.650436954,0.06832727,0.058052434,0.121722846,6.907987163,11.50852022,0.11400535,0.096861591,0.203096885,0.051878354,8.833631485,2.472271914,3.674418605,19.09838998,3
ARD,ARD-1A,23,23,2163,Freshwater,Unit A12,ARD GZ 5,Guano,,,,,,,,,,,0.037393768,2.524645892,1.141076487,1.162606232,8.596033994,3
ARD,ARD-1A,25,25,2243,Freshwater,Unit A12,ARD GZ 5,Guano,6.96314741,8.615537849,0.041691306,0.048705179,0.094721116,5.07029447,10.27436291,0.069562737,0.081265518,0.158043983,0.104091456,8.682310469,2.78700361,3.54211793,17.37966306,3
ARD,ARD-1A,27,27,2303,Freshwater,Unit A12,ARD GZ 5,Guano,4.134364821,6.498371336,0.02298307,0.023371336,0.05504886,3.010484462,7.749559762,0.038347689,0.038995518,0.09185007,0.039521392,3.445250181,0.633430022,0.838651197,5.539158811,3
ARD,ARD-1A,29,29,2363,Freshwater,Unit A12,ARD GZ 5,Guano,3.367213115,5.909836066,0.020710984,0.016967213,0.048688525,2.451874279,7.047708635,0.034556671,0.028310118,0.081237729,0.031715705,3.983951089,0.736721437,0.983568972,6.629728697,3
ARD,ARD-1A,31,31,2424,Freshwater,Unit A12,ARD GZ 5,Guano,3.438596491,5.837320574,0.020073407,0.020733652,0.049043062,2.503852891,6.9612311,0.033492861,0.034594493,0.081829282,0.019547325,2.960562414,0.524691358,0.643689986,4.992455418,3
