Record,Section,Section_depth,strat_depth,SH20_age,Type,Group,Guano_Zone,Guano_Sum,P2O5_TiO2,CaO_TiO2,Cu_TiO2,Zn_TiO2,Sr_TiO2,P_Ti,Ca_Ti,Cu_Ti,Zn_Ti,Sr_Ti,P_Ti_CS,Ca_Ti_CS,Cu_Ti_CS,Zn_Ti_CS,Sr_Ti_CS,Plot_order
ARD,ARD-1A,33,33,2487,Freshwater,Unit A12,ARD GZ 5,Guano,3.824959481,6.069692058,0.020707817,0.021799028,0.049837925,2.785187468,7.238343104,0.034551387,0.036372092,0.083155527,0.028681357,3.610003498,0.640083945,0.813571179,5.621545995,3
ARD,ARD-1A,35,35,2549,Freshwater,Unit A11,ARD GZ 0,Non Guano,2.32471008,5.04014273,0.012503351,0.012310437,0.038893845,1.692763914,6.010565613,0.020862079,0.020540198,0.06489512,0.014588859,2.774204244,0.331233422,0.578249337,4.045092838,2
ARD,ARD-1A,37,37,2606,Freshwater,Unit A11,ARD GZ 0,Non Guano,2.132075472,4.887690925,0.012764558,0.010422282,0.037466307,1.552494847,5.828760926,0.021297909,0.017389776,0.062513246,0.014798489,2.217254408,0.26070529,0.305730479,3.045969773,2
ARD,ARD-1A,39,39,2663,Freshwater,Unit A11,ARD GZ 0,Non Guano,1.998290598,5.068376068,0.013446609,0.013846154,0.037948718,1.45507788,6.044234964,0.022435923,0.023102571,0.063318158,0.015848353,2.133623369,0.245494096,0.298943443,3.104412679,2
ARD,ARD-1A,41,41,2706,Freshwater,Unit A11,ARD GZ 0,Non Guano,2.262090484,5.070202808,0.014503115,0.014664587,0.039157566,1.647166747,6.046413422,0.024198723,0.024468142,0.065335144,0.01503006,2.923179693,0.518036072,0.578824315,4.38510354,2
ARD,ARD-1A,43,43,2736,Freshwater,Unit A11,ARD GZ 0,Non Guano,4.590544157,6.743978591,0.026282554,0.026137377,0.058876004,3.342656601,8.042455936,0.043852941,0.043610711,0.098235732,0.045045045,4.094329624,0.676735559,0.820879703,5.309485957,2
ARD,ARD-1A,45,45,2766,Freshwater,Unit A11,ARD GZ 0,Non Guano,3.465635739,5.919243986,0.020888242,0.01967354,0.050343643,2.523541825,7.058927945,0.034852429,0.032825675,0.083999325,0.03299389,4.014663951,0.709979633,0.910794297,6.638696538,2
ARD,ARD-1A,47,47,2789,Freshwater,Unit A11,ARD GZ 0,Non Guano,6.75,9.183673469,0.036971938,0.040612245,0.084489796,4.915088774,10.95188667,0.061688382,0.067762303,0.140972832,0.022183099,2.621830986,0.366197183,0.480985915,4.747887324,2
ARD,ARD-1A,49,49,2811,Freshwater,Unit A11,ARD GZ 0,Non Guano,3.657679739,6.200980392,0.019241115,0.02001634,0.050653595,2.663380833,7.394909532,0.032104166,0.033397644,0.084516486,0.029969149,5.051123843,1.041868665,1.312031732,7.835169678,2
ARD,ARD-1A,51,51,2830,Freshwater,Unit A11,ARD GZ 0,Non Guano,1.97564688,5.273972603,0.010449171,0.011339422,0.038888889,1.4385896,6.289416803,0.01743464,0.018920041,0.064886851,0.015255906,2.693405512,0.281988189,0.424212598,4.36023622,2
ARD,ARD-1A,53,53,2846,Freshwater,Unit A11,ARD GZ 0,Non Guano,1.764020393,5.178441369,0.009305698,0.010852149,0.036562272,1.284491383,6.175492103,0.015526734,0.018107016,0.061004847,0.019157088,2.360974275,0.171866448,0.35440613,3.850574713,2
ARD,ARD-1A,55,55,2862,Freshwater,Unit A11,ARD GZ 0,Non Guano,0.578830084,4.384401114,0.003080904,0.005682451,0.024345404,0.421481666,5.228568313,0.005140548,0.009481278,0.040620769,0.008455468,2.170800451,0.152198422,0.278748591,3.041149944,2
ARD,ARD-1A,57,57,2876,Freshwater,Unit A11,ARD GZ 0,Non Guano,2.234558249,5.621579359,0.012077003,0.013526192,0.043080532,1.627118839,6.703951336,0.020150709,0.022568709,0.071880687,0.010514665,2.317100166,0.211123409,0.300221361,3.137797454,2
ARD,ARD-1A,59,59,2890,Freshwater,Unit A11,ARD GZ 0,Non Guano,1.268403909,4.892508143,0.006522223,0.008729642,0.033224756,0.923602639,5.834505645,0.010882452,0.014565573,0.055436137,0.003418803,2.379242979,0.241269841,0.302808303,3.143833944,2
ARD,ARD-1B,5,61.3,2907,Freshwater,Unit A11,ARD GZ 0,Non Guano,5.058106842,7.460168697,0.026987162,0.031771321,0.077788191,3.683117653,8.896540405,0.045028593,0.053011054,0.129791077,,2.674465921,0.512716175,0.600203459,11.2034588,2
ARD,ARD-1B,7,64.5,2930,Freshwater,Unit A11,ARD GZ 0,Non Guano,,,,,,,,,,,0.060352832,7.192200557,2.308263695,3.233054782,24.71959146,2
ARD,ARD-1B,9,67.6,2953,Freshwater,Unit A10,ARD GZ 4,Guano,15.01779935,17.1197411,0.10105726,0.112135922,0.205501618,10.9353803,20.415955,0.16861596,0.187100919,0.342883359,0.086563307,6.639534884,2.366925065,3.062015504,28.63049096,4
ARD,ARD-1B,11,70.8,2977,Freshwater,Unit A10,ARD GZ 4,Guano,15.00803859,16.62379421,0.107612178,0.109646302,0.2,10.92827289,19.82451911,0.179552966,0.182946941,0.333703804,0.077327327,8.961711712,2.417417417,3.03003003,19.26126126,4
ARD,ARD-1B,13,74,3001,Freshwater,Unit A10,ARD GZ 4,Guano,13.40688576,15.43035994,0.091618295,0.102503912,0.187793427,9.762375362,18.40130247,0.152866868,0.171029728,0.313336905,0.052945563,7.777777778,2.117822521,2.58836689,17.23117077,4
ARD,ARD-1B,15,77.1,3027,Freshwater,Unit A10,ARD GZ 4,Guano,11.68704512,13.90101892,0.083551538,0.094032023,0.163609898,8.510053969,16.57750401,0.13940733,0.156894219,0.272986227,0.247863248,9.645299145,3.944444444,6.863247863,90.84615385,4
ARD,ARD-1B,17,80.3,3054,Freshwater,Unit A10,ARD GZ 4,Guano,16.57069847,18.27938671,0.109317995,0.13032368,0.218568995,12.06614134,21.79887735,0.182399153,0.217447539,0.364686525,0.017766497,8.345177665,2.934010152,5.271573604,56.8680203,4
ARD,ARD-1B,19,83.5,3081,Freshwater,Unit A10,ARD GZ 4,Guano,17.1349481,19.35986159,0.115804108,0.148269896,0.220242215,12.47700608,23.08738554,0.193221357,0.247391142,0.367478324,0.105263158,13.61403509,10.26315789,21.63157895,408.6315789,4
ARD,ARD-1B,21,86.6,3108,Freshwater,Unit A10,ARD GZ 4,Guano,12.95335277,15.51020408,0.085758217,0.089504373,0.170116618,9.432130191,18.4965197,0.143089216,0.149339749,0.283842813,0.109839817,10.18535469,3.205949657,4.835240275,41.89016018,4
ARD,ARD-1B,23,89.8,3136,Freshwater,Unit A10,ARD GZ 4,Guano,14.22098569,17.10651828,0.09747091,0.106200318,0.179650238,10.35517143,20.40018628,0.162632067,0.177197251,0.29974984,0.01240458,6.416030534,1.854007634,2.322519084,21.07633588,4
ARD,ARD-1B,25,92.9,3163,Freshwater,Unit A10,ARD GZ 4,Guano,15.06632653,18.0952381,0.110915813,0.129251701,0.193877551,10.97071591,21.57927299,0.185065145,0.215658921,0.323488382,0.029962547,5.724719101,1.969101124,2.191947566,21.17977528,4
ARD,ARD-1B,27,96.1,3191,Freshwater,Unit A10,ARD GZ 4,Guano,22.20879121,25.8021978,0.155491696,0.171428571,0.295384615,16.17158228,30.77012124,0.259440853,0.286031832,0.492854849,0.12369338,16.02264808,4.449477352,5.68815331,45.60627178,4
ARD,ARD-1B,29,99.3,3219,Freshwater,Unit A10,ARD GZ 4,Guano,16.45207957,18.11934901,0.111211392,0.114647378,0.212658228,11.97976764,21.60802618,0.185558323,0.191291331,0.354824298,0.097560976,12.85772358,3.608739837,4.156504065,28.36686992,4
ARD,ARD-1B,31,102.4,3246,Freshwater,Unit A10,ARD GZ 4,Guano,15.11205433,16.77419355,0.109108678,0.109168081,0.201697793,11.00401312,20.00387615,0.182049905,0.182149021,0.336536604,0.086267606,10.21478873,2.911971831,3.702464789,21.80369718,4
ARD,ARD-1B,33,105.6,3274,Freshwater,Unit A10,ARD GZ 4,Guano,13.44126506,17.13855422,0.087450824,0.092168675,0.179668675,9.787409039,20.43839037,0.145913363,0.153785187,0.299780601,0.050642479,9.169312169,2.563114135,3.062736206,19.49659864,4
ARD,ARD-1B,35,108.7,3301,Freshwater,Unit A10,ARD GZ 4,Guano,12.13704206,15.61736771,0.078141932,0.089009498,0.170556309,8.837724325,18.62431648,0.1303813,0.14851404,0.284576446,0.059163987,8.384565916,1.68681672,2.241800643,16.56913183,4
ARD,ARD-1B,37,111.9,3329,Freshwater,Unit A9,ARD GZ 4,Guano,7.190816327,11.16326531,0.040766426,0.045918367,0.105306122,5.236074164,13.31262668,0.068019558,0.076615669,0.175705268,0.021611887,4.845114813,1.170193606,1.557406574,8.884286357,4
ARD,ARD-1B,39,115.1,3357,Freshwater,Unit A9,ARD GZ 4,Guano,5.647601476,9.815498155,0.034128495,0.03597786,0.085701107,4.112364832,11.7053621,0.056944043,0.060029743,0.142993927,0.044608223,5.276570985,0.737781226,0.984096199,8.647788984,4
ARD,ARD-1B,41,118.2,3385,Freshwater,Unit A9,ARD GZ 4,Guano,5.130355515,9.243391067,0.030508101,0.032452142,0.081312671,3.735726341,11.02310222,0.050903348,0.054147017,0.135671738,0.019209957,3.388798701,0.32521645,0.405032468,4.341720779,4
ARD,ARD-1B,43,121.4,3416,Freshwater,Unit A9,ARD GZ 4,Guano,4.122557726,8.072824156,0.027436033,0.028419183,0.071492007,3.001886993,9.627155793,0.045777543,0.047417947,0.119285774,0.017810026,3.707783641,0.723614776,0.976912929,7.792216359,4
ARD,ARD-1B,45,124.5,3451,Freshwater,Unit A9,ARD GZ 4,Guano,3.673300166,7.777777778,0.022453587,0.028524046,0.066252073,2.674755024,9.275301547,0.037464237,0.047592914,0.110542844,0.01417214,3.932941583,0.620117525,0.639474594,7.514690633,4
ARD,ARD-1B,47,127.7,3486,Freshwater,Unit A9,ARD GZ 4,Guano,3.520661157,7.652892562,0.022300559,0.02661157,0.063471074,2.563609205,9.126371086,0.037208908,0.044401911,0.105902695,0.02880288,4.312781278,0.583708371,0.770027003,7.580108011,4
ARD,ARD-1B,49,130.9,3520,Freshwater,Unit A9,ARD GZ 4,Guano,3.360734238,7.414205906,0.02024162,0.023782921,0.059377494,2.447156611,8.841727994,0.033773527,0.039682256,0.099072478,0.014246575,3.745205479,0.533150685,0.893150685,9.248767123,4
ARD,ARD-1B,51,134,3554,Freshwater,Unit A9,ARD GZ 4,Guano,3.799654577,8.039723661,0.024125357,0.027633851,0.071848014,2.766761416,9.587682169,0.040253618,0.046107607,0.119879778,0.025398893,3.853793553,0.339954412,0.573754477,5.662976229,4
ARD,ARD-1B,53,137.2,3588,Freshwater,Unit A9,ARD GZ 4,Guano,3.105084746,7.322033898,0.021251443,0.024237288,0.059915254,2.261002545,8.731809302,0.035458438,0.040440376,0.099969741,0.030927835,3.803458597,0.447954772,0.735616894,5.297306285,4
ARD,ARD-1B,55,140.4,3623,Freshwater,Unit A9,ARD GZ 4,Guano,4.242009132,8.356164384,0.028996448,0.029954338,0.06739726,3.088866884,9.965049999,0.048381126,0.049979383,0.112453611,0.035394456,5.046908316,0.886140725,0.93347548,8.142857143,4
ARD,ARD-1B,57,143.5,3657,Freshwater,Unit A9,ARD GZ 4,Guano,5.263366337,9.891089109,0.032947218,0.032178218,0.089207921,3.832579674,11.79550724,0.05497306,0.053689969,0.148845113,0.008715423,4.912845775,0.815460402,1.147025388,7.561197423,4
ARD,ARD-1B,59,146.7,3696,Freshwater,Unit A9,ARD GZ 4,Guano,3.395061728,7.868312757,0.020560786,0.021316872,0.062386831,2.472152561,9.38326802,0.034306062,0.035567607,0.104093615,0.023818385,4.721622627,0.526609602,0.707852624,6.351321176,4
ARD,ARD-1B,61,149.8,3736,Freshwater,Unit A9,ARD GZ 4,Guano,3.104265403,7.654028436,0.018979358,0.01943128,0.057030016,2.260405931,9.127725659,0.031667421,0.03242146,0.095155666,0.039699248,4.325112782,0.446917293,0.527819549,5.022857143,4
ARD,ARD-1C,41,151,3751,Freshwater,Unit A9,ARD GZ 4,Guano,2.388117284,6.99845679,0.016553591,0.015354938,0.048302469,1.738934586,8.345931055,0.027619981,0.025620007,0.080593589,0.005728314,3.361292962,0.331423895,0.407528642,5.273322422,4
ARD,ARD-1C,43,153,3777,Freshwater,Unit A9,ARD GZ 4,Guano,3.415973378,7.928452579,0.020703832,0.021547421,0.063144759,2.487379615,9.454987089,0.034544737,0.035952282,0.105358231,0.022291022,2.600309598,0.184210526,0.292569659,3.260681115,4
ARD,ARD-1C,45,155,3802,Freshwater,Unit A9,ARD GZ 4,Guano,0.954266212,5.590443686,0.007875215,0.008327645,0.031535836,0.694859725,6.666820839,0.013139947,0.013894834,0.052618143,0.008330854,2.381731627,0.152038084,0.183873847,2.788753347,4
ARD,ARD-1C,47,157,3833,Freshwater,Unit A9,ARD GZ 4,Guano,0.544529262,4.980916031,0.005701512,0.00648855,0.025954198,0.396505135,5.939935478,0.00951308,0.010826268,0.043305074,0.00700191,2.031508593,0.105665181,0.152450668,2.667727562,4
ARD,ARD-1C,49,159,3864,Freshwater,Unit A8,ARD GZ 0,Non Guano,0.330241187,4.737167594,0.005012145,0.00550402,0.023871367,0.240468852,5.649256018,0.008362859,0.009183562,0.039829829,0.004681648,2.204822097,0.071161049,0.125234082,2.151217228,2
ARD,ARD-1C,51,161,3898,Freshwater,Unit A8,ARD GZ 0,Non Guano,0.252354049,5.109855618,0.00424969,0.00527307,0.024544884,0.183754452,6.093700936,0.007090689,0.008798217,0.040953606,0.013799243,2.198531048,0.049632762,0.119964389,1.890941465,2
ARD,ARD-1C,53,163,3936,Freshwater,Unit A8,ARD GZ 0,Non Guano,0.313802083,5.403645833,0.004097014,0.005273438,0.024869792,0.228498533,6.444057158,0.006835945,0.008798831,0.04149572,0.003808073,2.252665651,0.038271135,0.11824067,1.613099772,2
ARD,ARD-1C,55,165,3974,Freshwater,Unit A8,ARD GZ 0,Non Guano,0.231691919,4.949494949,0.003792277,0.004924242,0.023800505,0.168709089,5.902464621,0.006327487,0.008216192,0.039711595,0.004706325,1.938064759,0.056099398,0.128388554,1.590361446,2
ARD,ARD-1C,57,167,4012,Freshwater,Unit A8,ARD GZ 0,Non Guano,0.476107226,3.758741259,0.004667418,0.005652681,0.018531469,0.346682857,4.482444679,0.007787676,0.009431605,0.030920108,0.005174644,2.124006653,0.052670486,0.114026982,1.604694142,2
ARD,ARD-1C,59,169,4051,Freshwater,Unit A8,ARD GZ 0,Non Guano,0.203907204,4.603174603,0.004307572,0.005006105,0.021978022,0.148477335,5.489464181,0.007187265,0.008352781,0.036670748,0.010084342,2.225889256,0.083608361,0.117161716,1.682618262,2
ARD,ARD-1C,61,171,4089,Freshwater,Unit A8,ARD GZ 0,Non Guano,0.209807573,4.742396027,0.003965463,0.00496586,0.022780881,0.152773755,5.655491127,0.006616451,0.008285631,0.038010334,0.003433476,1.985693848,0.082689557,0.125321888,1.699284692,2
ARD,ARD-1C,63,173,4127,Freshwater,Unit A8,ARD GZ 0,Non Guano,0.221945137,4.788029925,0.004339435,0.005174564,0.022942643,0.16161186,5.709911319,0.00724043,0.008633858,0.038280237,0.006676939,3.895737031,0.648690293,0.812532101,6.140215716,2
ARD,ARD-1C,65,175,4165,Freshwater,Unit A8,ARD GZ 0,Non Guano,1.93902439,6.592539455,0.013406271,0.014275466,0.039526542,1.411922521,7.861858895,0.022368618,0.023818887,0.065950788,0.035502959,9.538461538,2.801775148,3.730769231,48.93195266,2
ARD,ARD-1C,67,177,4204,Freshwater,Unit A8,ARD GZ 0,Non Guano,8.19088017,12.77836691,0.048028233,0.053340403,0.110922587,5.964281952,15.23869797,0.080136021,0.088999477,0.185076447,0.047058824,9.333333333,3.182352941,4.180392157,38.61764706,2
ARD,ARD-1C,69,179,4242,Freshwater,Unit A7,ARD GZ 3,Guano,11.48991354,14.59654179,0.090540031,0.085014409,0.15129683,8.366510382,17.40694199,0.151067763,0.141848159,0.252441639,0.044481054,4.491762768,2.42092257,2.235584843,14.12850082,5
ARD,ARD-1C,71,181,4280,Freshwater,Unit A7,ARD GZ 3,Guano,,,,,,,,,,,0.041694242,4.266710788,2.146260754,1.924553276,6.400397088,5
ARD,ARD-1C,73,183,4319,Freshwater,Unit A7,ARD GZ 3,Guano,,,,,,,,,,,0.013091641,3.818731118,0.890735146,1.050855992,8.217019134,5
ARD,ARD-1C,75,185,4357,Freshwater,Unit A7,ARD GZ 3,Guano,,,,,,,,,,,0.087926509,4.800524934,2.450131234,2.471128609,18.86745407,5
ARD,ARD-1C,77,187,4382,Freshwater,Unit A7,ARD GZ 3,Guano,10.37804878,11.47865854,0.091860315,0.082317073,0.137652439,7.55689349,13.68874534,0.153270683,0.137347602,0.229675713,0.016891892,4.533783784,2.870777027,2.434121622,12.00422297,5
ARD,ARD-1C,79,189,4407,Freshwater,Unit A7,ARD GZ 3,Guano,9.966719493,12.74167987,0.087491104,0.065134707,0.124405705,7.257379422,15.19494725,0.145980572,0.108678497,0.207573286,0.033185841,5.72300885,0.911504425,1.087610619,8.715486726,5
ARD,ARD-1C,81,191,4430,Freshwater,Unit A7,ARD GZ 3,Guano,2.47109375,8.203125,0.014227811,0.016796875,0.049453125,1.799354837,9.782544601,0.023739373,0.028025905,0.08251348,0.019488956,4.003031615,0.466868774,0.631442183,6.525768731,5
ARD,ARD-1C,83,193,4450,Freshwater,Unit A6,ARD GZ 0,Non Guano,3.083194676,8.935108153,0.018720706,0.02063228,0.055990017,2.245063043,10.65546289,0.031235854,0.034425351,0.093420408,0.009249184,2.930359086,0.206474429,0.33405876,3.498639826,2
ARD,ARD-1C,85,195,4470,Freshwater,Unit A6,ARD GZ 0,Non Guano,2.597014925,8.208955224,0.015654261,0.016889238,0.050117832,1.891045764,9.789497369,0.026119433,0.028180015,0.083622556,0.019858156,6.232624113,1.074231678,1.18534279,9.043971631,2
ARD,ARD-1C,87,197,4491,Freshwater,Unit A6,ARD GZ 0,Non Guano,5.227316141,11.02196753,0.029232977,0.03008596,0.082903534,3.806329316,13.1441236,0.048775778,0.050198996,0.138326123,0.018798529,5.903555374,0.841029832,0.935022477,7.380057213,2
ARD,ARD-1C,89,199,4511,Freshwater,Unit A6,ARD GZ 0,Non Guano,2.209056604,7.328301887,0.013744602,0.014943396,0.045509434,1.608549528,8.739284121,0.022933131,0.024933341,0.075933356,0.029737903,6.961693548,1.007560484,1.403729839,10.56905242,2
ARD,ARD-1C,91,201,4531,Freshwater,Unit A6,ARD GZ 0,Non Guano,2.924739792,8.262610088,0.019543044,0.019135308,0.053002402,2.129682329,9.853482874,0.032607941,0.031927626,0.088435516,0.01540832,3.571032357,0.292141757,0.416640986,4.24807396,2
ARD,ARD-1D,15,204,4560,Freshwater,Unit A6,ARD GZ 0,Non Guano,3.979842244,9.754601227,0.021225736,0.022787029,0.066082384,2.897967102,11.63274015,0.035415545,0.038020591,0.110259714,0.005768848,2.356872886,0.142033022,0.254028247,2.821762483,2
ARD,ARD-1D,17,206,4580,Freshwater,Unit A6,ARD GZ 0,Non Guano,4.920250896,10.61827957,0.026998372,0.026971326,0.076971326,3.582736288,12.66271006,0.045047298,0.045002171,0.128428122,0.016994633,3.965414431,0.372391175,0.43679189,4.850327967,2
ARD,ARD-1D,19,208,4600,Freshwater,Unit A6,ARD GZ 0,Non Guano,1.250506415,5.921674544,0.008884617,0.00972316,0.033828494,0.910570376,7.061826479,0.014824153,0.016223277,0.056443486,0.053339741,6.868332532,0.987025469,1.016338299,9.551657857,2
ARD,ARD-1D,21,210,4621,Freshwater,Unit A6,ARD GZ 0,Non Guano,2.685847589,7.744945568,0.015496014,0.017418351,0.050777605,1.955730272,9.236147864,0.025855395,0.029062851,0.0847234,0.012074054,2.997585189,0.234504964,0.297290046,3.697075396,2
ARD,ARD-1D,23,212,4641,Freshwater,Unit A6,ARD GZ 0,Non Guano,2.966227348,8.369028007,0.016336512,0.019028007,0.055436573,2.159891961,9.980390368,0.027257781,0.031748591,0.092496977,0.003748828,2.779756326,0.194236176,0.310449859,3.450328022,2
ARD,ARD-1D,25,214,4661,Freshwater,Unit A6,ARD GZ 0,Non Guano,3.091428571,8.775510204,0.019303243,0.018612245,0.056244898,2.251058647,10.46513615,0.032207829,0.031054885,0.093845682,0.006546135,3.376870324,0.356296758,0.450124688,4.78117207,2
ARD,ARD-1D,27,216,4681,Freshwater,Unit A6,ARD GZ 0,Non Guano,2.63121118,7.802795031,0.015027781,0.017468944,0.050232919,1.915946153,9.305135592,0.025074139,0.029147266,0.083814581,0.020914252,3.372572453,0.370182253,0.497161637,4.79593666,2
ARD,ARD-1D,29,218,4701,Freshwater,Unit A6,ARD GZ 0,Non Guano,2.307335907,7.55984556,0.015167435,0.016447876,0.047413127,1.680112714,9.015408928,0.025307154,0.027443595,0.079109705,0.003786683,3.402335121,0.323445882,0.464499842,4.764594509,2
ARD,ARD-1D,31,220,4721,Freshwater,Unit A6,ARD GZ 0,Non Guano,3.845500849,9.41426146,0.023391994,0.02385399,0.067232598,2.800144897,11.22687179,0.039029987,0.039800836,0.112178868,0.01965812,5.264957265,0.790598291,0.953846154,8.098717949,2
ARD,ARD-1D,33,222,4741,Freshwater,Unit A6,ARD GZ 0,Non Guano,2.101545254,7.196467991,0.014242665,0.014716703,0.044738779,1.530263924,8.582067089,0.023764158,0.0245551,0.074647503,0.006524008,3.449634656,0.316805846,0.420146138,4.037578288,2
ARD,ARD-1D,35,224,4760,Freshwater,Unit A6,ARD GZ 0,Non Guano,3.559967585,8.816855754,0.020939621,0.021393841,0.061507293,2.592230624,10.51444232,0.034938157,0.035696031,0.102626089,0.01303781,4.277053455,0.43220339,0.475228162,5.540743155,2
ARD,ARD-1D,37,226,4780,Freshwater,Unit A6,ARD GZ 0,Non Guano,1.862984218,6.642754663,0.013132674,0.013199426,0.041248207,1.35655301,7.921742477,0.021912116,0.022023494,0.068823417,0.012668574,5.494074377,0.646914589,0.83408255,7.874948917,2
ARD,ARD-1D,39,228,4800,Freshwater,Unit A6,ARD GZ 0,Non Guano,1.887688985,6.681065515,0.013111302,0.013318934,0.042116631,1.374542065,7.967429654,0.021876456,0.022222896,0.070272399,0.010551396,4.310755616,0.496936692,0.540844112,6.795779442,2
ARD,ARD-1D,41,230,4819,Freshwater,Unit A6,ARD GZ 0,Non Guano,4.463222417,10.26269702,0.025799249,0.025481611,0.07530648,3.249945837,12.23866409,0.043046538,0.042516553,0.125650294,0.010818608,4.131265777,0.452217815,0.524341868,5.963216733,2
ARD,ARD-1D,43,232,4840,Freshwater,Unit A6,ARD GZ 0,Non Guano,2.225683891,7.515197568,0.013693694,0.014817629,0.046656535,1.620656875,8.962164467,0.022848188,0.024723496,0.077847316,0.009214891,4.472171028,0.482860302,0.713969775,6.033173609,2
ARD,ARD-1D,45,234,4861,Freshwater,Unit A6,ARD GZ 0,Non Guano,2.705098039,8.023529412,0.016227972,0.016862745,0.051764706,1.969747705,9.568369899,0.027076679,0.028135811,0.086370396,0.006272618,2.885162847,0.160193004,0.249457177,3.236188179,2
ARD,ARD-1D,47,236,4881,Freshwater,Unit A6,ARD GZ 0,Non Guano,1.18212824,6.132332879,0.009040564,0.009549795,0.033969986,0.860780036,7.31304471,0.015084353,0.015934015,0.056679568,0.007807925,2.375170798,0.084130392,0.155377708,2.091938317,2
ARD,ARD-1D,49,238,4901,Freshwater,Unit A6,ARD GZ 0,Non Guano,0.622983871,5.840053763,0.005895214,0.006989247,0.02936828,0.453632745,6.964490534,0.009836277,0.011661692,0.049001533,0.008032129,3.06184739,0.220348059,0.350736278,3.381793842,2
ARD,ARD-1D,51,240,4921,Freshwater,Unit A6,ARD GZ 0,Non Guano,0.643808256,5.745672437,0.00609419,0.007323569,0.029161119,0.468796256,6.851937143,0.010168272,0.012219513,0.048655881,0.005343082,3.293869516,0.196006749,0.339707537,3.900168729,2
ARD,ARD-1D,53,242,4941,Freshwater,Unit A6,ARD GZ 0,Non Guano,0.877133106,6.19112628,0.007549793,0.008259386,0.031945392,0.638694383,7.383158121,0.012596974,0.013780942,0.053301495,0.009737828,2.915605493,0.141073658,0.251435705,2.997752809,2
ARD,ARD-1D,55,244,4960,Freshwater,Unit A6,ARD GZ 0,Non Guano,3.587893864,9.046434494,0.019923605,0.024543947,0.06119403,2.61256546,10.78822387,0.033242914,0.040952042,0.102103403,0.008623443,3.254551262,0.252634941,0.396039604,4.118811881,2
ARD,ARD-1D,57,246,4980,Freshwater,Unit A6,ARD GZ 0,Non Guano,3.854063018,9.096185738,0.023876701,0.024626866,0.063515755,2.806379537,10.84755415,0.03983873,0.041090394,0.105977245,0.014720642,3.871863499,0.429575109,0.594513215,6.135162262,2
