Record,strat_depth,SH20_age,Group,Guano_Zone,Guano_Sum,LnP2O5_TiO2,LnCaO_TiO2,LnCu_TiO2,LnZn_TiO2,LnSr_TiO2,LnP_Ti,LnCa_Ti,LnCu_Ti,LnZn_Ti,LnSr_Ti,LnP_Ti_CS,LnCa_Ti_CS,LnCu_Ti_CS,LnZn_Ti_CS,LnSr_Ti_CS,Plot_order
,cm,cal a BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARD,13,1286,Unit 12,ARD GZ 5,Guano,1.675927654,1.957284942,-3.381789225,-3.716604002,-2.603373513,1.358694964,2.133369397,6.340487567,6.005672789,7.118903279,-4.707222911,0.491659501,-2.230098402,-1.841705278,0.417571288,3
ARD,15,1609,Unit 12,ARD GZ 5,Guano,1.21664897,1.766031789,-3.940992262,-3.75983119,-2.945638328,0.899416281,1.942116244,5.781284529,5.962445601,6.776638463,-3.071817055,1.646561153,0.395184938,0.762098306,2.316081582,3
ARD,17,1783,Unit 12,ARD GZ 5,Guano,2.551010737,2.606954084,-2.452831802,-2.517861321,-1.776491997,2.233778048,2.783038539,7.269444989,7.20441547,7.945784794,-3.279602743,1.83142422,0.526093096,0.780840267,2.445307614,3
ARD,19,1958,Unit 12,ARD GZ 5,Guano,2.059594587,2.076778424,-2.906585241,-3.082099113,-2.285009948,1.742361898,2.252862879,6.81569155,6.640177678,7.437266843,-2.322257859,2.247182204,0.872216702,1.344017033,3.052161706,3
ARD,21,2084,Unit 12,ARD GZ 5,Guano,2.249910992,2.267003195,-2.683446323,-2.846408634,-2.106008569,1.932678302,2.44308765,7.038830468,6.875868157,7.616268222,-2.958853643,2.178566197,0.905137531,1.301394917,2.949604037,3
ARD,23,2163,Unit 12,ARD GZ 5,Guano,,,,,,,,,,,-3.286251227,0.926100812,0.131972104,0.150664237,2.151300933,3
ARD,25,2243,Unit 12,ARD GZ 5,Guano,1.940631586,2.1535673,-3.17746266,-3.021969904,-2.356818331,1.623398897,2.329651755,6.544814132,6.700306888,7.365458461,-2.262485381,2.161287676,1.024967044,1.264724834,2.855300733,3
ARD,27,2303,Unit 12,ARD GZ 5,Guano,1.419333706,1.871551582,-3.772997427,-3.756244986,-2.899534126,1.102101017,2.047636037,5.949279365,5.966031806,6.822742666,-3.230913176,1.236996523,-0.456605748,-0.175960396,1.71184265,3
ARD,29,2363,Unit 12,ARD GZ 5,Guano,1.214085433,1.776618093,-3.877091084,-4.076472437,-3.022311911,0.896852744,1.952702548,5.845185707,5.645804354,6.69996488,-3.450943295,1.382274063,-0.305545427,-0.016567514,1.891563883,3
ARD,31,2424,Unit 12,ARD GZ 5,Guano,1.235063391,1.764271886,-3.908359391,-3.875997183,-3.015056546,0.917830702,1.940356341,5.813917401,5.846279608,6.707220245,-3.934916825,1.085379255,-0.644945079,-0.440538057,1.607927857,3
ARD,33,2487,Unit 12,ARD GZ 5,Guano,1.341547874,1.803307872,-3.877243996,-3.825889918,-2.99897903,1.024315185,1.979392327,5.845032795,5.896386874,6.723297762,-3.551507945,1.283708741,-0.446155946,-0.206321859,1.726606714,3
ARD,35,2549,Unit  11,ARD GZ 0,Non Guano,0.843595335,1.617434401,-4.381758609,-4.397307831,-3.246919273,0.526362645,1.793518856,5.340518183,5.324968961,6.475357519,-4.227497095,1.020363947,-1.10493195,-0.547750125,1.397504502,2
ARD,37,2606,Unit  11,ARD GZ 0,Non Guano,0.757095905,1.586719989,-4.361082818,-4.563809253,-3.284313222,0.439863216,1.762804444,5.361193974,5.158467538,6.437963569,-4.213230221,0.796269677,-1.344364668,-1.185051354,1.113819331,2
ARD,39,2663,Unit  11,ARD GZ 0,Non Guano,0.692292114,1.623020464,-4.309028326,-4.279747786,-3.271519558,0.375059425,1.799104919,5.413248465,5.442529006,6.450757233,-4.144689695,0.757821646,-1.404482382,-1.207500877,1.132824544,2
ARD,41,2706,Unit  11,ARD GZ 0,Non Guano,0.816289378,1.623380818,-4.233391851,-4.222319768,-3.240161611,0.499056689,1.799465273,5.48888494,5.499957024,6.482115181,-4.197703075,1.07267196,-0.657710402,-0.546756275,1.478213238,2
ARD,43,2736,Unit  11,ARD GZ 0,Non Guano,1.52399857,1.908650046,-3.638849919,-3.644388907,-2.832321681,1.20676588,2.084734501,6.083426873,6.077887884,6.88995511,-3.100092289,1.409602998,-0.390474689,-0.197378705,1.669495024,2
