C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data     06/08/2013  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Pb	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data\L000000.spe	0.10	8.00	1	0.018309	-0.003173	0.009740	0.093737	5324.33203	1.12	6	12	4	16	0	0	32	16	708	0	241	4	140	9099	59	0	48	81	0	38	28	66	9	879	359	0	0	0	7	0	8	0	0	20	38	0	0	5677	1839	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data\L000001.spe	2.04	8.00	1	0.018309	-0.003173	0.009732	0.093737	10151.79004	1.26	25	25	10	23	34	0	47	85	2131	0	592	26	431	21621	159	0	172	249	27	54	95	75	113	1897	603	8	0	23	0	35	19	21	0	136	93	0	0	10463	3479	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data\L000002.spe	4.10	8.00	1	0.018309	-0.003173	0.009733	0.093737	9819.50684	1.31	4	0	8	10	29	0	42	67	1345	7	420	19	282	14942	222	0	100	172	9	0	73	94	38	2120	691	0	0	5	22	4	0	0	71	45	0	0	0	11353	3785	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data\L000003.spe	6.04	8.00	1	0.018309	-0.003173	0.009733	0.093737	11019.74609	1.26	28	13	41	28	9	0	43	74	1617	0	462	18	329	18704	149	0	153	218	0	54	90	135	42	2384	759	0	0	12	0	9	39	64	46	66	88	0	868394294244396	11924	4337	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data\L000004.spe	8.10	8.00	1	0.018309	-0.003173	0.009736	0.093737	11198.33789	1.26	25	29	26	10	18	0	33	43	1734	0	505	13	315	17855	153	0	140	173	41	0	16	133	106	2374	688	0	0	0	0	44	13	38	75	31	106	15	475711919926799	13144	4405	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data\L000005.spe	10.04	8.00	1	0.018309	-0.003173	0.009736	0.093737	10930.54980	1.24	22	0	30	5	18	0	0	33	1211	5	384	15	554	16992	204	0	105	179	0	0	130	72	70	2340	636	0	0	0	0	0	10	6	0	92	30	12	0	12452	4365	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data\L000006.spe	12.20	8.00	1	0.018309	-0.003173	0.009736	0.093737	13724.50977	1.47	17	28	18	21	12	10	0	57	1960	0	662	18	653	27852	236	0	171	241	0	15	69	144	26	2845	743	0	0	0	28	22	0	83	48	22	163	0	671630072292447	14311	5002	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data\L000007.spe	14.04	8.00	1	0.018309	-0.003173	0.009736	0.093737	14336.37891	1.42	0	4	18	12	20	0	0	95	2303	0	774	29	451	29325	313	0	157	224	6	104	94	165	60	2859	982	0	0	0	0	24	18	65	20	47	60	0	773390774167474	14712	5159	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data\L000008.spe	16.10	8.00	1	0.018309	-0.003173	0.009736	0.093737	15103.34180	1.31	0	19	9	5	7	0	12	89	2770	0	917	36	581	32824	320	0	169	168	71	0	119	136	95	3168	919	0	0	0	0	33	0	0	108	0	103	0	661679543296332	15266	5465	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1E\XRF data\L000009.spe	18.04	8.00	1	0.018309	-0.003173	0.009736	0.093737	13437.62402	1.34	0	0	32	11	28	0	21	86	2128	0	513	13	409	21381	183	0	188	305	31	155	92	177	0	2875	971	0	0	19	0	50	17	75	13	19	91	9	317429000393914	15222	5225	
