"Core","depth_cm","SH20_age","kcps","MSE","param","value"
"ARD1A",11.4,1030.42,10586.56934,0.97,"Si",-2.35903441305267
"ARD1A",11.4,1030.42,10586.56934,0.97,"P",NA
"ARD1A",11.4,1030.42,10586.56934,0.97,"K",-2.35903441305267
"ARD1A",11.4,1030.42,10586.56934,0.97,"Ca",0.668446558815897
"ARD1A",11.4,1030.42,10586.56934,0.97,"Ti",0.259067551386597
"ARD1A",11.4,1030.42,10586.56934,0.97,"V",-2.26666109292166
"ARD1A",11.4,1030.42,10586.56934,0.97,"Mn",-0.594524586271994
"ARD1A",11.4,1030.42,10586.56934,0.97,"Fe",3.63299449090505
"ARD1A",11.4,1030.42,10586.56934,0.97,"Co",-1.9863591277675
"ARD1A",11.4,1030.42,10586.56934,0.97,"Cu",-2.20950267908171
"ARD1A",11.4,1030.42,10586.56934,0.97,"Zn",-1.24972683526782
"ARD1A",11.4,1030.42,10586.56934,0.97,"Br",NA
"ARD1A",11.4,1030.42,10586.56934,0.97,"Sr",1.33627593139155
"ARD1A",11.4,1030.42,10586.56934,0.97,"Zr",0.801391842211958
"ARD1A",11.4,1030.42,10586.56934,0.97,"Os",NA
"ARD1A",11.4,1030.42,10586.56934,0.97,"Mo_inc",3.74475024640743
"ARD1A",11.4,1030.42,10586.56934,0.97,"Mo_coh",2.58191652629755
"ARD1A",11.4,1030.42,10586.56934,0.97,"inc_coh",3.198985474
"ARD1A",11.4,1030.42,10586.56934,0.97,"coh_inc",0.312599106
"ARD1A",11.6,1062.78,13329.53125,1.26,"Si",-3.34947640373136
"ARD1A",11.6,1062.78,13329.53125,1.26,"P",-3.75494151183952
"ARD1A",11.6,1062.78,13329.53125,1.26,"K",-1.34200836167661
"ARD1A",11.6,1062.78,13329.53125,1.26,"Ca",1.61103450318233
"ARD1A",11.6,1062.78,13329.53125,1.26,"Ti",1.06534005376551
"ARD1A",11.6,1062.78,13329.53125,1.26,"V",-2.02034045645142
"ARD1A",11.6,1062.78,13329.53125,1.26,"Mn",-0.0373126444396004
"ARD1A",11.6,1062.78,13329.53125,1.26,"Fe",4.40452856745397
"ARD1A",11.6,1062.78,13329.53125,1.26,"Co",-2.02034045645142
"ARD1A",11.6,1062.78,13329.53125,1.26,"Cu",-0.941530795079486
"ARD1A",11.6,1062.78,13329.53125,1.26,"Zn",-0.837170779755244
"ARD1A",11.6,1062.78,13329.53125,1.26,"Br",-0.428707168650822
"ARD1A",11.6,1062.78,13329.53125,1.26,"Sr",1.82037607881343
"ARD1A",11.6,1062.78,13329.53125,1.26,"Zr",1.22294099578493
"ARD1A",11.6,1062.78,13329.53125,1.26,"Os",-2.45565852770926
"ARD1A",11.6,1062.78,13329.53125,1.26,"Mo_inc",4.15699326876256
"ARD1A",11.6,1062.78,13329.53125,1.26,"Mo_coh",2.90627363802201
"ARD1A",11.6,1062.78,13329.53125,1.26,"inc_coh",3.49285562
"ARD1A",11.6,1062.78,13329.53125,1.26,"coh_inc",0.286298693
"ARD1A",11.8,1095.15,10465.1748,1.12,"Si",-2.65087502076455
"ARD1A",11.8,1095.15,10465.1748,1.12,"P",NA
"ARD1A",11.8,1095.15,10465.1748,1.12,"K",-1.51144073757618
"ARD1A",11.8,1095.15,10465.1748,1.12,"Ca",1.32255661279224
"ARD1A",11.8,1095.15,10465.1748,1.12,"Ti",0.779071774183593
"ARD1A",11.8,1095.15,10465.1748,1.12,"V",-3.12087865001028
"ARD1A",11.8,1095.15,10465.1748,1.12,"Mn",-0.256774818934729
"ARD1A",11.8,1095.15,10465.1748,1.12,"Fe",4.16032346838443
"ARD1A",11.8,1095.15,10465.1748,1.12,"Co",-0.571433479084712
"ARD1A",11.8,1095.15,10465.1748,1.12,"Cu",-1.16548975700043
"ARD1A",11.8,1095.15,10465.1748,1.12,"Zn",-0.859115551536493
"ARD1A",11.8,1095.15,10465.1748,1.12,"Br",-1.83994480454822
"ARD1A",11.8,1095.15,10465.1748,1.12,"Sr",1.22724643298792
"ARD1A",11.8,1095.15,10465.1748,1.12,"Zr",0.690218436827902
"ARD1A",11.8,1095.15,10465.1748,1.12,"Os",-2.0002874546234
"ARD1A",11.8,1095.15,10465.1748,1.12,"Mo_inc",3.47125222486348
"ARD1A",11.8,1095.15,10465.1748,1.12,"Mo_coh",2.32557132403945
"ARD1A",11.8,1095.15,10465.1748,1.12,"inc_coh",3.144581776
"ARD1A",11.8,1095.15,10465.1748,1.12,"coh_inc",0.318007313
"ARD1A",12,1127.52,10582.66699,1.25,"Si",-3.13873534178925
"ARD1A",12,1127.52,10582.66699,1.25,"P",NA
"ARD1A",12,1127.52,10582.66699,1.25,"K",-1.55461523733944
"ARD1A",12,1127.52,10582.66699,1.25,"Ca",1.33931144786965
"ARD1A",12,1127.52,10582.66699,1.25,"Ti",0.75563272840018
"ARD1A",12,1127.52,10582.66699,1.25,"V",-2.27373790430264
"ARD1A",12,1127.52,10582.66699,1.25,"Mn",-0.269416993090913
"ARD1A",12,1127.52,10582.66699,1.25,"Fe",4.14441236104476
"ARD1A",12,1127.52,10582.66699,1.25,"Co",-0.447492259003416
"ARD1A",12,1127.52,10582.66699,1.25,"Cu",-2.3004061513848
"ARD1A",12,1127.52,10582.66699,1.25,"Zn",-1.30615387804094
"ARD1A",12,1127.52,10582.66699,1.25,"Br",-2.10466157425871
"ARD1A",12,1127.52,10582.66699,1.25,"Sr",1.08444209227582
"ARD1A",12,1127.52,10582.66699,1.25,"Zr",0.49885081793714
"ARD1A",12,1127.52,10582.66699,1.25,"Os",NA
"ARD1A",12,1127.52,10582.66699,1.25,"Mo_inc",3.38464339391459
"ARD1A",12,1127.52,10582.66699,1.25,"Mo_coh",2.18792649776793
"ARD1A",12,1127.52,10582.66699,1.25,"inc_coh",3.309234508
"ARD1A",12,1127.52,10582.66699,1.25,"coh_inc",0.302184689
"ARD1A",12.2,1159.89,10957.5498,1.13,"Si",-3.47933354476794
"ARD1A",12.2,1159.89,10957.5498,1.13,"P",NA
"ARD1A",12.2,1159.89,10957.5498,1.13,"K",-1.42520981107239
"ARD1A",12.2,1159.89,10957.5498,1.13,"Ca",1.45081449841563
"ARD1A",12.2,1159.89,10957.5498,1.13,"Ti",0.807007839771533
"ARD1A",12.2,1159.89,10957.5498,1.13,"V",-1.83067491918056
"ARD1A",12.2,1159.89,10957.5498,1.13,"Mn",0.0262238522184575
"ARD1A",12.2,1159.89,10957.5498,1.13,"Fe",4.26488973421836
"ARD1A",12.2,1159.89,10957.5498,1.13,"Co",-0.899116715175616
"ARD1A",12.2,1159.89,10957.5498,1.13,"Cu",-1.4381132159083
"ARD1A",12.2,1159.89,10957.5498,1.13,"Zn",-0.519228448857101
"ARD1A",12.2,1159.89,10957.5498,1.13,"Br",-2.89154687986582
"ARD1A",12.2,1159.89,10957.5498,1.13,"Sr",1.25686490362656
"ARD1A",12.2,1159.89,10957.5498,1.13,"Zr",0.670130316675239
"ARD1A",12.2,1159.89,10957.5498,1.13,"Os",-1.97525614799167
"ARD1A",12.2,1159.89,10957.5498,1.13,"Mo_inc",3.58610901004979
"ARD1A",12.2,1159.89,10957.5498,1.13,"Mo_coh",2.39643952784385
"ARD1A",12.2,1159.89,10957.5498,1.13,"inc_coh",3.285994948
"ARD1A",12.2,1159.89,10957.5498,1.13,"coh_inc",0.304321831
