"Core","depth_cm","Group","Guano_Zone","Guano_Sum","SH20_age","kcps","MSE","Si","P","K","Ca","Ti","Mn","Fe","Co","Cu","Zn","Se","Br","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","coh_inc"
"ARD1A",11.4,"Unit 13","ARD NON GUANO",2,1030.42,10586.56934,0.97,-2.18321617673906,NA,-2.18321617673906,0.844264795129508,0.434885787700208,-0.418706349958383,3.80881272721866,-1.81054089145389,-2.0336844427681,-1.07390859895421,-1.97961722149782,NA,-2.57268094350079,1.51209416770516,0.977210078525569,3.92056848272104,2.75773476261116,3.19898547382984,0.312599106241891
"ARD1A",11.6,"Unit 13","ARD NON GUANO",2,1062.78,13329.53125,1.26,-3.5524005360207,-3.95786564412886,-1.54493249396595,1.40811037089299,0.862415921476176,-0.240236776728938,4.20160443516463,-2.22326458874075,-1.14445492736882,-1.04009491204458,NA,-0.63163130094016,-1.43213699982061,1.6174519465241,1.02001686349559,3.95406913647322,2.70334950573267,3.49285561953508,0.286298693369154
"ARD1A",11.8,"Unit 13","ARD NON GUANO",2,1095.15,10465.1748,1.12,-2.84961613460689,NA,-1.71018185141853,1.1238154989499,0.58033066034125,-0.455515932777072,3.96158235454209,-0.770174592927055,-1.36423087084277,-1.05785666537884,-2.3387905108409,-2.03868591839056,NA,1.02850531914557,0.491477322985559,3.27251111102114,2.12683021019711,3.14458177637252,0.31800731261426
"ARD1A",12,"Unit 13","ARD NON GUANO",2,1127.52,10582.66699,1.25,-2.89252044000359,NA,-1.30840033555378,1.58552634965531,1.00184763018583,-0.0232020913052597,4.39062726283042,-0.201277357217763,-2.05419124959915,-1.05993897625528,-3.10015980478184,-1.85844667247305,-2.62058672451995,1.33065699406148,0.745065719722794,3.63085829570025,2.43414139955359,3.30923450789793,0.302184688819534
"ARD1A",12.2,"Unit 13","ARD NON GUANO",2,1159.89,10957.5498,1.13,-3.51426372718793,NA,-1.46013999349238,1.41588431599564,0.772077657351547,-0.00870633020152844,4.22995955179838,-0.934046897595602,-1.47304339832829,-0.554158631277087,-1.62719407815555,-2.92647706228581,-1.68971443513688,1.22193472120657,0.635200134255253,3.5511788276298,2.36150934542386,3.28599494807746,0.304321831226512
"ARD1A",12.4,"Unit 13","ARD NON GUANO",2,1192.26,12618.46582,1.21,-2.21493176667122,-3.66185074960754,-1.82926928585923,1.67988523730802,1.07544358930759,0.158605062295115,4.43686807910689,-0.356797228498288,-1.50718578669012,-0.724012454472453,-1.43722719808321,-1.08733194112985,-3.17634293382584,1.52133630968686,0.823972678747984,3.74683132096134,2.55200706742395,3.30297723292469,0.302757158006363
"ARD1A",12.6,"Unit 13","ARD NON GUANO",2,1224.63,13446.62305,1.25,-2.07939503218672,-3.48630868050935,-1.56449608303309,1.58677962823346,0.998575339604242,-0.041626186907453,4.38322044494936,-0.778258479407137,-1.82808060390582,-1.24382751158501,-2.44485480568119,NA,-1.57676617562491,1.42266295981041,0.735647006305399,3.55539457098253,2.36133360895529,3.30045706038008,0.30298833819242
"ARD1A",12.8,"Unit 13","ARD NON GUANO",2,1257,11675.71191,1.12,-2.76194123470053,-3.50387857942991,-1.63207640252832,1.51406328984879,0.893036667737726,-0.025720156631623,4.31972733459798,-0.769511070010322,-1.18149085913968,-0.559439600263466,-1.58695596724785,-1.03577904795829,-1.87463803969963,1.41024581428551,0.733122283193717,3.60256361043245,2.45867195751343,3.13896037056099,0.318576815871454
"ARD1A",13,"Unit 12","ARD GZ 5",3,1289.37,12100.3916,1.02,-2.97632761434922,NA,-2.54733200883086,1.179761390635,0.5352178244818,-0.395029118886155,3.97452136259418,-1.42573020193805,-1.403257346086,-1.02026509382989,NA,-1.73382114602104,NA,0.816750966986286,0.0423535921903149,3.05238110593113,1.90077628712251,3.16326530612245,0.316129032258064
"ARD1A",13.2,"Unit 12","ARD GZ 5",3,1321.73,12724.3623,1.11,-2.62519910146457,NA,-1.43127663299214,1.25567717496674,0.731698021301005,-0.315969465751856,4.08965889435143,-1.19808274582442,-2.24220684920846,-1.12855668317581,-2.26519636743316,-1.23060593752998,-1.31686628181439,1.19397735359722,0.632897436556912,3.51403868993285,2.33601249448864,3.24795703945832,0.307885845733592
"ARD1A",13.4,"Unit 12","ARD GZ 5",3,1354.1,13759.11035,1.13,-3.12306923094148,NA,-1.80421615061712,1.11040695532417,0.63509290773201,-0.409238666923766,3.97455154142248,-1.0995081476561,-1.2412836100557,-1.09377747294711,NA,-1.26135117310651,-2.76205588540415,1.12356091886689,0.464066347984823,3.33622266598965,2.15059900033191,3.27272727272727,0.305555555555556
"ARD1A",13.6,"Unit 12","ARD GZ 5",3,1386.47,13456.82324,2.33,-2.25585075347269,-2.89183952019269,-2.04454165980548,1.52028514563848,1.03452460250612,-0.0521114951152759,4.34908890860975,-1.70467383418313,-1.3754920308246,-0.869556392352798,-1.89039097997822,-1.42550245139926,-1.33956002159853,1.52900710633078,0.974721111158703,3.8043026973601,2.63758956731874,3.21141975308642,0.311388755406055
