"Core","depth_cm","Group","Guano_Zone","Guano_Sum","SH20_age","kcps","MSE","K","Ca","Ti","Mn","Fe","Cu","Zn","Br","Sr","Zr","Mo_inc","Mo_coh","inc_coh","coh_inc"
"ARD1A",11.4,"Unit 13","ARD NON GUANO",2,1030.42,10586.56934,0.97,-2.96013028884739,0.0673506830211847,-0.342028324408115,-1.19562046206671,3.03189861511034,-2.81059855487642,-1.85082271106253,NA,0.735180055596841,0.200295966417245,3.14365437061271,1.98082065050283,3.19898547382984,0.312599106241891
"ARD1A",11.6,"Unit 13","ARD NON GUANO",2,1062.78,13329.53125,1.26,-2.47540480802519,0.477638056833746,-0.0680563925830686,-1.17070909078818,3.27113212110539,-2.07492724142807,-1.97056722610383,-1.5621036149994,0.686979632464852,0.0895445494363427,3.02359682241397,1.77287719167343,3.49285561953508,0.286298693369154
"ARD1A",11.8,"Unit 13","ARD NON GUANO",2,1095.15,10465.1748,1.12,-2.20673028794976,0.627267062418662,0.0837822238100134,-0.952064369308308,3.46503391801085,-1.86077930737401,-1.55440510191007,-2.5352343549218,0.531956882614337,-0.0050711135456778,2.7759626744899,1.63028177366587,3.14458177637252,0.31800731261426
"ARD1A",12,"Unit 13","ARD NON GUANO",2,1127.52,10582.66699,1.25,-2.04294569609738,0.850980989111711,0.267302269642238,-0.757747451848855,3.65608190228682,-2.78873661014274,-1.79448433679888,-2.59299203301665,0.596111633517882,0.0105203591791989,2.89631293515665,1.69959603900999,3.30923450789793,0.302184688819534
"ARD1A",12.2,"Unit 13","ARD NON GUANO",2,1159.89,10957.5498,1.13,-2.10724158833204,0.768782721155979,0.124976062511884,-0.655807925041191,3.58285795695872,-2.12014499316795,-1.20126022611675,-3.57357865712547,0.574833126366906,-0.0119014605844097,2.90407723279014,1.7144077505842,3.28599494807746,0.304321831226512
"ARD1A",12.4,"Unit 13","ARD NON GUANO",2,1192.26,12618.46582,1.21,-2.73319844224974,0.775956080917509,0.171514432917084,-0.745324094095393,3.53293892271638,-2.41111494308062,-1.62794161086296,-1.99126109752036,0.617407153296357,-0.079956477642523,2.84290216457083,1.64807791103344,3.30297723292469,0.302757158006363
"ARD1A",12.6,"Unit 13","ARD NON GUANO",2,1224.63,13446.62305,1.25,-2.5068218260703,0.644453885196249,0.0562495965670333,-0.983951929944662,3.44089470191215,-2.77040634694302,-2.18615325462222,NA,0.480337216773199,-0.20667873673181,2.61306882794532,1.41900786591808,3.30045706038008,0.30298833819242
"ARD1A",12.8,"Unit 13","ARD NON GUANO",2,1257,11675.71191,1.12,-2.50682014345233,0.639319548924769,0.0182929268137073,-0.900463897555642,3.44498359367396,-2.0562346000637,-1.43418334118748,-1.91052278888231,0.535502073361487,-0.141621457730301,2.72781986950843,1.58392821658941,3.13896037056099,0.318576815871454
"ARD1A",13,"Unit 12","ARD GZ 5",3,1289.37,12100.3916,1.02,-2.91417016018814,0.812923239277728,0.168379673124525,-0.76186727024343,3.6076832112369,-1.77009549744327,-1.38710324518716,-2.10065929737832,0.449912815629012,-0.32448455916696,2.68554295457386,1.53393813576524,3.16326530612245,0.316129032258064
"ARD1A",13.2,"Unit 12","ARD GZ 5",3,1321.73,12724.3623,1.11,-2.04838867437018,0.638565133588694,0.11458597992296,-0.933081507129901,3.47254685297338,-2.85931889058651,-1.74566872455386,-1.84771797890803,0.576865312219178,0.0157853951788667,2.8969266485548,1.7189004531106,3.24795703945832,0.307885845733592
"ARD1A",13.4,"Unit 12","ARD GZ 5",3,1354.1,13759.11035,1.13,-2.38626892261726,0.528354183324026,0.0530401357318677,-0.991291438923908,3.39249876942234,-1.82333638205584,-1.67583024494725,-1.84340394510665,0.541508146866745,-0.117986424015319,2.7541698939895,1.56854622833177,3.27272727272727,0.305555555555556
"ARD1A",13.6,"Unit 12","ARD GZ 5",3,1386.47,13456.82324,2.33,-2.88473458559092,0.680092219853037,0.19433167672068,-0.892304420900714,3.50889598282431,-2.21568495661004,-1.70974931813824,-2.2656953771847,0.68881418054534,0.134528185373265,2.96410977157466,1.7973966415333,3.21141975308642,0.311388755406055
