C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data     07/08/2013  re-evaluated data																																																							
peakarea																																																							
filename	position (mm)	sample surface	validity	revalidity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Y	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	Fe a*2	S1	S2	S3	Mo inc	Mo coh
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000000.spe	0.04	8	0	1	0.018303	-0.003173	0.009916	0.093737	3978	1.08	0	0	6	8	12	0	43	0	0	0	8	0	0	0	24	0	0	0	0	0	26	6	5	0	716	0	376	0	0	0	7	0	12	0	0	15	0	0	0	25	0	0	1.02E+15	5934	1676
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000001.spe	2.04	8	0	1	0.018304	-0.003173	0.009909	0.093737	5358.72998	1.29	0	0	0	0	0	8	49	11	0	8	0	4	7	0	37	23	0	18	24	0	0	24	51	0	1027	0	460	0	0	0	0	14	0	10	23	25	75	0	0	64	0	0	0	8098	2466
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000002.spe	4.1	7.29	0	1	0.018304	-0.003173	0.009902	0.093737	6410.37793	1.13	30	10	8	13	22	5	46	0	0	0	7	0	0	8	54	10	0	31	16	0	0	0	115	0	1386	6	572	0	0	0	0	6	22	19	9	0	7	0	0	45	7	6	0	9862	2985
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000003.spe	6.04	7.25	0	1	0.018304	-0.003173	0.009906	0.093737	5953.80078	1.03	0	9	6	15	12	7	54	8	0	0	0	0	4	0	49	8	0	24	45	0	0	5	115	4	1347	79	519	0	0	0	0	15	13	40	0	8	18	43	5	0	0	7	0	9294	2773
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000004.spe	8.2	7.31	0	1	0.018304	-0.003173	0.009906	0.093737	6599.16797	1.11	0	0	0	0	5	0	42	5	7	0	0	0	0	11	57	10	0	6	30	0	0	6	97	55	1595	0	628	0	4	0	22	7	18	0	22	5	88	0	0	8	0	15	0	10625	3098
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000005.spe	10.1	7.35	0	1	0.018304	-0.003173	0.009906	0.093737	7977.69922	1.48	0	0	0	0	9	0	35	0	0	0	6	9	0	0	116	18	0	12	30	0	20	0	121	0	2032	50	654	0	0	7	0	8	34	29	0	0	0	0	25	61	0	0	1.62E+15	13221	3819
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000006.spe	12.04	7.38	0	1	0.018304	-0.003173	0.009906	0.093737	8789.75879	1.45	0	0	12	0	0	0	45	0	14	0	0	0	8	6	251	10	0	32	72	0	34	12	86	0	2418	0	707	5	0	0	5	0	0	7	28	0	6	0	36	0	0	7	0	13999	4144
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000007.spe	14.2	7.41	0	1	0.018304	-0.003173	0.009906	0.093737	8970.25	1.13	0	0	0	0	15	0	42	0	30	0	7	0	0	15	850	25	0	25	91	0	0	80	160	0	2618	110	779	0	0	0	0	15	17	0	56	0	41	38	0	0	0	12	4.23E+14	13767	4191
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000008.spe	16.1	7.43	0	1	0.018304	-0.003173	0.009906	0.093737	9213.53613	1.41	0	0	12	0	6	0	37	0	199	0	58	4	6	47	3384	7	7	52	106	0	0	0	111	73	1985	0	749	0	7	0	14	0	38	32	39	30	0	0	0	0	29	0	2.1E+14	13986	4418
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000009.spe	18.1	7.46	0	1	0.018304	-0.003173	0.009906	0.093737	9692.51172	1.15	0	11	18	0	19	9	42	28	517	0	163	8	17	121	7029	162	0	100	163	9	68	56	165	47	2133	0	782	0	0	0	0	0	16	17	51	0	0	87	0	0	0	15	0	13541	4370
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000010.spe	20.24	7.49	0	1	0.018304	-0.003173	0.009906	0.093737	9734.91211	1.33	0	0	20	6	8	0	37	7	319	10	125	6	0	76	5230	122	0	45	106	0	59	91	57	9	1941	34	694	5	0	0	0	0	6	0	24	0	0	31	0	13	0	0	5.41E+13	13871	4528
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000011.spe	22.1	7.51	1	1	0.018304	-0.003173	0.009906	0.093737	10816.35742	1.22	6	8	6	8	15	7	42	14	599	0	223	35	18	167	8123	212	13	110	148	25	98	77	123	0	1922	4	787	0	0	0	0	0	53	57	41	25	0	40	88	4	0	21	1.02E+15	15042	4427
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000012.spe	24.04	7.52	1	1	0.018304	-0.003173	0.009906	0.093737	12058.39355	1.38	24	8	21	16	30	18	27	45	944	14	350	11	11	239	13116	177	0	145	165	0	5	100	163	0	1978	20	760	0	0	0	0	11	22	47	63	0	59	0	0	88	56	0	1.04E+15	15827	4857
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000013.spe	26.04	7.52	1	1	0.018304	-0.003173	0.009906	0.093737	13794.00781	1.35	0	0	18	11	26	14	28	73	1482	0	582	16	22	340	20501	212	0	147	201	23	120	135	240	55	2244	0	777	11	0	0	5	0	8	0	35	0	0	0	0	40	46	0	1.28E+15	17242	5034
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000014.spe	28.04	7.52	1	1	0.018304	-0.003173	0.009906	0.093737	13942.59961	1.58	0	0	26	12	34	15	18	56	1550	14	510	32	0	378	20123	268	0	162	292	0	0	160	201	0	2609	0	789	0	0	0	0	0	10	34	25	39	64	0	21	0	0	0	1.00E+15	16704	4834
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000015.spe	30.04	7.53	1	1	0.018304	-0.003173	0.009906	0.093737	15327.62891	1.4	33	19	23	9	45	0	42	76	1555	0	606	26	0	327	23138	318	0	225	294	10	0	71	203	25	2543	0	863	0	0	14	0	0	59	61	87	24	33	47	0	57	0	5	0	18478	5403
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000016.spe	32.04	7.54	1	1	0.018304	-0.003173	0.009906	0.093737	14417.37695	1.49	31	9	8	21	22	0	25	55	1193	0	612	30	12	253	21103	246	0	111	196	0	0	112	202	66	2297	35	722	0	0	0	0	43	100	40	48	54	69	5	0	34	68	24	1.16E+15	17756	5234
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000017.spe	34.04	7.55	1	1	0.018304	-0.003173	0.009906	0.093737	13910.00195	1.47	0	0	15	11	31	8	30	43	1227	17	562	34	12	286	20507	188	6	191	247	0	0	121	72	25	2346	82	875	0	0	0	0	12	39	73	94	55	72	0	0	66	68	6	0	16679	4993
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000018.spe	36.04	7.56	1	1	0.018304	-0.003173	0.009906	0.093737	13577.61719	1.32	22	16	29	24	26	13	36	50	1235	0	551	63	15	313	19717	260	0	178	135	16	163	113	106	11	2234	41	883	0	0	0	0	6	0	64	71	30	0	10	39	62	66	8	1.37E+14	16303	5046
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000019.spe	38.04	7.56	1	1	0.018304	-0.003173	0.009906	0.093737	13783.20801	1.36	19	13	10	0	37	16	37	64	1238	0	531	29	0	318	18770	226	0	163	122	14	106	111	93	20	2227	0	914	6	0	18	20	0	0	19	42	25	0	26	0	0	57	23	8.19E+14	16892	5036
