"Record","strat_depth","SH20_age","Group","Guano_Zone","Guano_Sum","P2O5_TiO2","CaO_TiO2","Cu_TiO2","Zn_TiO2","Sr_TiO2","P_Ti","Ca_Ti","Cu_Ti","Zn_Ti","Sr_Ti","P_Ti_CS","Ca_Ti_CS","Cu_Ti_CS","Zn_Ti_CS","Sr_Ti_CS","Plot_order"
"ARD",13,1286,"Unit 12","ARD GZ 5","Guano",1.42237529855527,0.281645521858699,1.18300304337372,0.861706575913446,1.12528545902434,1.42237529848826,0.281645521818241,1.18300303232808,0.861706577284179,1.12528545414868,0.188599881999527,-0.788173844083555,-0.608821371899955,-0.680161625950557,-0.737379783354899,3
"ARD",15,1609,"Unit 12","ARD GZ 5","Guano",1.12256380873533,-0.122031464326435,0.601973594122679,0.811328531125111,0.588313828831874,1.12256380882229,-0.122031464339834,0.601973584013293,0.811328530348639,0.588313837758907,1.541982019832,1.23676423311232,1.62136060582542,1.82084618042243,1.23262092050771,3
"ARD",17,1783,"Unit 12","ARD GZ 5","Guano",1.99361879987614,1.65289863414597,2.14821887628056,2.25875126337022,2.42256136608847,1.99361879963455,1.65289863334038,2.1482188719541,2.25875125877981,2.42256136357487,1.37002871916357,1.5608924951181,1.73256727466227,1.83884822639513,1.36671309667373,3
"ARD",19,1958,"Unit 12","ARD GZ 5","Guano",1.67282836569306,0.533859762047408,1.67675484089818,1.60117443824186,1.62475893154502,1.67282836573379,0.533859762232836,1.67675484210549,1.60117444354477,1.62475892304536,2.16228063288103,2.28985861096229,2.02659977691386,2.37979128975928,1.99641892001912,3
"ARD",21,2084,"Unit 12","ARD GZ 5","Guano",1.79706457964247,0.935366146436336,1.90860316667125,1.87585400683019,1.90559018130136,1.79706457956607,0.935366146717921,1.90860316972406,1.87585400782158,1.90559018838036,1.63546501849705,2.16955125399008,2.05456606879545,2.33885185611586,1.88999933393087,3
"ARD",25,2243,"Unit 12","ARD GZ 5","Guano",1.59517077817752,0.695937622415297,1.39530472837334,1.67125051862804,1.51210036813819,1.59517077823427,0.695937621933001,1.39530472647969,1.67125051899693,1.51210035938158,2.21174541890964,2.13925609081566,2.15636141250831,2.30362947352817,1.7921449391115,3
"ARD",27,2303,"Unit 12","ARD GZ 5","Guano",1.25487391769615,0.100688585939355,0.776525470784702,0.815508019399892,0.660645687643211,1.25487391761957,0.100688585857103,0.776525456790625,0.815507999355762,0.660645687212184,1.41032181960262,0.518657187641779,0.897763190858761,0.919821176188355,0.605628733934863,3
"ARD",29,2363,"Unit 12","ARD GZ 5","Guano",1.12089036324443,-0.0996870115220477,0.668368888826731,0.442306912179671,0.468022376519026,1.12089036327706,-0.0996870115541614,0.668368894633719,0.442306929748152,0.468022355595018,1.22823563520309,0.773378462828354,1.02608915107699,1.07292137247131,0.792117559627732,3
"ARD",31,2424,"Unit 12","ARD GZ 5","Guano",1.13458451681683,-0.12574608301446,0.635880163685636,0.675945773817051,0.479405136757061,1.13458451688512,-0.125746082846505,0.635880149583901,0.675945783304263,0.479405140354378,0.827722750354316,0.252820196887255,0.737768657786863,0.665688798216473,0.497800919003111,3
"ARD",33,2487,"Unit 12","ARD GZ 5","Guano",1.20409628071313,-0.0433530398957163,0.668209994215417,0.73434207450703,0.504628785629289,1.20409628076544,-0.0433530396741988,0.668210006029935,0.734342047291723,0.504628807350901,1.14501323392984,0.600559701828801,0.9066403115834,0.89065835555323,0.620948754460664,3
"ARD",35,2549,"Unit  11","ARD GZ 0","Non Guano",0.879038972033798,-0.435675160301553,0.144003559580139,0.0683973242973264,0.115640905481405,0.879038972131677,-0.435675160515981,0.144003558618566,0.0683973121947792,0.115640901135033,0.585597574805354,0.138826098527726,0.347009148018388,0.562709364874964,0.279453850321132,2
"ARD",37,2606,"Unit  11","ARD GZ 0","Non Guano",0.822573205877248,-0.500503903413221,0.165486296270485,-0.125647597231868,0.0569743534613643,0.822573205802918,-0.500503903245945,0.165486351511235,-0.12564757545328,0.0569743566950403,0.597404186456147,-0.25408789477572,0.143610709870647,-0.0494317953236209,-0.0149137851353315,2
"ARD",39,2663,"Unit  11","ARD GZ 0","Non Guano",0.780270086021976,-0.42388468761958,0.219572583585152,0.205404762379265,0.0770460607531432,0.780270086283782,-0.423884687546965,0.219572586566781,0.205404749971688,0.0770460656739408,0.654124962033615,-0.321500458544588,0.0925406250272602,-0.0709950332750278,0.004807089525675,2
"ARD",41,2706,"Unit  11","ARD GZ 0","Non Guano",0.861213979072383,-0.423124089860054,0.298161273319956,0.272332829760641,0.126242829235738,0.86121397894445,-0.423124089882887,0.298161260694689,0.272332816495809,0.126242836800231,0.610253669098698,0.230539956879407,0.726924497253273,0.563663977297964,0.363201759375414,2
"ARD",43,2736,"Unit  11","ARD GZ 0","Non Guano",1.32319785650363,0.178992112163219,0.915908938230814,0.945867849160663,0.766093798663965,1.32319785657164,0.178992112118771,0.915908930389657,0.945867856546527,0.766093789167582,1.51858280881955,0.821295444565729,0.953941620244568,0.899248441728031,0.561686463247725,2
"ARD",45,2766,"Unit  11","ARD GZ 0","Non Guano",1.1396976065906,-0.0963296499194892,0.677223751915224,0.61478019712016,0.520468354060927,1.13969760666547,-0.0963296497567079,0.677223747395378,0.614780173256906,0.52046833627912,1.26093252174941,0.786843401122724,0.994680051572622,0.999085465037757,0.793520218312544,2
