"Record","strat_depth","SH20_age","Group","Guano_Zone","Guano_Sum","P2O5_TiO2","CaO_TiO2","Cu_TiO2","Zn_TiO2","Sr_TiO2","P_Ti","Ca_Ti","Cu_Ti","Zn_Ti","Sr_Ti","P_Ti_CS","Ca_Ti_CS","Cu_Ti_CS","Zn_Ti_CS","Sr_Ti_CS","Plot_order"
"ARD",13,1286,"Unit 12","ARD GZ 5","Guano",1.67592765370293,1.95728494224927,-3.38178921450809,-3.71660401240992,-2.60337350619651,1.35869496408457,2.13336939730496,-2.86985280486959,-3.20466759156314,-2.09143708944401,-4.70722295605092,0.491659500845915,-2.23009839868699,-1.84170527819778,0.417571288364647,3
"ARD",15,1609,"Unit 12","ARD GZ 5","Guano",1.21664897037584,1.76603178922352,-3.94099224099828,-3.75983120008622,-2.94563833110153,0.899416280985902,1.9421162442914,-3.42905582972556,-3.24789478135269,-2.43370190592093,-3.07181704752436,1.64656115262039,0.395184937763932,0.762098306042211,2.31608158126735,3
"ARD",17,1783,"Unit 12","ARD GZ 5","Guano",2.55101073775479,2.60695408440105,-2.45283179991662,-2.51786132299807,-1.7764919984609,2.23377804788316,2.78303853909637,-1.94089538502924,-2.00592489975595,-1.26455557930963,-3.27960273941636,1.83142422048054,0.526093095714961,0.780840267465893,2.4453076146133,3
"ARD",19,1958,"Unit 12","ARD GZ 5","Guano",2.05959458714622,2.07677842422835,-2.9065852470215,-3.08209911648215,-2.28500994468822,1.74236189769912,2.25286287939146,-2.39464882621332,-2.57016268828606,-1.77307352990175,-2.32225785912255,2.24718220377746,0.872216701880661,1.34401703311541,3.05216170597376,3
"ARD",21,2084,"Unit 12","ARD GZ 5","Guano",2.2499109916259,2.26700319453303,-2.68344632415605,-2.84640864234602,-2.10600857269533,1.93267830200245,2.44308764974231,-2.17150990186425,-2.3344722163728,-1.59407214778569,-2.95885364709966,2.17856619677331,0.90513753111897,1.30139491742834,2.94960403725879,3
"ARD",25,2243,"Unit 12","ARD GZ 5","Guano",1.94063158620882,2.15356729972003,-3.17746266112291,-3.02196990957862,-2.35681832582126,1.62339889678431,2.32965175456703,-2.66552624294409,-2.51003348523947,-1.84488191127614,-2.2624853816575,2.16128767631635,1.02496704379858,1.26472483355511,2.855300732998,3
"ARD",27,2303,"Unit 12","ARD GZ 5","Guano",1.41933370627734,1.87155158181296,-3.77299742105453,-3.75624496475684,-2.89953412447474,1.10210101664015,2.04763603684857,-3.26106101374082,-3.24430856253358,-2.38759770520915,-3.23091318405071,1.23699652330922,-0.456605747832242,-0.175960395548526,1.71184265006078,3
"ARD",29,2363,"Unit 12","ARD GZ 5","Guano",1.21408543339417,1.77661809262381,-3.87709109142475,-4.07647244421926,-3.02231190294119,0.896852743920969,1.95270254768287,-3.36515466491734,-3.56453601172855,-2.51037549687043,-3.45094329491427,1.38227406278956,-0.30554542703341,-0.0165675144812999,1.89156388284768,3
"ARD",31,2424,"Unit 12","ARD GZ 5","Guano",1.23506339132964,1.76427188573462,-3.90835937472628,-3.87599719824831,-3.01505655047795,0.917830701911388,1.94035634088843,-3.39642296733871,-3.36406077143576,-2.5031201287695,-3.93491683055716,1.08537925501709,-0.644945078789126,-0.440538056981038,1.60792785647327,3
"ARD",33,2487,"Unit 12","ARD GZ 5","Guano",1.34154787401978,1.80330787198879,-3.87724401714591,-3.82588989733709,-2.99897903859595,1.02431518457879,1.9793923271681,-3.36530758485644,-3.31395350170344,-2.48704260531773,-3.55150794916781,1.28370874131939,-0.446155947167173,-0.206321858916531,1.7266067141541,3
"ARD",35,2549,"Unit  11","ARD GZ 0","Non Guano",0.843595334489837,1.61743440112673,-4.3817585906009,-4.39730783982204,-3.24691926709791,0.52636264511058,1.79351885609889,-3.86982216994615,-3.88537143480083,-2.7349828507032,-4.22749712375504,1.02036394715628,-1.10493194972654,-0.547750124434151,1.39750450154498,2
"ARD",37,2606,"Unit  11","ARD GZ 0","Non Guano",0.757095905301812,1.58671998848713,-4.36108285481846,-4.56380926471495,-3.28431322988086,0.439863215657347,1.76280444364003,-3.84914638009973,-4.05187283166498,-2.77237680869504,-4.21323019801867,0.796269677320707,-1.34436466672573,-1.18505135273276,1.11381933091749,2
"ARD",39,2663,"Unit  11","ARD GZ 0","Non Guano",0.692292114094789,1.62302046412577,-4.30902832368072,-4.27974777444235,-3.27151955700227,0.375059424964199,1.79910491923394,-3.79709189932625,-3.76781136894633,-2.75958313472727,-4.14468969572996,0.757821646675329,-1.40448238091658,-1.20750087732945,1.13282454419257,2
"ARD",41,2706,"Unit  11","ARD GZ 0","Non Guano",0.816289378662226,1.62338081838096,-4.23339182504154,-4.22231973924046,-3.24016161851202,0.499056688936607,1.79946527344391,-3.72145541580685,-3.71038333412021,-2.72822519451805,-4.19770308320925,1.0726719597784,-0.657710402081565,-0.546756275777528,1.47821323786009,2
"ARD",43,2736,"Unit  11","ARD GZ 0","Non Guano",1.52399856976895,1.90865004616901,-3.63884990591733,-3.64438892012081,-2.8323216737124,1.20676588035496,2.08473450122266,-3.1269134928577,-3.13245249366027,-2.32038526015246,-3.10009228987823,1.40960299792084,-0.390474689466786,-0.19737870523509,1.66949502397645,2
"ARD",45,2766,"Unit  11","ARD GZ 0","Non Guano",1.24289609027136,1.77820873567336,-3.86856886205303,-3.92848069327704,-2.98888292399511,0.925663400863326,1.95429319082476,-3.35663244549569,-3.41654429540988,-2.4769465158854,-3.41143288617347,1.38995364551475,-0.342518995273718,-0.0934382063404827,1.89291563970002,2
"ARD",47,2789,"Unit  11","ARD GZ 0","Non Guano",1.90954250488444,2.21742728461152,-3.29759608652573,-3.20368565686166,-2.47112450930722,1.59230981528749,2.39351174005094,-2.78565966401831,-2.6917492416126,-1.95918808802037,-3.80842458635102,0.963872923309643,-1.00458333928906,-0.731917292049407,1.55769974521057,2
"ARD",49,2811,"Unit  11","ARD GZ 0","Non Guano",1.29682899528842,1.82470740729211,-3.95070588324079,-3.91120633899098,-2.98274507351105,0.979596305619373,2.00079186241653,-3.43876947533565,-3.39926992040962,-2.47080866305694,-3.50758679311844,1.61961076169653,0.0410158941205125,0.271576876205031,2.05862253198702,2
