C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data     06/08/2013  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Pb	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000000.spe	0.04	8.00	1	0.018309	-0.003173	0.009804	0.093737	3978.00000	1.06	0	0	0	6	11	0	43	0	0	0	8	0	0	24	0	0	0	0	0	6	7	25	0	745	367	0	0	0	6	0	8	0	0	0	4	0	693823878419722	5983	1670	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000001.spe	2.04	8.00	1	0.018310	-0.003173	0.009798	0.093737	5358.72998	1.20	0	0	0	0	0	8	49	10	0	8	0	7	0	39	21	0	15	19	0	0	22	70	0	1045	454	0	0	0	0	15	0	5	82	37	0	0	0	8194	2484	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000002.spe	4.10	7.29	1	0.018310	-0.003173	0.009793	0.093737	6410.37793	1.10	29	9	8	12	21	5	46	0	0	0	7	0	8	54	9	0	31	17	0	0	0	106	0	1386	557	0	0	0	0	8	24	19	12	40	7	6	0	9891	2982	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000003.spe	6.04	7.25	1	0.018310	-0.003173	0.009788	0.093737	5953.80078	0.99	0	8	6	15	12	7	54	8	0	0	0	4	0	49	7	0	24	46	0	13	4	112	0	1333	507	0	0	0	0	15	13	39	5	0	0	6	0	9302	2779	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000004.spe	8.20	7.31	1	0.018310	-0.003173	0.009788	0.093737	6599.16797	1.15	0	0	0	0	4	0	42	5	8	0	0	0	12	58	9	0	0	27	0	0	8	106	56	1625	616	0	5	0	22	8	14	0	103	0	0	14	0	10706	3118	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000005.spe	10.10	7.35	1	0.018310	-0.003173	0.009788	0.093737	7977.69922	1.54	0	0	0	0	9	0	36	0	0	0	5	0	0	115	17	0	14	34	0	21	0	117	0	2030	624	0	0	9	0	6	37	31	0	35	0	0	323287276849225	13250	3829	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000006.spe	12.04	7.38	1	0.018310	-0.003173	0.009788	0.093737	8789.75879	1.58	0	0	8	0	0	0	45	0	14	0	0	9	7	251	7	0	28	71	0	31	15	77	0	2436	690	6	0	0	7	0	0	0	10	0	0	6	0	14068	4174	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000007.spe	14.20	7.41	1	0.018310	-0.003173	0.009788	0.093737	8970.25000	1.11	0	0	0	0	15	0	42	0	30	0	8	0	16	852	22	0	23	88	0	0	82	139	0	2613	743	0	0	0	0	23	13	0	30	0	4	12	0	13729	4177	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000008.spe	16.10	7.43	1	0.018310	-0.003173	0.009788	0.093737	9213.53613	1.29	0	0	13	0	6	0	35	0	198	0	59	6	48	3398	0	5	43	98	0	0	0	138	57	2031	746	0	7	0	15	0	28	22	9	0	36	0	0	14057	4431	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1C\XRF data\L000009.spe	18.10	7.46	1	0.018310	-0.003173	0.009788	0.093737	9692.51172	1.09	0	11	18	0	18	9	41	27	515	0	164	18	121	7046	146	0	92	157	5	76	60	147	34	2134	780	0	0	0	0	5	11	11	0	0	0	15	0	13576	4403	
