"Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Al","Fe","Mn","Mg","Ca","Na","K","P","Location","Location1","Location2","Reference"
"ARD","ARD1A",0,-56.88,-56.3,-56.6,-56.6,"Freshwater","Unit A13","ARD GZ 0","Non Guano",1.5872752134687,1.24252249298835,-2.8478874250824,0.0254857596075679,1.0890632758894,0.309632761261995,-1.22509591930296,-0.180996158830659,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",1,36.15,49.66,42.72,42.76,"Freshwater","Unit A12","ARD GZ 0","Non Guano",1.563799398765,1.18480207480079,-2.89177211141731,-0.0760280395639794,1.11318898184009,0.239480148106473,-1.23124027765502,0.0977698251239574,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",2,128.85,155.77,142.03,142.11,"Freshwater","Unit A12","ARD GZ 0","Non Guano",1.60496353961424,1.24486632536954,-2.87413846797826,0.00720288636088467,1.07258429772733,0.330406657010997,-1.21360663421597,-0.172278603888773,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",6,481.02,556.65,512.81,514.1,"Freshwater","Unit A12","ARD GZ 0","Non Guano",1.71166979519895,1.34455308357977,-2.81087234108954,0.210920848718699,1.06708906140655,0.491229074065959,-1.1880808353101,-0.826508686570287,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",7,547.29,668.04,583.56,588.03,"Freshwater","Unit A12","ARD GZ 0","Non Guano",1.67601548241421,1.28677987033582,-2.9010199509925,0.14125177015928,1.00095632770747,0.469219269330218,-0.763564045139901,-0.9096387238146,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",8,606.36,780.68,654.58,661.95,"Freshwater","Unit A12","ARD GZ 0","Non Guano",1.7199863255108,1.35492460713039,-2.81329416899883,0.232350236631592,1.07158767634184,0.507855441127367,-1.17145446824869,-0.901955649494464,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",9,661.12,894.54,726.21,735.87,"Freshwater","Unit A12","ARD GZ 0","Non Guano",1.65344049218612,1.32990614004355,-2.83913621398974,0.162336973327544,1.01732841862735,0.47649505339801,-0.754790133451087,-1.04558073014176,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",11,882.68,1106.63,959.93,967.12,"Freshwater","Unit A12","ARD GZ 0","Non Guano",1.66362439892863,1.4067210443813,-2.75462934824648,0.262111311201589,1.12666516846134,0.501045970034467,-1.26115159914736,-0.944386945613486,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",13,1119.03,1403.26,1295.85,1281.77,"Freshwater","Unit A12","ARD GZ 0","Non Guano",1.4864877756527,1.12686916267949,-3.00876221834778,-0.309266343669106,1.19457335811142,0.142814414095764,-1.05224950931901,0.419533360796519,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",15,1309.81,1810.73,1622.13,1596.42,"Freshwater","Unit A12","ARD GZ 5","Guano",1.5959722486787,1.1293925709464,-2.91092863027655,-0.0783774401068366,1.13741997109444,0.246591556067845,-1.21402915234338,0.0939588759393793,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",17,1511.75,1974.68,1774.64,1766.33,"Freshwater","Unit A12","ARD GZ 5","Guano",1.38745752092753,0.946720017993155,-2.67364264937882,-0.767101893771247,1.50171907503797,-0.0930162899448048,-1.25427287243342,0.952137091569629,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",19,1604.97,2219.49,1945.29,1936.24,"Freshwater","Unit A12","ARD GZ 5","Guano",1.56096252952976,1.00416750634277,-2.92739880347553,-0.552922671686283,1.20447780900152,0.116081333491311,-1.10009782592677,0.694730122723219,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",21,1715.32,2390.35,2073.75,2065.19,"Freshwater","Unit A12","ARD GZ 5","Guano",1.4752622183867,0.978770991353507,-2.88658515514691,-0.690485801860601,1.28554763524071,0.0431511003267688,-0.980930863351637,0.775269875051458,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",23,1802.68,2447.1,2167.53,2153.18,"Freshwater","Unit A12","ARD GZ 5","Guano",1.36732502840572,0.965776466397849,-2.78846651195529,-0.811581431843303,1.5324430919037,-0.0703129853947471,-1.20489571932913,1.0097120618152,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",25,1856.58,2561.1,2252.53,2241.18,"Freshwater","Unit A12","ARD GZ 5","Guano",1.45024533596191,1.02011765040074,-2.72292115886946,-0.39723519124964,1.32050003304573,0.0374327221814656,-1.32224351493621,0.614104123465458,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",27,1936.86,2592.95,2315.73,2299.63,"Freshwater","Unit A12","ARD GZ 5","Guano",1.46433754693394,1.11691490140194,-2.79415199087129,-0.166876098184942,1.24275626371555,0.177621977797785,-1.33841456975501,0.29781196896202,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",29,1988.47,2639.36,2377.18,2358.07,"Freshwater","Unit A12","ARD GZ 5","Guano",1.49198134955501,1.13574798375918,-2.85690601803896,-0.103067402044182,1.15857548405656,0.231951929984001,-1.16149574365726,0.10321241638564,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",31,2049.95,2687.73,2440.06,2418.05,"Freshwater","Unit A12","ARD GZ 5","Guano",1.50954018943778,1.13969142895449,-2.84521660072899,-0.116483905865296,1.18540627804289,0.236342044812352,-1.27169614395634,0.162416709303115,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",33,2118.06,2717.92,2508.14,2479.55,"Freshwater","Unit A12","ARD GZ 5","Guano",1.48660050773268,1.15142701466968,-2.85044364223338,-0.121710947369682,1.20313770609441,0.197592311269322,-1.31466351344357,0.248060563280536,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",35,2169.18,2772.8,2575.83,2541.04,"Freshwater","Unit A11","ARD GZ 0","Non Guano",1.6276722089049,1.25223956724139,-2.89615115753964,0.0685241855571119,1.05783849521133,0.27571014607541,-1.17804947195587,-0.207783973494629,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",37,2272.18,2789.62,2643.25,2602.1,"Freshwater","Unit A11","ARD GZ 0","Non Guano",1.63391795713191,1.24896822772295,-2.88022190720146,0.108264084589006,1.035891261259,0.303615587460302,-1.1621202216177,-0.288314989344015,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",39,2325.96,2815.67,2712.57,2663.16,"Freshwater","Unit A11","ARD GZ 0","Non Guano",1.59572019851429,1.18851329714413,-2.87559966863615,0.0967134639087177,1.03144847216177,0.339490369529718,-0.98454417626203,-0.391741956360458,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
