"Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Si","Ti","Al","Fe","Mn","Mg","Ca","Na","K","P","S","Cl","Location","Location1","Location2","Reference"
"YAN","YAN 8A-I",35,4706.93,5384.1,4994.86,5012.18,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.7081164231,0.91098751736,9.3146415824,6.74694968668,0.098355267983,2.4784406412,4.47420293278,2.70033598016,0.58940116719,0.101247525072,0.137138999378,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",37,4948.8,5431.21,5167.2,5174.49,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.80627579595,0.953540223763,9.17703892266,7.05786902708,0.110746482847,2.5869854868,4.90304027458,2.9303096488,0.57279831741,0.10473881904,0.049049715106,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",39,5131.64,5503.07,5350.54,5336.81,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.89976091295,0.966725569409,8.997096983,7.2288746643,0.114618737492,2.6291973712,5.0745752113,2.98965769232,0.55619546763,0.10692087777,0.06006087564,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",41,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.8950866571,0.959533562693,9.00768180298,7.11227991165,0.11616763935,2.6352276404,5.31043574929,3.01191320864,0.53959261785,0.103865995548,0.031531959711,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",43,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.9324807039,0.963728899944,8.9441728831,7.25996659834,0.118490992137,2.6472881788,5.2175209919,3.02675021952,0.55619546763,0.106048054278,0.035536018087,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",45,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.9418292156,0.962530232158,8.94946529309,7.19778273026,0.120814344924,2.6472881788,5.27469930414,3.0415872304,0.56449689252,0.106048054278,0.040541091057,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",47,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",25.38588352135,0.977513579483,9.2087933826,7.31437748291,0.126235501427,2.8523173316,5.29614117123,3.36058296432,0.55619546763,0.109539348246,0.048048700512,0.06,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",49,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.89976091295,0.975116243911,8.92300324314,7.32215046642,0.124686599569,2.6774395248,5.20322641384,3.06384274672,0.57279831741,0.108230113008,0.042543120245,0.05,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",51,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.8950866571,0.975116243911,8.93358806312,7.32992344993,0.124686599569,2.7015606016,5.18893183578,3.07126125216,0.57279831741,0.107793701262,0.053554280779,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",53,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.99324602995,0.974516910018,8.92829565313,7.32992344993,0.125461050498,2.71362114,5.20322641384,3.04900573584,0.5810997423,0.109539348246,0.04504565673,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",55,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.79692728425,0.979311581162,8.8383246833,7.44651820258,0.126235501427,2.7377422168,5.12460623451,2.98965769232,0.58940116719,0.110848583484,0.044545149433,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",59,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.80627579595,0.960132896586,8.85949432326,7.19778273026,0.125461050498,2.6895000632,5.3604667725,3.10835377936,0.5810997423,0.107793701262,0.040541091057,0.05,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",61,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.68474514385,0.975116243911,8.80127781337,7.40765328503,0.128558854214,2.7377422168,5.23896285899,2.967402176,0.58940116719,0.11128499523,0.042042612948,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",63,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.8483440986,0.962530232158,8.91771083315,7.2288746643,0.126235501427,2.6955303324,5.38905592862,3.01933171408,0.5810997423,0.1091029365,0.043544134839,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",65,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.75018472575,0.9589342288,8.87537155323,7.19778273026,0.127009952356,2.7015606016,5.46767610795,2.97482068144,0.57279831741,0.108230113008,0.044044642136,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",67,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.4183125604,0.993695594594,8.78010817341,7.85848632861,0.13940116722,3.2020729452,4.88874569652,2.98965769232,0.60600401697,0.119576818404,0.058559353749,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",69,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.5959342827,0.957735561014,8.77481576342,7.21332869728,0.130107756072,2.7317119476,5.52485442019,2.9303096488,0.58940116719,0.109975759992,0.044545149433,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",71,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.5398432125,0.957136227121,8.78010817341,7.1511448292,0.130107756072,2.7256816784,5.55344357631,2.98223918688,0.59770259208,0.109975759992,0.045546164027,0.08,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",73,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.53516895665,0.959533562693,8.75893853345,7.22110168079,0.130882207001,2.7377422168,5.5034125531,2.8932171216,0.59770259208,0.11128499523,0.046547178621,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",75,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.57256300345,0.952341555977,8.81186263335,7.12782587867,0.129333305143,2.71362114,5.52485442019,2.95256516512,0.58940116719,0.1091029365,0.050551236997,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",77,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.70344216725,0.941553545903,8.88595637321,7.05009604357,0.127009952356,2.6593487172,5.53200170922,2.98965769232,0.5810997423,0.105175230786,0.043544134839,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",79,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.6987679114,0.942152879796,8.87537155323,7.01123112602,0.127784403285,2.653318448,5.52485442019,2.98223918688,0.57279831741,0.105175230786,0.041542105651,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",81,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.66604812045,0.957136227121,8.81186263335,7.11227991165,0.127784403285,2.683469794,5.43908695183,2.98223918688,0.58940116719,0.107793701262,0.042543120245,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",83,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.7174649348,0.977513579483,8.91771083315,7.39988030152,0.133980010717,2.9970437924,5.18893183578,3.16028331744,0.59770259208,0.115212700944,0.058058846452,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",85,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.23601658225,0.981708916734,8.66896756362,7.52424803768,0.133980010717,2.9126200236,5.12460623451,2.8190320672,0.62260686675,0.114776289198,0.045546164027,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",87,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.4744036306,0.972718908339,8.74306130348,7.29883151589,0.133205559788,2.7558330244,5.5034125531,2.95998367056,0.60600401697,0.112594230468,0.058058846452,0.11,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",89,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.6052827944,0.961331564372,8.77481576342,7.17446377973,0.13165665793,2.7075908708,5.63206375564,2.95998367056,0.58940116719,0.1091029365,0.047548193215,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",91,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.6613738646,0.943950881475,8.82773986332,6.94904725794,0.128558854214,2.6412579096,5.81074598139,3.02675021952,0.57279831741,0.106048054278,0.046547178621,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",93,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.2967819083,0.979910915055,8.70072202356,7.43874521907,0.133980010717,2.8221659856,5.11745894548,2.84870608896,0.63920971653,0.112157818722,0.058559353749,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",95,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.30145616415,0.976314911697,8.72189166352,7.45429118609,0.134754461646,2.8281962548,5.0745752113,2.84870608896,0.63920971653,0.113030642214,0.061061890234,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
