"Sample_code","Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Si","Ti","Al","Fe","Mg","Mn","Ca","Na","K","P","LOI","TC","TN","Location","Location1","Location2","Reference"
"AR-5","ARD Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","ARD Bedrock","ARD Bedrock","Non Guano",24.17992551205,0.4794671144,9.60572413185,7.04232306006,3.226194022,0.12391214864,7.09011071776,2.15878508304,0.43167409428,0.06982587936,1.29,NA,NA,"Ardley Island","Ardley Island","SSI","Machado et al. (2005)"
"AR-1","ARD Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","ARD Bedrock","ARD Bedrock","Non Guano",25.1381479613,0.58734721514,9.07119072286,7.60197787278,2.9488016388,0.11616763935,5.38190863959,2.24780714832,0.63920971653,0.09601058412,1.75,NA,NA,"Ardley Island","Ardley Island","SSI","Machado et al. (2005)"
"AR-6","ARD Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","ARD Bedrock","ARD Bedrock","Non Guano",26.0449535962,0.54539384263,9.02355903295,6.48266824734,2.4965314488,0.10842313006,5.39620321765,2.32199220272,0.76373108988,0.09164646666,1.53,NA,NA,"Ardley Island","Ardley Island","SSI","Machado et al. (2005)"
"KG-10","ARD Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","ARD Bedrock","ARD Bedrock","Non Guano",21.92693419235,0.37158701366,12.25192912685,6.08624608833,2.7799541012,0.12391214864,7.862017933,1.97332244704,0.42337266939,0.03927705714,2.54,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-12","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",23.277794133,0.44950041975,9.88622186132,7.02677709304,3.527707482,0.13165665793,8.3623281651,1.82495233824,0.48148264362,0.09601058412,0.88,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-1","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",23.46009011115,0.50344047012,10.52660347011,7.49315610364,2.5990460252,0.13940116722,7.12584716291,2.45552530064,0.47318121873,0.05673352698,1.01,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-11","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",23.5302039489,0.26970025185,10.88119493944,5.89969448409,3.708615558,0.09293411148,7.7905450427,1.60239717504,0.65581256631,0.03927705714,1.78,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-15","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",23.6049920425,0.50344047012,10.4260476803,7.99062704828,2.6111065636,0.13165665793,6.99004867134,2.32941070816,0.39846839472,0.05673352698,0.67,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-6","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",23.8293563233,0.46748043654,10.08204103095,7.04232306006,3.0633767536,0.11616763935,7.66904112919,2.1513665776,0.2490427467,0.06982587936,0.8,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-5","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",24.32015318755,0.63529392658,9.91268391127,7.1511448292,2.3578352572,0.1548901858,5.7893041143,2.65582494752,1.11239093526,0.11346705396,1.26,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-14","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",24.3715700019,0.50943380905,9.50516834204,7.81184842755,2.2492904116,0.13940116722,5.56773815437,2.65582494752,1.11239093526,0.11346705396,1.26,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-7","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",24.4463580955,0.50344047012,9.97619283115,7.01900410953,2.86437787,0.08518960219,5.54629628728,2.88579861616,0.76373108988,0.08291823174,0.95,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
