"Sample_code","Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Si","Ti","Al","Fe","Mg","Mn","Ca","Na","K","P","LOI","TC","TN","Location","Location1","Location2","Reference"
"KG-13","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",24.6052827944,0.42552706403,10.92353421936,6.18729487396,2.56286441,0.10842313006,7.42603330217,1.36500500096,0.3320569956,0.05236940952,0.11,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-2","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",24.8763896337,0.52741382584,9.09236036282,6.38939244522,2.8221659856,0.10842313006,5.96798634005,2.35908472992,0.85504676367,0.06109764444,2.62,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-9b","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",25.3157696836,0.46748043654,10.09791826092,6.24170575853,2.231199604,0.1548901858,6.06090109744,2.32941070816,0.75542966499,0.09164646666,1.29,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-9a","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",25.6990586633,0.46748043654,9.82800535143,6.21061382449,2.2432601424,0.11616763935,6.06804838647,2.60389540944,0.6641139912,0.0872823492,1.1,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-8","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",25.89070315315,0.4195337251,10.15613477081,6.84799847231,1.748778068,0.12391214864,5.24611014802,3.01191320864,0.76373108988,0.09601058412,0.36,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-3","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",26.7180464386,0.57536053728,9.17703892266,6.24170575853,1.8874742596,0.22459076941,5.11031165645,3.1899573392,0.67241541609,0.11783117142,0.47,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-4","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",28.4755666382,0.58135387621,8.89654119319,5.11462314958,1.718626722,0.12391214864,3.75232674075,2.56680288224,0.84674533878,0.13528764126,0.81,NA,NA,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"1-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",NA,NA,2.76969122862635,2.86997603315892,0.300013393148831,0.0369976560395413,15.530628044925,0.929938005238838,0.389972982963313,8.31022366790836,NA,9.57,1.63,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
"2-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",NA,NA,2.60970906389148,2.6999774528003,0.290012946670335,0.0309980358063396,16.5006672749012,0.949936671994237,0.389972982963313,8.11021828567764,NA,11.1,1.92,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
"3-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",NA,NA,2.96966893428032,3.7299688518095,0.350015624938285,0.0379975922287742,15.2206155053732,0.889940671728039,0.35997506106919,7.06019002678434,NA,9.07,1.46,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
"4a-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",NA,NA,2.25974807807086,2.74997703553306,0.360016071416781,0.0809948677270663,19.4207853587256,0.579961336648427,0.269981296216964,8.99024197360255,NA,11.58,1.84,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
"4b-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",NA,NA,4.22952848249361,4.42996300618162,0.340015179062816,0.0369976560395413,9.35037812029982,0.669955336676798,0.6099577432435,5.38014480557245,NA,7,1.13,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
"5-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",NA,NA,2.45972578425407,2.78997670140834,0.390017410852269,0.0749952482683155,20.0308100296388,0.629958003165999,0.229984067301514,9.20024762625404,NA,7.07,0.98,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
