"Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Al","Fe","Mn","Mg","Ca","Na","K","P","Location","Location1","Location2","Reference"
"YAN","YAN 8A-I",3,349.41,503.31,412.12,413.85,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",1.83351972389473,1.6663589115887,-2.58274036607268,0.539277018342307,1.19321687484763,0.709005416325705,-0.947662016300593,-2.41097556262581,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",5,619.21,876.1,724.1,727.09,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",1.77896152274747,1.65471207979375,-2.53841323554982,0.594892108639026,1.20825945395889,0.74229015077835,-1.07939173923235,-2.36131034113532,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",7,875.65,1053.08,960,960.6,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",2.04735339735597,1.76276542449622,-2.80258960478599,0.628086665207952,0.759772109024896,0.51211616508081,-0.485219864333428,-2.42228429204643,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",9,1094.54,1282.72,1199.5,1194.12,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",2.12077888957613,1.81254468420092,-2.87261772458067,0.734890138734406,0.500579362023932,0.442513667765425,-0.303058596132757,-2.43563042158738,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",13,2012.48,2269.55,2150.74,2149.92,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",1.91598316458427,1.64614420503439,-2.7106844008725,0.56500530889997,0.881550258064326,0.608827626368928,-0.874174484238435,-2.03265167784095,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",15,2485.16,2895.05,2708.42,2709.28,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",2.07019205403165,1.76304291253553,-2.87643419814832,0.639728107759994,0.770346036528561,0.610182472247043,-0.686727601951846,-2.2903297830026,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",17,2890.41,3176.44,3041.46,3039.78,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",1.97040281508923,1.6172335762132,-2.65789474257847,0.591126720111838,0.845824779686859,0.630141152560939,-0.767317604674131,-2.22951669640946,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",19,3249.45,3541.21,3362.38,3370.27,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",1.93775754333982,1.66293062398915,-2.76247623158617,0.540030361357759,1.05999339577824,0.614063788888572,-0.824084063670597,-2.22821541809677,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",21,3544.84,3828.07,3656.2,3664.29,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",2.06882197123155,1.93600171409989,-2.89066667237293,0.650968290619536,0.750557274589026,0.467524209433611,-0.580770300489508,-2.40243648711118,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",23,3784.69,4076.3,3919.58,3921.83,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",2.1480744851915,1.67357732869159,-2.76576194416548,0.694202448021834,0.644284446881295,0.454278599160249,-0.448996469850095,-2.3996588939309,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",25,3965.08,4448.46,4178.68,4179.37,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",2.09036607412361,1.67703076090041,-2.86241058230172,0.673650575463481,0.906034303773721,0.575823007178358,-0.611010417099905,-2.44948372203795,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",27,4164.54,4520.61,4334.31,4335.56,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",2.06952644839438,1.77304478663205,-2.81047754660562,0.651739944544599,0.889122700312613,0.473605363047201,-0.578806751310112,-2.4677549450151,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",29,4282.56,4678.45,4493.76,4491.74,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",2.02627668482893,1.70428499798755,-2.76331361218392,0.652258824256535,0.954699522486141,0.549039731407159,-0.654187502646781,-2.46905864613562,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",31,4494.97,4816.59,4653.57,4658.3,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",1.9883559169462,1.64077916698246,-2.72010225380557,0.655352554710942,1.01282393158452,0.614947099439281,-0.724551672050049,-2.46760474380778,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",33,4656.06,5002.71,4842.29,4835.24,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.94832052665453,1.62277974782715,-2.66896443573673,0.619489315760841,1.14526327463908,0.647296752931688,-0.793373169060192,-2.52081201301637,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",35,4706.93,5384.1,4994.86,5012.18,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.93133657280675,1.60883955143794,-2.61942012499173,0.607378635666045,1.19807726724239,0.693125249324849,-0.828899181418579,-2.59043797006765,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",37,4948.8,5431.21,5167.2,5174.49,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.87016885278952,1.60760742605336,-2.54704737051593,0.603957550772311,1.24331973454266,0.728572357263715,-0.903757343188151,-2.60282120771749,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",39,5131.64,5503.07,5350.54,5336.81,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.83782446430252,1.61900587240856,-2.52522148820254,0.607601114002512,1.26516531566132,0.736081393118459,-0.945712989585261,-2.59474368170557,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",41,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.83972724135844,1.60347234950368,-2.5110714699035,0.610619063715969,1.31132338831062,0.744224988740409,-0.975291341113689,-2.62300422061192,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",43,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.82312619759169,1.61449917990645,-2.50079438515787,0.605659739145001,1.28414633518475,0.739613460992289,-0.954511534168909,-2.61173899349339,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",45,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.81846626547399,1.60064550322463,-2.48662777239993,0.600408266045842,1.28979415254362,0.739251973187322,-0.944947921482927,-2.61699046659255,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",47,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.81146977207029,1.58115287145013,-2.4782951155564,0.639442704748908,1.25828941652554,0.803425402258307,-0.995324543981764,-2.62016050751501,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",49,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.80479791816348,1.60706940618108,-2.46578655163873,0.601026278429163,1.2654442391661,0.735835269476269,-0.941056259035507,-2.60733030074185,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",51,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.80512818568391,1.6072751451645,-2.4666418207124,0.609139679338256,1.26183793672055,0.737398381266883,-0.941911528109175,-2.61222597935252,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",53,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.80003742532572,1.60277697741624,-2.46494801821274,0.609095861939375,1.26009080234418,0.725627454189543,-0.932020958405336,-2.60065954459698,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",55,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.78842913546734,1.61707836003044,-2.46027426536157,0.616465364493147,1.2433854820239,0.70449068891678,-0.91931643613659,-2.59025832943344,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",59,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.79253549995071,1.58481883555051,-2.4647141120912,0.600401137316619,1.29009686679939,0.745139065736991,-0.931787052283791,-2.61649024097924,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",61,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.78081228279903,1.60842905926334,-2.44545310426223,0.613048938042713,1.2620389168605,0.693602247627645,-0.922732862587024,-2.58974547774398,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",63,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.79813665923296,1.58818075459684,-2.45950867897161,0.601692347455327,1.2944675958222,0.715132898802652,-0.932735484738587,-2.60536609219977,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",65,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.79631604940875,1.58680887423476,-2.45045398081514,0.606865456395785,1.31188953277982,0.703219611805667,-0.944185751051645,-2.61045979275799,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",67,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.73687479779538,1.62598007862844,-2.40601333772973,0.728184465242133,1.15132183659523,0.659544966465176,-0.936482594481119,-2.55941021251551,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",69,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.77668902543014,1.58073377452414,-2.43458902708671,0.609731751613197,1.31406014969007,0.679911351549583,-0.923844976458227,-2.60269204926219,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",71,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",1.77398587822858,1.56876961008426,-2.43789512878348,0.604215704265625,1.31591534977352,0.694171573570713,-0.913164836180255,-2.60599815095896,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
