labID,"		age","	error","	depth",cc,dR,dSTD,t.a,t.b
0,-56.6,0.1,0,0,0,0,3,4
1,-7.1,1.1,0.5,0,0,0,3,4
2,860,30,9,3,0,0,3,4
3,1440,40,13,3,0,0,3,4
4,3480,40,22,2,666,76,3,4
5,2750,40,42,3,0,0,3,4
6,2860,40,51,3,0,0,3,4
7,3780,40,74,2,666,76,3,4
8,4155,36,119.8,2,666,76,3,4
9,4380,30,125.3,2,666,76,3,4
10,4480,30,145,2,666,76,3,4
11,4433,37,158,2,666,76,3,4
12,4091,36,187,3,0,0,3,4
13,4517,37,252,3,0,0,3,4
14,4484,38,253.5,3,0,0,3,4
15,4469,38,281,3,0,0,3,4
16,5470,30,290.25,2,666,76,3,4
17,5990,35,308,2,666,76,3,4
18,7552,39,347,3,0,0,3,4
