depth	min	max	median	mean
129	3337.19	3680.61	3493.46	3498.04
130	3345.54	3700.02	3504.03	3508.89
131	3357.75	3709.27	3515.36	3519.93
132	3369.35	3718.45	3526.74	3530.98
133	3378.03	3728.74	3537.49	3542.02
134	3386.5	3740.35	3549.27	3553.07
135	3394.47	3756.01	3559.93	3564.12
136	3408.6	3762.35	3570.3	3575.07
137	3420.08	3772.93	3582.04	3586.02
138	3429.24	3780.44	3592.5	3596.98
139	3437.48	3791.45	3603.36	3607.93
140	3442.96	3805.48	3615.05	3618.89
141	3459.87	3815.54	3625.89	3629.82
142	3471.56	3824.57	3637.12	3640.74
143	3482.99	3838.18	3647.9	3651.67
144	3494.68	3854.01	3658.51	3662.6
145	3502.69	3872.63	3668.83	3673.53
146	3515.82	3886.66	3681.27	3686.06
147	3525.68	3902.39	3693.16	3698.59
148	3535.36	3916.77	3706.02	3711.11
149	3544.9	3936.26	3717.9	3723.64
150	3551.28	3956.41	3729.2	3736.17
151	3563.3	3967.19	3742.32	3749.04
152	3575.56	3979.27	3754.62	3761.9
153	3585.3	3992.36	3767.46	3774.77
154	3594.53	4010.26	3779.77	3787.63
155	3602.11	4033.01	3792.36	3800.5
156	3617.14	4047.65	3806.78	3815.1
157	3631.18	4060.34	3820.96	3829.7
158	3641.76	4075.51	3835.69	3844.31
159	3651.78	4095.58	3851.26	3858.91
160	3661.15	4119.98	3867.3	3873.51
161	3682.37	4135.32	3887.02	3893.08
162	3699.18	4153.33	3907.89	3912.66
163	3710.09	4175.38	3927.23	3932.23
164	3719.48	4197.33	3947.16	3951.8
165	3731.81	4231.86	3965.54	3971.38
166	3753.47	4242.82	3984.39	3990.36
167	3774.31	4255.29	4005.95	4009.34
168	3785.88	4273.75	4025.92	4028.32
169	3797.2	4294.77	4047.09	4047.3
170	3808.17	4322.21	4065.87	4066.28
171	3829.1	4332.5	4086.38	4085.79
172	3848.77	4344.12	4106.7	4105.3
173	3866.42	4358.06	4127.17	4124.82
174	3877.07	4375.32	4149.07	4144.33
175	3889.36	4399.69	4169.69	4163.84
176	3916.9	4408.05	4190.22	4183.17
177	3938.6	4420.32	4209.9	4202.5
178	3959.92	4432.49	4230.88	4221.83
179	3972.91	4446.38	4253.84	4241.16
180	3983.99	4471.81	4273.32	4260.5
181	4010.62	4480.5	4293.45	4278.87
182	4031.08	4489.43	4317.26	4297.25
183	4055.1	4502.65	4339.84	4315.63
184	4073.51	4517.41	4364.72	4334.01
185	4087.81	4536.16	4385.35	4352.38
186	4104.73	4544.64	4403.57	4364.8
187	4117.48	4553.07	4419.75	4377.23
188	4129.43	4565.3	4430.62	4389.65
189	4142.85	4580.9	4438.6	4402.07
190	4155.36	4598.01	4446.98	4414.49
191	4166.34	4607.9	4455.59	4424.36
192	4175.99	4619.47	4462.57	4434.23
193	4188.66	4631.03	4470.21	4444.1
194	4197.32	4644.08	4478.84	4453.98
195	4206.39	4661.2	4486.47	4463.85
196	4218.67	4670.11	4495.9	4473.9
197	4229.55	4680.46	4504.04	4483.96
198	4239.65	4691.93	4512.59	4494.02
199	4249.17	4702.67	4521.29	4504.07
200	4257.52	4716.95	4529.61	4514.13
201	4272.97	4723.89	4539.5	4524.26
202	4286.16	4731.44	4548.78	4534.38
203	4299.28	4740.07	4557.53	4544.51
204	4307.91	4751.42	4567.22	4554.64
205	4314.83	4763.34	4576.72	4564.77
206	4330.77	4772.57	4586.24	4574.76
207	4344.1	4780.77	4595.8	4584.75
208	4356.4	4791.89	4605.11	4594.75
209	4369.54	4804.53	4614.77	4604.74
210	4379.17	4819.08	4624.13	4614.73
211	4391.06	4826.29	4633.03	4624.64
212	4401.31	4835.65	4642.81	4634.54
213	4410.83	4844.57	4652.82	4644.44
214	4419.89	4853.88	4663.04	4654.35
215	4427.79	4866.36	4671.57	4664.25
216	4444.87	4872.1	4681.21	4674.6
217	4460.27	4881.24	4691.96	4684.95
218	4471.94	4890.89	4702.38	4695.3
