"Core","depth_cm","Group","Guano_Zone","Guano_sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum"
"YAN 8A-I_200um",0.02,"Unit 8","YAN FW",1,-52.85,-3.06207066278771,-0.637201049708625,NA,1.38498599269482,-0.336639048076198,NA,0.0611573219894899,0.913426729082091,2.45865839609143,-0.155521738494745,-0.652852717859704,NA,NA,-0.0142134806598599,-3.28457238191758,-0.131291844651375,1.03152264114201,0.660386845525701,NA,0.0977732552163637,-0.97350235965211,NA,-0.0718184828120148,1.41713064074371,NA,0.0643962222869855,0.22431299425245,-1.01325563664329,0.195141544484126,NA,NA,-1.46275186531362,0.55149489326923,0.186586609297634,1.36442802866918,0.211078659028873,0.375232831100098,0.471740820796015,-0.877282954854852,NA,NA,0.399846851083129,0.676874923594441,-1.98864778581818,-0.649051968760853,0.604237788974745,-1.94577409646137
"YAN 8A-I_200um",0.04,"Unit 8","YAN FW",1,-49.7,-1.39111461220009,0.621359500205158,0.217260785833813,0.819557317844147,-0.181502846501949,1.58012367111236,-0.245867952958749,0.0427773441124335,1.29523557567706,-0.448897774882908,-0.691485079168587,NA,NA,0.0314966538473274,-0.141741557056456,-0.573307160090452,0.722355260903452,-0.734685792052637,NA,-0.684868314940057,-1.55005218550051,NA,NA,-1.79790680621476,NA,0.162446764684968,-0.639775604495779,NA,-0.175565177277802,0.0343226050861749,NA,NA,-0.106178856286972,-0.428326389596684,-0.256438537325885,-0.341248328634761,0.692021689581049,0.0546300978444707,0.817398520261126,0.155788645061595,NA,-0.49242720961664,-0.304261667883478,-1.67579200178439,-0.717671172884753,0.692020054532355,-0.374706909954444
"YAN 8A-I_200um",0.06,"Unit 8","YAN FW",1,-46.55,-0.559349365305455,-0.846961141360923,0.386298194532803,NA,-0.441106378506999,-0.688473166594196,-0.359727602852145,NA,0.600824034443189,-0.315180085481366,-0.707076690394007,NA,NA,-0.203900674436187,-0.259528177629844,-0.448054793099769,0.539862123165302,-0.294355778501604,NA,-0.586583421969502,-0.730254789775015,0.0153305229060736,NA,-1.11995302366273,NA,0.688926344483877,-0.783726881142109,-0.509140237596952,-0.995725758208154,NA,NA,-0.819356161804085,-0.306065079810417,-0.23994681005605,-0.520871478995383,-0.848805086982465,-0.0296135920788367,0.388184119833124,0.8584662897009,NA,-0.529989494373567,-0.851835983557298,-0.77574562913756,-1.54573707668604,-0.556435036624745,0.488712402942079,0.438024384083762
"YAN 8A-I_200um",0.08,"Unit 8","YAN FW",1,-43.4,-0.0751648124184229,-0.532321003882476,0.481037034730195,-1.50145231159928,-0.43855127396208,-0.095803422766891,-1.01520087861529,-1.55690166046512,0.116500582200529,-0.179917901154222,-0.712788660925869,NA,NA,-0.477284438991396,0.264223014730296,-0.293235758838024,0.764483189419595,NA,NA,-1.08622167320015,-1.4402201626975,0.133171472150919,NA,NA,NA,0.228563251703844,-0.911227683429201,NA,-1.07836770780671,NA,NA,0.631859999875562,-0.317015367105336,-0.273129029050473,-0.585444192212337,-0.402768364120906,-0.252900057907866,-1.86704770391844,-0.257076936815024,NA,NA,-0.919111391950332,-0.861150036154952,-1.51471005678186,-0.53298184703034,0.459981732309775,0.915113464112326
"YAN 8A-I_200um",0.1,"Unit 8","YAN FW",1,-40.26,0.314447992437567,0.41159940855286,NA,NA,-0.533939527455762,0.294835074302479,-0.677850746297004,-0.473364549412912,0.0119534377338459,-0.153460943441588,-0.936474040195979,NA,NA,-0.719719829513252,0.158936327026334,-0.395154539993355,0.608049371745139,-0.401274885975865,NA,-0.597876337379061,-1.44916868988409,NA,NA,-1.49498736113299,NA,-0.0779386882466396,-1.18843974943062,NA,-1.19475200886228,NA,NA,NA,-0.353607672413513,-0.676092160796642,-1.22224141509984,-0.463759215355898,0.055641795303305,-0.57415963595906,0.300143836802381,1.06797346924129,0.651245972373391,-1.15585805284683,-1.03818242137118,-1.46351547393997,-0.757476053877129,0.743822966079938,1.36044052332826
"YAN 8A-I_200um",0.12,"Unit 8","YAN FW",1,-37.11,0.246660840667961,1.25063977516205,NA,NA,-0.570479230039559,0.039481979793655,-2.10018805228747,NA,-0.645879159256543,-0.56142116495738,-0.880644127166781,NA,NA,0.177290026794757,-0.731376454206506,-0.575934488682211,0.361764778132267,-0.518207426058107,NA,-0.710173509096575,-0.107954630572009,0.650406302684519,NA,-0.533880888821049,NA,-0.0480796681035313,-1.34453049928328,NA,-2.0398123339953,-1.30963740392798,NA,-0.38989599632861,-0.236477431938515,-0.678313403741115,-1.19249154374096,-0.345998123455391,-0.416938140220243,0.125247424348691,0.735977667032645,-0.629824359902341,0.0470042020936057,-1.25315713922218,-1.16255364474289,-1.51367582278506,-0.722500284240802,0.698269847454869,1.20473603907789
"YAN 8A-I_200um",0.14,"Unit 8","YAN FW",1,-33.96,0.200235499283521,1.3555198209882,-0.386070027612123,0.946992229084688,-1.25169828493541,-0.662823066854559,-0.8355848133783,NA,-1.10976216950889,-0.172622188141105,-0.905750651933715,NA,NA,-0.0123088167730668,-0.685627857620997,-1.03119661753544,0.219432768112159,-1.15892644776968,NA,-1.03650621476575,-1.22689983953573,-2.23814862778412,NA,-0.259084676869089,NA,-0.326119322949505,-1.4586998882248,NA,-1.71264162824862,NA,NA,-0.982764566635536,-0.233140824419383,-0.576205176083506,0.0403919850895513,-0.887885067542197,-1.33540935268177,0.279699002440012,0.493800600897382,0.462868673916965,1.05759481129166,-1.28590269015179,-1.28951614509696,-1.47980465938967,-0.498672896828395,0.418324887792722,1.19174890167894
"YAN 8A-I_200um",0.16,"Unit 8","YAN FW",1,-30.81,0.264998370874803,0.201839316900562,0.643735635514492,0.158330991185616,-0.0742461385539423,NA,-0.749550139387212,0.0335268265411949,-0.931300303624673,-0.254512287680827,-0.834981787826522,NA,NA,-0.333049932555687,-0.0816484658316954,-0.369852171486826,0.405826892212953,-2.48165289777045,NA,-0.768707231677394,-0.372792208974538,NA,NA,NA,-1.00339819459723,0.238800595492218,-1.23639829878556,NA,-1.55365206034851,NA,NA,NA,-0.385596470247533,-0.70098365383353,-0.365590004035735,-0.512432924627047,-0.437726311870917,-1.42148274194683,-0.36232192932511,-0.227659048970429,1.08839103684049,-1.2342658759331,-1.29029147242518,-1.52608663074673,-0.347089579360456,0.239405708432822,1.29319914889677
"YAN 8A-I_200um",0.18,"Unit 8","YAN FW",1,-27.66,0.177606023730967,0.726239546031306,NA,-0.419908961302134,-0.494010630836763,-1.09533363743438,-1.74519549848479,-0.618167691475029,-0.506469430429756,-0.37492724154036,-0.707414252422515,NA,NA,-0.33618012023626,-0.452547029594958,-0.475108604954924,0.588379721313873,-3.96876619054972,NA,-0.207332042418508,-0.292121971891589,-1.26932410755178,NA,0.419937340934281,-0.48879771113148,0.282625189620302,-1.38256265268146,NA,-1.85327221064938,NA,NA,-1.17088715854903,-0.36539551160275,-0.439993647759188,-0.0711198995791483,-0.285621720668841,0.393485829907568,-0.111564033866395,0.94222740532681,NA,0.429914967374277,-1.14790847447539,-1.18386139532066,-1.62899291342892,-0.369786826991127,0.265676722792139,1.16088092293363
"YAN 8A-I_200um",0.2,"Unit 8","YAN FW",1,-24.52,0.223858987295706,0.516479454379009,-0.0529832234425937,-0.0956168148782349,-0.936007922141115,-1.99663798031843,-0.972479238120437,NA,-1.00708111365832,-0.191271314908915,-0.69481787886219,NA,NA,0.558067673855638,0.336511342773603,-0.405560216009039,0.653080197339709,-3.19437044522907,NA,-0.961864364762367,-2.13296327403726,-3.06074606774392,NA,NA,-1.37443455945288,0.381442060237137,-1.37248634412927,NA,-1.06440732976849,NA,NA,0.0603944111113483,-0.297304518691319,-0.598177230627826,-0.0718318537694418,-0.0676507392181951,0.511759753932999,-0.112313880827749,0.648114676687244,-1.51666289614402,-1.09749096016751,-1.08921689249487,-1.14479486613457,-1.5214325777611,-0.298894265397828,0.184210409241873,1.27080104236816
"YAN 8A-I_200um",0.22,"Unit 8","YAN FW",1,-21.37,0.0623633055882278,1.04087968350975,0.91726935039109,0.961726772842706,-0.444485902219413,-0.256672623778641,-0.459066073770436,0.512270198772198,-0.959666432446614,-0.365040383751521,-0.782419578184597,NA,NA,-0.301324809450946,0.387604348670785,-0.546118085268227,0.432358062771532,-1.36419983371611,NA,-0.903788788077791,-1.42152807540478,NA,0.473756046415921,-0.313223932447859,NA,0.316083402879023,-1.20537315097554,NA,-1.87180595362948,NA,NA,-1.93702790251047,-0.176401105527771,-0.592703803598597,-0.0903271166988374,-0.347984010527385,0.227914303795248,0.272930495280446,-1.75927151698853,0.270355307873271,NA,-1.14958008724421,-1.0453407527856,-1.48394159537689,-0.722704608686279,0.698534493755001,1.07279425187993
