"Core","depth_cm","Group","Guano_Zone","Guano_sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum","TSN_sum","TSN_pc_sum","TSN_pc_sum1"
"YAN 8A-I_200um",0.02,"Unit 8","YAN FW",1,-52.85,18364.04688,1.33,0,0.0219338751385297,0.0484854082009605,0,0.0450221647580347,0.0115441448097525,0.265515330624307,0.280522718876986,1.54229774658293,0,1.29756187661618,0.0750369412633912,0.0069264868858515,0.521795345400813,72.8851126708533,0.270132988548208,0,0.18701514591799,0.0935075729589952,0,0.0334780199482822,0.102742888806797,0,0.163926856298485,1.632342076099,0.0126985592907277,0.546038049501293,0,0,0.004617657923901,0.274750646472109,0.490626154414481,0.177779830070188,0.158154783893609,0.0888899150350942,0.11428703361655,0.027705947543406,0,0,13.6613409678611,4.9582101957887,16129,2.75529685681024,0.362937299307081,86624,5.37069874139748,100,98.5835334318433
"YAN 8A-I_200um",0.04,"Unit 8","YAN FW",1,-49.7,23229.83008,1.45,0.011665500116655,0.0174982501749825,0.0608272506082725,0.0224977502249775,0.03999600039996,0.0074992500749925,0.17664900176649,0.274139252741393,1.73399326733993,0,1.48568476485685,0.0874912508749125,0.041662500416625,0.52328100523281,77.3922607739226,0.12332100123321,0,0.1333200013332,0.0824917508249175,0,0,0.0058327500583275,0,0.198313501983135,1.36069726360697,0,0.541612505416125,0.008332500083325,0,0,0.204979502049795,0.424124254241243,0.07999200079992,0.131653501316535,0.125820751258207,0.104156251041563,0.115821751158218,0.03666300036663,0,10.5697763556978,3.87794553877946,17339,2.72561237645037,0.366890027591644,120012,6.92150643059,100,98.7359597373596
"YAN 8A-I_200um",0.06,"Unit 8","YAN FW",1,-46.55,25651.91016,1.31,0.0138399230791644,0,0.0553596923166574,0.00582733603333236,0.0386061012208269,0,0.135485562774977,0.312490894787448,1.82541301244136,0,1.57556598001224,0.0844963724833192,0.0415197692374931,0.576177850295737,78.5022289560328,0.174820080999971,0,0.150053902858308,0.126744558724979,0.0444334372541593,0,0.0116546720666647,0,0.28262579761662,1.36869555082894,0.0291366801666618,0.418111360391597,0,0,0.00946942105416509,0.190845255091635,0.490224643804085,0.0728417004166545,0.104163631595816,0.0823111214708196,0.132571894758311,0.126744558724979,0,0.0211240931208298,9.57212785175257,3.42428833658693,17842,2.79536268878962,0.357735332166502,137284,7.69442887568658,100,98.718714489671
"YAN 8A-I_200um",0.08,"Unit 8","YAN FW",1,-43.4,27061.84375,1.34,0.0142447243645835,0.00406992124702387,0.0535872964191476,0.00813984249404774,0.021706246650794,0.00271328083134925,0.104461312006946,0.324915379554072,1.75956261912999,0,1.52282886659476,0.0732585824464297,0.0529089762113103,0.583355378740088,80.1462458368097,0,0,0.107174592838295,0.0888599472266878,0.0474824145486118,0,0,0,0.210957584637404,1.26235390678524,0,0.391390759922129,0,0,0.0298460891448417,0.183146456116074,0.46668430299207,0.0678320207837312,0.130237479904764,0.0685103409915685,0.0373076114310521,0.052230656003473,0,0,8.98231619218168,3.20167138099211,17962,2.80550847457627,0.356441625132155,147423,8.20749359759492,100,98.9004429430957
"YAN 8A-I_200um",0.1,"Unit 8","YAN FW",1,-40.26,28196.38672,1.43,0,0,0.0529043196695711,0.010835824510635,0.0299578677646969,0.00573661297621855,0.103896435013736,0.344196778573113,1.65341934003455,0,1.59031659729614,0.0694767571564247,0.052266918227769,0.590871136550511,80.5656300394551,0.164449571984932,0,0.150426740265286,0.0924232090612989,0,0,0.0082862187434268,0,0.1854838195644,1.19066589328625,0,0.390727083824664,0,0,0,0.186758622448004,0.405387316986111,0.0490799110187587,0.131304697011225,0.0879613989686845,0.0790377787834556,0.08349958887607,0.0905110047358927,0.0592783340875917,8.45385532262074,3.12135486050469,18160,2.70839289360833,0.369222649475986,156887,8.63915198237885,100,98.8469407917801
"YAN 8A-I_200um",0.12,"Unit 8","YAN FW",1,-37.11,27998.99219,1.51,0,0,0.0546953339671047,0.00976702392269726,0.00976702392269726,0,0.0807407310942974,0.291708447824558,1.79322559220722,0,1.67992811470393,0.104832723436951,0.0345101511935303,0.591230514787274,80.1449426350128,0.160830327260415,0,0.148458763624998,0.17906210524945,0.0813918660224772,0,0.021487452629934,0,0.199247288023024,1.18767010899999,0,0.297568662178177,0.0039068095690789,0,0.014324968419956,0.2129211215148,0.42779564781414,0.0527419291825652,0.148458763624998,0.067718032530701,0.122413366497806,0.123064501425986,0.0201851827735743,0.0371146909062496,8.55656409121098,3.14172602846762,17966,2.72352331606218,0.367171448139411,153578,8.54825782032728,100,98.7700061206683
"YAN 8A-I_200um",0.14,"Unit 8","YAN FW",1,-33.96,27863.80273,1.52,0.00913230094845468,0.0221784451605328,0.0378338182150266,0.00652307210603906,0.0287015172665719,0,0.0671876426922023,0.371815110044226,1.83102634016516,0,1.73578948741699,0.100455310433002,0.0365292037938187,0.532934991063391,79.9852578570404,0.108935304170852,0,0.125895291646554,0.111544533013268,0.00717537931664297,0,0.0287015172665719,0,0.176122946863055,1.17676220792945,0,0.34898435767309,0,0,0.00913230094845468,0.22047983718412,0.463138119528773,0.110892225802664,0.112196840223872,0.0378338182150266,0.137636821437424,0.105673768117833,0.0567507273225398,0.0919753166951507,8.71482433366818,3.0899792566307,18097,2.82035043276335,0.354565868263473,153302,8.47112781123943,100,98.7436563123769
"YAN 8A-I_200um",0.16,"Unit 8","YAN FW",1,-30.81,28052.39063,1.41,0.0173680350962961,0.0128652111824416,0.0726884431807948,0,0.0295899857196156,0.00836238726858701,0.0701154009443065,0.341571356893823,1.81785434007899,0,1.6666881086853,0.0849103938041143,0.0482445419341559,0.623962742348416,80.372190559508,0.0437417180203013,0,0.142160583565979,0.157598836984909,0,0,0,0.0289467251604935,0.23221706184307,1.22605462568668,0,0.356366349753631,0,0,0,0.191691646618379,0.420049145106717,0.0842671332449922,0.133798196297392,0.066255837589574,0.0521041052888883,0.0527473658480104,0.0289467251604935,0.090699738836213,8.55986826023749,2.9660744381119,17918,2.88592496204728,0.346509355978057,155458,8.67607991963389,100,98.8787968454502
"YAN 8A-I_200um",0.18,"Unit 8","YAN FW",1,-27.66,27797.90625,1.46,0,0.00851643672287515,0.0543741729229721,0.0045857736200097,0.0124470998257406,0.00524088413715394,0.0818888146430303,0.306591722023505,1.8493769898982,0,1.59650433028052,0.081233704125886,0.037996409994366,0.57911769715551,80.4921190204788,0.0157226524114618,0,0.191292271006119,0.156571413597474,0.0150675418943176,0,0.0497883993029624,0.0517537308543951,0.227978459966196,1.11303276862807,0,0.303971279954928,0,0,0.00720621568858666,0.186051386868965,0.453336477863816,0.0956461355030594,0.146089645323166,0.110713677397377,0.102197240674502,0.136918098083147,0,0.0491332887858182,8.51643672287515,2.96109953749198,17520,2.87610619469027,0.347692307692308,152646,8.71267123287671,100,98.7251549336373
"YAN 8A-I_200um",0.2,"Unit 8","YAN FW",1,-24.52,27932.59375,1.44,0.010323779535688,0.010323779535688,0.0412951181427521,0.002580944883922,0.023228503955298,0,0.0638783858770696,0.333587126246919,1.8331161038056,0,1.57308590675046,0.114206811113549,0.0567807874462841,0.582648307545392,80.5725826224981,0.02580944883922,0,0.119368700881393,0.0671045669819721,0.0032261811049025,0,0,0.0174213779664735,0.237446929320824,1.10077299299273,0,0.406498819217716,0,0,0.019357086629415,0.191635157631209,0.415532126311443,0.0942044882631531,0.163244763908067,0.118078228439432,0.100656850472958,0.107754448903744,0.00838807087274651,0.01290472441961,8.61067736898478,2.96227949052148,17936,2.90677412328469,0.344023979018359,154982,8.64083407671722,100,98.8501890542127
