C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data     06/08/2013  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Pb	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000000.spe	0.04	8.00	1	0.018313	-0.003173	0.009788	0.093737	4040.59692	0.93	0	0	0	0	0	0	57	0	0	0	0	13	0	55	17	0	33	34	0	0	49	78	0	1185	261	0	0	0	0	0	6	0	25	13	0	0	0	6737	1661	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000001.spe	2.04	8.00	1	0.018310	-0.003173	0.009768	0.093737	8486.47266	1.25	8	7	6	9	24	8	48	0	154	0	39	16	13	1867	70	0	18	80	0	17	66	152	0	2049	621	0	0	0	24	0	0	4	11	67	0	0	194471817272700	13776	3827	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000002.spe	4.04	7.75	1	0.018310	-0.003173	0.009763	0.093737	13886.60059	1.31	0	0	11	11	16	0	35	41	1730	0	420	15	339	18361	216	0	322	268	12	0	106	149	85	2879	650	5	0	0	0	6	19	76	190	0	53	8	0	17162	4911	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000003.spe	6.04	7.66	1	0.018311	-0.003173	0.009756	0.093737	13101.14258	1.23	0	0	29	0	29	0	42	70	2209	0	518	29	373	20773	156	0	231	311	14	182	43	181	65	2641	718	0	0	7	10	0	32	39	0	93	73	0	0	14886	5003	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000004.spe	8.04	7.66	1	0.018310	-0.003173	0.009757	0.093737	10919.05176	1.31	20	4	24	0	18	0	43	58	1441	0	589	24	229	18895	79	0	8	80	0	0	29	28	27	1796	746	5	0	0	17	7	40	57	12	82	140	5	0	12048	4591	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000005.spe	10.04	7.68	1	0.018310	-0.003173	0.009757	0.093737	10713.16211	1.36	0	0	18	0	26	0	34	45	1481	0	393	18	260	16242	126	0	172	138	0	29	42	97	15	1793	728	0	0	0	0	53	47	36	0	182	108	0	0	12115	4460	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000006.spe	12.04	7.72	1	0.018310	-0.003173	0.009757	0.093737	11130.44238	1.27	7	0	10	10	20	0	53	41	1452	0	375	17	330	18599	178	0	138	148	50	0	15	95	47	1864	811	9	0	0	0	25	0	50	13	73	50	0	287493466769670	12385	4597	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000007.spe	14.04	7.77	1	0.018310	-0.003173	0.009757	0.093737	9255.23535	1.23	0	0	0	16	0	0	68	15	503	0	197	9	143	8456	158	0	55	58	0	60	67	93	60	1831	649	0	0	0	8	16	29	24	0	91	0	0	661147374127149	12043	4222	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000008.spe	16.04	7.81	1	0.018311	-0.003173	0.009757	0.093737	9913.20215	1.18	21	30	14	10	0	0	51	0	389	0	158	0	129	6841	76	0	76	110	0	0	60	0	0	1903	845	0	0	0	0	0	26	10	29	0	37	0	0	13843	4675	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000009.spe	18.04	7.83	1	0.018311	-0.003173	0.009757	0.093737	11377.02930	1.26	0	0	0	0	21	0	45	14	703	0	210	25	146	8578	93	0	41	166	15	39	126	85	82	2444	884	0	0	0	0	42	0	5	41	13	47	4	616477937972234	16116	5016	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000010.spe	20.04	7.83	1	0.018310	-0.003173	0.009757	0.093737	13927.80078	1.21	0	8	9	11	46	0	47	29	1759	9	303	16	314	11485	92	0	247	417	0	13	132	203	0	2983	836	6	0	0	38	0	0	19	56	0	39	0	0	19242	5244	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1D-2\XRF data\L000011.spe	22.04	7.84	1	0.018311	-0.003173	0.009757	0.093737	15522.92090	1.29	0	0	15	0	27	0	11	54	1423	8	600	29	329	21319	181	0	249	311	0	94	61	278	100	2980	831	9	0	0	0	0	0	15	47	32	85	0	136042948860260	20514	5233	
