C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data     07/08/2013  re-evaluated data																																																							
peakarea																																																							
filename	position (mm)	sample surface	validity	revalidity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Y	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000000.spe	0.04	8	1	1	0.018305	-0.003173	0.009954	0.093737	13144.14063	1.5	7	15	22	0	23	0	50	86	1969	0	794	36	0	353	25135	322	0	199	226	32	0	28	158	86	2260	110	678	0	0	0	0	6	22	61	16	50	77	27	45	29	40	16	0	14060	4486
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000001.spe	2.04	7.73	1	1	0.018305	-0.003173	0.009947	0.093737	11333.73047	1.41	0	0	12	5	20	9	70	21	821	0	271	7	10	103	9998	90	0	110	145	0	0	30	189	20	2078	0	941	0	0	30	8	6	18	45	58	0	75	0	13	36	32	33	3.03E+14	15623	4730
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000002.spe	4.04	7.76	1	1	0.018305	-0.003173	0.009938	0.093737	10971.34961	1.27	0	6	25	4	13	0	36	34	722	0	296	0	0	152	9174	73	0	76	119	13	89	6	50	36	2265	4	966	0	0	0	0	37	12	36	8	30	0	17	0	0	45	5	0	15261	4763
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000003.spe	6.04	7.75	0	1	0.018306	-0.003173	0.009931	0.093737	8164.08984	1.15	28	25	15	26	27	9	85	6	223	0	69	18	6	43	3285	70	0	27	44	0	0	0	79	47	1907	23	706	0	5	0	7	10	22	42	26	0	7	0	0	0	0	21	0	12074	3939
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000004.spe	8.04	7.67	1	1	0.018306	-0.003173	0.009933	0.093737	13523.12012	1.47	0	0	28	0	15	0	42	84	1590	0	663	22	14	307	20335	227	0	127	166	104	7	122	108	132	2506	0	906	0	0	0	0	25	7	46	43	52	86	64	43	0	47	0	0	16133	4978
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000005.spe	10.04	7.64	1	1	0.018306	-0.003173	0.009933	0.093737	12901.65234	1.55	0	0	4	0	5	0	36	86	1570	0	639	8	18	265	19196	158	0	94	190	10	86	74	76	59	2488	40	841	0	0	0	0	9	23	55	48	40	0	0	0	70	64	0	0	15358	5065
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000006.spe	12.04	7.69	1	1	0.018306	-0.003173	0.009933	0.093737	13996.7959	1.64	25	20	42	5	10	0	33	93	2072	19	898	50	10	365	26380	136	5	146	237	0	7	15	120	25	2638	0	811	0	0	0	0	30	51	89	77	66	31	0	44	191	181	0	4.45E+14	15084	5027
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000007.spe	14.04	7.78	1	1	0.018305	-0.003173	0.009933	0.093737	13015.5459	1.35	8	6	28	19	17	6	59	69	1451	0	651	32	10	272	18485	171	0	128	183	34	75	11	206	67	2566	62	1051	0	0	9	0	27	0	57	31	0	35	0	0	111	90	8	0	15364	5246
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000008.spe	16.04	7.83	0	1	0.018306	-0.003173	0.009933	0.093737	10137.89063	1.46	13	5	8	10	29	0	91	17	124	0	70	7	7	33	2895	73	0	47	92	0	84	0	100	12	2173	14	903	0	8	0	0	15	34	65	77	13	0	0	0	64	0	12	0	15580	5041
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000009.spe	18.04	7.86	0	1	0.018306	-0.003173	0.009933	0.093737	8265.48438	1.2	4	10	0	7	15	0	94	0	9	0	0	0	0	0	178	40	0	0	32	0	27	20	18	30	1800	106	809	0	0	0	0	0	23	37	20	22	0	0	0	25	0	6	5.18E+14	13749	4196
