Record,strat_depth,SH20_age,LnP2O5_TiO2,LnP_Ti_uXRF,LnCaO_TiO2,LnCa_Ti_uXRF,LnCuO_TiO2,LnCu_Ti_uXRF,LnZnO_TiO2,LnZn_Ti_u-XRF,Group,Guano_Zone
ARD,13,1286,1.675927654,-4.707222911,1.957284942,0.491659501,-3.381789225,-2.230098402,-3.716604002,-1.841705278,Unit 12,GZ 5
ARD,15,1609,1.21664897,-3.071817055,1.766031789,1.646561153,-3.940992262,0.395184938,-3.75983119,0.762098306,Unit 12,GZ 5
ARD,17,1783,2.551010737,-3.279602743,2.606954084,1.83142422,-2.452831802,0.526093096,-2.517861321,0.780840267,Unit 12,GZ 5
ARD,19,1958,2.059594587,-2.322257859,2.076778424,2.247182204,-2.906585241,0.872216702,-3.082099113,1.344017033,Unit 12,GZ 5
ARD,21,2084,2.249910992,-2.958853643,2.267003195,2.178566197,-2.683446323,0.905137531,-2.846408634,1.301394917,Unit 12,GZ 5
ARD,23,2163,,-3.286251227,,0.926100812,,0.131972104,,0.150664237,Unit 12,GZ 5
ARD,25,2243,1.940631586,-2.262485381,2.1535673,2.161287676,-3.17746266,1.024967044,-3.021969904,1.264724834,Unit 12,GZ 5
ARD,27,2303,1.419333706,-3.230913176,1.871551582,1.236996523,-3.772997427,-0.456605748,-3.756244986,-0.175960396,Unit 12,GZ 5
ARD,29,2363,1.214085433,-3.450943295,1.776618093,1.382274063,-3.877091084,-0.305545427,-4.076472437,-0.016567514,Unit 12,GZ 5
ARD,31,2424,1.235063391,-3.934916825,1.764271886,1.085379255,-3.908359391,-0.644945079,-3.875997183,-0.440538057,Unit 12,GZ 5
ARD,33,2487,1.341547874,-3.551507945,1.803307872,1.283708741,-3.877243996,-0.446155946,-3.825889918,-0.206321859,Unit 12,GZ 5
ARD,35,2549,0.843595335,-4.227497095,1.617434401,1.020363947,-4.381758609,-1.10493195,-4.397307831,-0.547750125,Unit  11,GZ 0
ARD,37,2606,0.757095905,-4.213230221,1.586719989,0.796269677,-4.361082818,-1.344364668,-4.563809253,-1.185051354,Unit  11,GZ 0
ARD,39,2663,0.692292114,-4.144689695,1.623020464,0.757821646,-4.309028326,-1.404482382,-4.279747786,-1.207500877,Unit  11,GZ 0
