C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data     06/08/2013  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Pb	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000000.spe	0.04	8.00	1	0.018311	-0.003173	0.009879	0.093737	4407.87891	1.05	4	0	0	0	0	0	81	0	0	5	11	0	0	24	0	0	0	0	0	0	0	39	0	98	290	0	0	0	0	0	8	0	0	0	5	8	160944956401241	7221	1592	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000001.spe	2.10	6.69	1	0.018310	-0.003173	0.009886	0.093737	8180.68799	1.33	0	0	0	0	0	0	59	0	0	0	5	0	0	114	19	0	0	0	0	32	67	37	50	835	598	0	0	0	13	8	21	0	0	0	0	0	382719386496769	14297	3620	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000002.spe	4.20	6.78	1	0.018310	-0.003173	0.009886	0.093737	8484.87402	1.30	0	0	0	4	18	0	65	0	0	0	5	7	0	110	24	7	0	17	11	70	5	105	0	918	778	0	0	0	10	12	0	6	0	0	0	0	0	14469	4164	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000003.spe	6.04	6.94	1	0.018309	-0.003173	0.009883	0.093737	8705.06348	1.13	0	0	0	0	4	0	52	0	4	0	0	0	5	169	15	0	0	17	0	20	0	70	0	1063	720	0	0	4	7	5	29	41	0	0	0	0	0	14737	4439	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000004.spe	8.04	7.06	1	0.018309	-0.003173	0.009883	0.093737	9537.82129	1.23	0	0	0	7	14	0	74	4	0	4	0	0	0	149	21	11	0	30	0	56	0	164	49	1372	688	4	0	6	8	0	0	0	0	37	0	6	30480147593729	16034	4894	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000005.spe	10.04	7.17	1	0.018309	-0.003173	0.009883	0.093737	8447.47656	1.51	0	7	6	19	26	11	79	0	19	0	0	20	13	120	15	0	18	29	0	30	23	56	25	936	857	0	7	10	0	0	33	26	0	26	0	0	0	14400	4168	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000006.spe	12.04	7.22	1	0.018309	-0.003173	0.009883	0.093737	6754.56104	1.23	0	0	0	17	10	0	73	0	10	0	0	4	0	82	24	0	0	4	0	31	0	78	0	592	558	0	5	11	0	20	28	10	5	0	0	9	650278797493326	10836	3051	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000007.spe	14.04	7.28	1	0.018309	-0.003173	0.009883	0.093737	8521.67285	1.25	0	6	8	0	6	9	82	0	12	0	0	12	6	104	6	0	0	15	0	0	0	82	0	983	750	0	4	0	9	7	0	14	88	0	0	5	0	14627	4159	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000008.spe	16.04	7.31	1	0.018309	-0.003173	0.009883	0.093737	7907.50293	1.02	0	6	0	21	11	0	62	6	5	0	0	0	0	113	15	0	11	12	0	0	11	68	44	731	672	0	0	0	0	0	10	29	69	36	0	5	6185145702284	13164	3505	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000009.spe	18.04	7.31	1	0.018309	-0.003173	0.009883	0.093737	9634.21484	1.29	15	16	0	0	17	4	79	5	89	6	49	5	23	2683	42	0	27	11	35	0	0	140	0	904	847	0	6	0	0	7	0	37	66	45	0	8	0	15422	4336	
