"depth","MSE","cps","validity","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo inc","Mo coh","filename","position","sample surface","revalidity","E-gain","E-offset","F-slope","F-offset","kcps","Fe a*2","S1","S2","S3","label","qc"
88.06,1.33,20030,FALSE,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,5,NA,NA,NA,113,19,NA,NA,NA,NA,35,70,33,57,845,111,612,NA,NA,NA,13,5,25,NA,23,15,NA,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000001.spe",2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
90.16,1.31,21138,FALSE,NA,NA,NA,4,18,NA,65,NA,NA,NA,5,NA,7,NA,108,25,7,5,20,11,58,10,107,NA,945,99,789,NA,NA,NA,10,8,NA,11,33,21,NA,40,18,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000002.spe",4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
92,1.2,21701,FALSE,NA,NA,NA,NA,5,NA,53,NA,5,NA,NA,11,NA,4,166,16,NA,NA,24,NA,27,NA,56,NA,1066,103,727,NA,NA,NA,7,NA,39,51,63,34,NA,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000003.spe",6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
94,1.25,23854,FALSE,NA,NA,NA,7,15,NA,74,5,NA,4,NA,NA,NA,NA,149,21,11,NA,29,NA,59,NA,180,44,1382,75,703,5,NA,6,7,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000004.spe",8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
96,1.64,21357,FALSE,NA,5,5,19,26,11,80,NA,20,NA,NA,5,20,13,118,15,NA,21,33,NA,20,28,61,27,965,81,871,NA,8,10,NA,NA,40,33,54,20,12,22,41,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000005.spe",10.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
98,1.25,15476,FALSE,NA,NA,NA,17,10,NA,73,NA,10,NA,NA,NA,4,NA,82,24,NA,NA,NA,NA,43,NA,88,NA,583,NA,562,NA,5,10,NA,16,27,9,19,NA,NA,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000006.spe",12.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
100,1.28,21156,FALSE,NA,6,8,NA,6,10,82,NA,12,NA,NA,NA,12,6,103,7,NA,NA,18,NA,NA,NA,83,NA,978,53,760,NA,5,NA,8,NA,NA,18,44,NA,81,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000007.spe",14.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
102,1.04,18735,FALSE,NA,5,NA,21,11,NA,62,6,5,NA,NA,NA,NA,NA,110,16,NA,15,18,NA,NA,13,56,53,733,NA,671,NA,NA,NA,NA,NA,18,37,44,31,80,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000008.spe",16.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
104,1.32,25079,FALSE,14,16,NA,NA,17,4,79,6,89,6,49,NA,5,22,2678,44,NA,31,17,35,NA,NA,129,NA,900,10,857,NA,6,NA,NA,NA,NA,46,41,25,63,NA,14,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000009.spe",18.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
106,1.21,20056,FALSE,8,9,16,22,31,13,69,9,118,NA,100,15,NA,45,3243,41,NA,NA,17,NA,NA,12,66,41,807,23,525,NA,NA,NA,24,10,8,13,10,23,81,55,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000010.spe",20.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
108,1.14,24983,FALSE,NA,NA,NA,10,29,NA,67,17,209,NA,126,5,5,48,4816,108,NA,4,61,NA,6,16,91,17,1021,27,811,NA,NA,NA,NA,NA,44,36,21,11,38,NA,9,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000011.spe",22.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
110,1.04,20821,FALSE,NA,NA,8,NA,NA,NA,75,5,93,NA,63,NA,NA,19,2561,26,NA,14,35,9,NA,34,85,34,1062,17,556,NA,NA,NA,NA,23,14,40,24,42,56,NA,23,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000012.spe",24.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
112,1.1,35032,TRUE,10,12,33,0,42,0,62,26,664,0,413,35,12,175,12553,95,0,34,86,20,0,67,32,25,1264,58,750,0,0,0,31,0,19,44,22,100,35,0,0,13872,4441,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000013.spe",26.04,7.34,1,0.018309,-0.003173,0.009939,0.093737,10586.56934,0,32,7,0,"S1",FALSE
114,1.53,48503,TRUE,0,0,15,12,33,9,41,67,1257,0,731,47,9,324,21405,53,0,84,83,16,0,0,198,85,1567,0,867,0,0,7,0,10,64,51,60,47,179,68,0,16305,4809,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000014.spe",28.04,7.29,1,0.018309,-0.003173,0.009939,0.093737,13329.53125,0,143,6,5.77e+14,"S1",TRUE
116.16,1.35,42046,TRUE,10,21,30,0,16,0,33,71,1303,0,712,21,0,268,22045,212,0,95,109,21,81,54,75,7,1177,74,699,0,0,8,0,14,39,28,72,45,6,60,55,10960,3561,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000015.spe",30.2,7.12,1,0.018309,-0.003173,0.009939,0.093737,10465.1748,64,88,0,3.48e+14,"S1",TRUE
118.06,1.67,43109,TRUE,0,0,12,0,12,0,43,87,1399,0,801,37,0,315,23585,276,0,14,76,69,50,49,68,33,1092,0,597,0,0,0,0,0,0,41,91,48,40,53,0,10831,3362,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000016.spe",32.1,7.16,1,0.018309,-0.003173,0.009939,0.093737,10582.66699,28,11,0,5.04e+14,"S1",TRUE
120.06,1.42,44389,TRUE,0,0,16,0,12,0,27,66,1415,0,731,43,0,296,23401,177,0,65,156,49,215,85,30,73,1155,42,645,0,0,0,0,27,38,46,39,54,0,0,0,11701,3644,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000017.spe",34.1,7.22,1,0.018309,-0.003173,0.009939,0.093737,10957.5498,141,74,0,0,"S1",TRUE
122,1.52,50422,TRUE,0,0,32,6,26,10,33,66,1647,0,928,69,0,366,26733,282,0,62,112,0,54,89,130,23,1423,0,705,9,0,10,0,0,91,56,86,63,16,45,0,13142,4090,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000018.spe",36.04,7.29,1,0.018309,-0.003173,0.009939,0.093737,12618.46582,18,56,0,1.68e+14,"S1",TRUE
124,1.55,56737,TRUE,6,0,45,10,27,0,23,45,1936,0,1070,42,0,430,31800,215,0,44,108,0,36,98,39,84,1618,0,803,9,0,0,5,22,65,42,65,98,26,28,0,13631,4250,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000019.spe",38.04,7.3,1,0.018309,-0.003173,0.009939,0.093737,13446.62305,17,191,0,0,"S1",TRUE
126,1.38,47795,TRUE,10,0,21,9,10,0,34,74,1576,0,800,61,11,335,25286,164,0,83,171,0,87,107,153,60,1370,0,693,5,0,0,0,34,46,69,74,44,51,20,70,12162,3972,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000020.spe",40.04,7.3,1,0.018309,-0.003173,0.009939,0.093737,11675.71191,133,135,0,0,"S1",TRUE
