"P","S","Si","K","Ca","Ti","V","Mn","Fe","Co","Cu","Zn","Br","Sr","Zr","Mo inc","Mo coh","coh_inc","cps_sum","depth","label"
0,0.00302768166089965,0.00237889273356401,0.00187427912341407,0.0478662053056517,0.0297722029988466,0.00252306805074971,0.0126153402537486,0.904916378316032,0.00684832756632065,0.00245098039215686,0.00619953863898501,0.00230680507497117,0.091118800461361,0.0540657439446367,1,0.320141291810842,0.320141291810842,35032,112,"S1"
0.000735970561177553,0.00202391904323827,0.000919963201471941,0.00410916896657467,0.0770929162833487,0.0448328733517326,0.00288255136461208,0.0198712051517939,1.31278748850046,0.00325053664520086,0.00515179392824287,0.00509046304814474,0.0121435142594296,0.0961054891137688,0.0531738730450782,1,0.294940202391904,0.294940202391904,48503,114,"S1"
0,0.00145985401459854,0.00273722627737226,0.00647810218978102,0.118886861313869,0.064963503649635,0.00191605839416058,0.0244525547445255,2.01140510948905,0.0193430656934307,0.00866788321167883,0.00994525547445256,0.00684306569343066,0.107390510948905,0.0637773722627737,1,0.324908759124088,0.324908759124088,41982,116.16,"S1"
0,0.00110793093897147,0.00110793093897147,0.00803249930754316,0.129166281968424,0.0739543901763457,0.00341612039516203,0.0290831871480011,2.17754593297018,0.0254824115963438,0.00129258609546672,0.00701689594681932,0.00627827532083833,0.100821715446404,0.0551195642138307,1,0.310405318068507,0.310405318068507,43081,118.06,"S1"
0,0.00102555337150671,0.00136740449534228,0.0056405435432869,0.120929835056833,0.0624732928809503,0.00367489958123237,0.0252969831638322,1.99991453721904,0.015126912229724,0.00555508076232801,0.0133321938295872,0.00256388342876677,0.0987095120075207,0.0551234937184856,1,0.311426373814204,0.311426373814204,44248,120.06,"S1"
0.000456551514229189,0.00197838989499315,0.00243494140922234,0.00502206665652108,0.125323390655912,0.0706133008674479,0.00525034241363567,0.0278496423679805,2.03416527164815,0.0214579211687719,0.00471769898036829,0.00852229493227819,0.00989194947496576,0.108278800791356,0.0536448029219297,1,0.31121594886623,0.31121594886623,50404,122,"S1"
0.000733621891277236,0.00198077910644854,0.00330129851074756,0.00330129851074756,0.142029198151273,0.0784975423666642,0.00308121194336439,0.0315457413249211,2.33291761426161,0.0157728706624606,0.00322793632161984,0.00792311642579415,0.00286112537598122,0.118700022008657,0.058909837869562,1,0.311789303792825,0.311789303792825,56720,124,"S1"
0.000740009866798224,0.00082223318533136,0.00172668968919586,0.00608452557145206,0.129583950008222,0.0657786548265088,0.0050156224305213,0.0275448117086006,2.07909883242888,0.0134846242394343,0.00682453543825029,0.0140601874691663,0.0125801677355698,0.112645946390396,0.0569807597434632,1,0.326591021213616,0.326591021213616,47662,126,"S1"
0,0.00276529554096094,0.00259246456965088,0.00544417559626685,0.155375043207743,0.0809713100587625,0.00190114068441065,0.0290356031800899,2.56740407881092,0.0141721396474248,0.0108019357068787,0.0152955409609402,0.0113204286208088,0.108365019011407,0.0489975803664017,1,0.325008641548566,0.325008641548566,51324,128,"S1"
0.000287150035893755,0.00301507537688442,0.0022254127781766,0.00545585068198134,0.105025125628141,0.0618808327351041,0.0022254127781766,0.0218234027279253,1.80466618808327,0.0142139267767408,0.00323043790380474,0.00789662598707825,0.0119167264895908,0.100861450107681,0.0582196697774587,1,0.31564967695621,0.31564967695621,49714,130,"S1"
0,0.00204582651391162,0.00177304964539007,0.00511456628477905,0.11088379705401,0.0649208947081288,0.00490998363338789,0.0244135297326787,1.92730496453901,0.0129569012547736,0.00893344244408074,0.00995635570103655,0.0141162029459902,0.110542825968358,0.056873977086743,1,0.313079650845608,0.313079650845608,54337,132,"S1"
0.000960482985729967,0.00171514818880351,0.00212678375411636,0.0050768386388584,0.0982436882546652,0.0619511525795829,0.00233260153677278,0.0242178924259056,1.74965697036224,0.00747804610318331,0.00521405049396268,0.00699780461031833,0.00727222832052689,0.104898463227223,0.0606476399560922,1,0.318674533479693,0.318674533479693,51348,134,"S1"
0.00135065603293028,0.00180087471057371,0.00250836120401338,0.00450218677643427,0.0964754309235915,0.0699125289426293,0.00501672240802676,0.0292642140468227,1.77643426807306,0.0192307692307692,0.00450218677643427,0.00488808850012863,0.0067532801646514,0.0976974530486236,0.0522896835605866,1,0.307885258554155,0.307885258554155,54519,136,"S1"
0.0019533711405167,0.0019533711405167,0.00245746691871456,0.00516698172652804,0.105293005671078,0.0788909892879647,0.00459987397605545,0.0267170762444865,1.9536231884058,0.0183994959042218,0.0074354127284184,0.00888468809073724,0.0144927536231884,0.10359168241966,0.0449275362318841,1,0.313232514177694,0.313232514177694,59184,138,"S1"
0.000816382066807266,0.00176882781141574,0.000952445744608477,0.00333356010612967,0.0769440097965848,0.0597319545547316,0.0024491462004218,0.0209538063813865,1.41683107694401,0.0161235458194435,0.00666712021225934,0.00952445744608477,0.00449010136743996,0.0935437784883325,0.0556500442206953,1,0.309953058031159,0.309953058031159,45936,140,"S1"
0,0,0.000965983578279169,0.00420892844821638,0.0725867660249776,0.0554750569240323,0.00338094252397709,0.0192506727385634,1.47816187124819,0.00945283930173187,0.00234596011867798,0.00841785689643276,0.00738287449113365,0.100600289795073,0.0585110053129097,1,0.323259504588422,0.323259504588422,46102,142,"S1"
0.000958405213724363,0.00274742827934317,0.00115008625646924,0.00191681042744873,0.0845952335314037,0.0192958916363172,0.00051114944731966,0.0157178455050795,0.697016165101272,0.00926458373266884,0.0217877451920005,0.0321385215002236,0.0152066960577599,0.161459331672098,0.0486230911762827,1,0.288671650373778,0.288671650373778,38121,148,"S1"
0.00204824761037779,0.0032430587164315,0.0014792899408284,0.00534820209376422,0.136549840691853,0.0187756030951297,0.00130860263996359,0.0198566226672736,0.791533909877105,0.00603095129722349,0.0419890760127447,0.0539940828402367,0.0209945380063723,0.206873008648157,0.0480769230769231,1,0.281178880291306,0.281178880291306,47032,150,"S1"
0.00098702763677383,0.00274957698815567,0.0010575296108291,0.0023970671178793,0.0921460800902425,0.0130428652002256,0,0.0124788494077834,0.601029328821207,0.00620417371686407,0.0284122955442752,0.0402566271855612,0.0224901297236323,0.208403835307389,0.0437817258883249,1,0.286943034404963,0.286943034404963,33967,152,"S1"
0.000525900604785696,0.00170917696555351,0.00197212726794636,0.00400999211149093,0.07941099132264,0.0315540362871417,0.0016434393899553,0.0136734157244281,0.82244280830923,0.00972916118853537,0.0160399684459637,0.0243886405469366,0.0182093084407047,0.203917959505653,0.0480541677622929,1,0.294570076255588,0.294570076255588,39424,154.06,"S1"
0.000752750434279097,0.00179502026635785,0,0.00301100173711639,0.114823393167342,0.0186450492182976,0.000289519397799653,0.0171395483497394,0.785755645628257,0.011638679791546,0.0373480023161552,0.04997104806022,0.0226404169079328,0.239779965257672,0.0405327156919514,1,0.273885350318471,0.273885350318471,45781,156,"S1"
0.00117153779750894,0.00499445061043285,0.000986558145270687,0.00487113084227402,0.164385250955728,0.0258971513133555,0.00215809594277963,0.0243556542113701,1.36108028116907,0.0107904797138981,0.0438401775804661,0.0593168084844,0.025527192008879,0.248735972376372,0.0456283142187693,1,0.266000739918609,0.266000739918609,53957,158,"S1"
0.00178088921640874,0.0015352493244903,0.00171947924342913,0.00472856791943012,0.127671333824613,0.02057234094817,0.00128960943257185,0.0190370916236797,0.982805207565709,0.00497420781134856,0.0412060918693196,0.049373618275608,0.0178703021370671,0.19774011299435,0.0456276099238516,1,0.267870302137067,0.267870302137067,46002,160,"S1"
0,0.00182826881856008,0.000630437523641407,0.00321523137057118,0.0602067835077544,0.0261631572311184,0.0017021813138318,0.00945656285462111,0.71863573319884,0.0131131004917413,0.0121674442062792,0.0187239944521498,0.0131131004917413,0.179548606733073,0.0454545454545455,1,0.274114235279284,0.274114235279284,38163,162,"S1"
0.000691011534577154,0.00207303460373146,0.00233880827087652,0.00382714080688885,0.0630946685802371,0.0373146228671663,0.00085047573486419,0.0153085632275554,1.05554669643332,0.0103120182852283,0.00861106681549992,0.0216871312390368,0.0191357040344443,0.141444745654601,0.0496996757561261,1,0.28187955137405,0.28187955137405,51812,164,"S1"
0.000335602646466584,0.00167801323233292,0.00220538881963755,0.00469843705053217,0.0669287563524787,0.0318822514143254,0.00302042381819925,0.0134720490938729,0.996787803240963,0.0126090708601016,0.00862978233771215,0.0212867964330233,0.00982836321794995,0.136782050052738,0.0426694793364656,1,0.262776872183335,0.262776872183335,55414,166,"S1"
0.000216626049282426,0.00113728675873274,0.00135391280801516,0.00406173842404549,0.0683455185486055,0.0338478202003791,0.00200379095586244,0.0137015976171135,0.949255347955592,0.00947738965610615,0.00671540752775521,0.0204170051448687,0.0082859463850528,0.138748984565394,0.046520444083401,1,0.271540752775521,0.271540752775521,48052,168,"S1"
0.000321836614278818,0.00278925065708309,0.00139462532854154,0.00348656332135386,0.0990720377621627,0.0229040390495092,0,0.0179692109639007,0.887142627259561,0.00686584777128145,0.0250496164780347,0.0284289009279622,0.0177546532210481,0.208442847181248,0.0386203937134581,1,0.278335031915464,0.278335031915464,49855,170,"S1"
0.00226944501753662,0.00257891479265525,0.0010315659170621,0.00283680627192078,0.182845058799257,0.0190839694656489,0.00134103569218073,0.0230554982463379,0.915205281617495,0.00985145450794306,0.0499793686816588,0.0569424386218279,0.019135547761502,0.273364968021457,0.0467299360429131,1,0.277955436352383,0.277955436352383,56567,172,"S1"
0.000859845227858985,0.00243622814560046,0.000764306869207987,0.00267507404222795,0.135807776822394,0.0121811407280023,0.00138530620043948,0.0173879812744817,0.668959587274291,0.00749976115410337,0.0405082640680233,0.0492022547052642,0.0214005923378236,0.238702589089519,0.0485812553740327,1,0.26597879048438,0.26597879048438,53742,174,"S1"
0.000756470524666342,0.00194520992057059,0,0.00280974766304641,0.110498730210191,0.0121035283946615,0.00108067217809478,0.0165883179337548,0.59555843734803,0.0026476468363322,0.0358783163127465,0.0451720970443616,0.0221537796509429,0.247690063219322,0.0385799967579835,1,0.269789809261361,0.269789809261361,45126,176,"S1"
