C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data     06/08/2013  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Pb	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000000.spe	0.04	8.00	1	0.018309	-0.003173	0.009867	0.093737	13144.14063	1.41	8	16	22	0	23	0	49	85	1968	0	807	7	351	25200	285	0	189	218	31	0	18	176	83	2245	655	0	0	5	0	6	11	51	56	29	49	16	0	14024	4489	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000001.spe	2.04	7.73	1	0.018310	-0.003173	0.009851	0.093737	11333.73047	1.33	0	0	12	6	19	8	69	20	820	0	274	11	104	10028	75	0	102	141	0	0	36	171	27	2091	924	0	0	30	12	16	15	38	76	11	38	33	332744551565564	15659	4747	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000002.spe	4.04	7.76	1	0.018310	-0.003173	0.009831	0.093737	10971.34961	1.21	0	7	25	4	13	0	36	34	722	0	297	0	153	9203	58	0	72	115	11	87	0	71	21	2286	955	0	0	0	0	35	7	31	0	14	50	5	0	15262	4762	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000003.spe	6.04	7.75	1	0.018311	-0.003173	0.009819	0.093737	8164.08984	1.12	30	26	15	26	27	8	83	6	222	0	69	8	42	3293	64	0	24	42	0	0	0	84	35	1934	692	0	4	0	8	14	21	39	18	0	6	21	1032322091672528	12070	3929	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000004.spe	8.04	7.67	1	0.018310	-0.003173	0.009822	0.093737	13523.12012	1.35	0	0	28	0	14	0	40	82	1587	0	673	16	307	20401	191	0	113	151	101	16	115	128	122	2505	902	0	0	0	0	27	0	31	59	17	61	0	0	16127	4976	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000005.spe	10.04	7.64	1	0.018310	-0.003173	0.009822	0.093737	12901.65234	1.42	0	0	4	0	4	0	35	85	1568	0	643	19	265	19260	124	0	82	179	6	62	75	105	48	2520	816	0	0	0	0	14	9	41	0	27	77	0	0	15358	5047	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000006.spe	12.04	7.69	1	0.018310	-0.003173	0.009822	0.093737	13996.79590	1.55	28	22	42	4	9	0	31	90	2066	18	913	17	365	26472	95	0	129	220	0	0	6	148	28	2651	792	0	0	0	0	38	28	66	19	148	198	0	532535401534711	15093	5032	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000007.spe	14.04	7.78	1	0.018310	-0.003173	0.009822	0.093737	13015.54590	1.25	10	7	28	19	17	5	58	68	1451	0	660	13	270	18546	142	0	120	178	31	53	13	210	73	2581	1014	0	0	12	0	32	0	49	53	52	98	8	235682773855191	15353	5238	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000008.spe	16.04	7.83	1	0.018310	-0.003173	0.009822	0.093737	10137.89063	1.33	15	6	9	10	28	0	90	16	123	0	70	8	35	2904	64	0	40	85	0	75	0	102	0	2189	887	0	7	0	0	22	23	55	0	50	0	13	0	15593	5042	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000009.spe	18.04	7.86	1	0.018310	-0.003173	0.009822	0.093737	8265.48438	1.17	5	10	0	7	15	0	94	0	9	0	0	0	0	180	38	0	0	29	0	19	19	30	21	1802	782	0	0	0	0	0	17	31	0	9	0	6	0	13713	4185	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000010.spe	20.04	7.86	1	0.018310	-0.003173	0.009822	0.093737	7960.69922	1.12	10	8	0	8	0	0	54	6	44	0	29	0	17	1350	7	0	43	48	0	0	14	81	68	1623	633	0	0	0	0	25	33	31	52	41	8	6	0	12634	3956	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000011.spe	22.04	7.86	1	0.018310	-0.003173	0.009822	0.093737	8888.45410	1.38	0	0	0	0	0	0	71	16	197	6	87	0	50	3071	22	0	28	59	47	49	107	121	9	2026	688	0	7	12	6	0	0	0	0	11	39	0	96635410135251	13764	4073	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000012.spe	24.04	7.86	1	0.018310	-0.003173	0.009822	0.093737	11290.63184	1.14	16	0	17	25	17	5	36	7	724	0	270	0	147	9284	89	0	131	109	0	91	0	163	81	2450	828	0	0	0	0	0	4	0	0	111	42	0	0	16123	4771	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000013.spe	26.04	7.86	1	0.018310	-0.003173	0.009822	0.093737	12695.56055	1.35	14	0	36	32	31	4	66	79	1263	0	424	0	260	15071	181	0	240	216	73	11	0	138	32	2587	920	0	0	4	0	26	0	79	73	79	41	0	98284641312749	16276	4828	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000014.spe	28.04	7.89	1	0.018310	-0.003173	0.009822	0.093737	12659.56445	1.30	4	7	30	17	18	7	79	63	1166	0	472	8	243	14125	163	0	191	180	18	0	35	105	83	2748	903	0	0	0	0	35	34	67	71	27	44	7	0	16215	5220	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000015.spe	30.04	7.89	1	0.018310	-0.003173	0.009822	0.093737	11504.72266	1.40	0	0	0	0	0	0	58	16	482	0	192	8	113	7592	81	0	130	118	22	0	58	141	92	2755	843	4	0	7	0	18	0	18	53	14	24	0	1302541597591857	16437	5201	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000016.spe	32.04	7.89	1	0.018310	-0.003173	0.009822	0.093737	11695.71289	1.36	0	0	0	0	0	7	84	22	590	0	259	0	131	9316	149	0	80	96	60	66	17	87	27	2582	765	0	0	0	0	0	0	31	0	6	0	11	1118189897272270	16338	5132	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000017.spe	34.04	7.88	1	0.018310	-0.003173	0.009822	0.093737	10724.76074	1.28	0	8	0	4	12	0	96	14	401	5	167	20	102	6555	57	0	81	87	21	0	18	108	28	2702	838	5	0	16	0	0	11	45	84	45	39	7	551511540893730	15772	4680	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000018.spe	36.04	7.87	1	0.018310	-0.003173	0.009822	0.093737	8861.25586	1.45	0	0	0	0	18	0	80	0	196	0	76	12	45	2982	49	0	39	66	61	52	16	36	48	2259	757	0	0	0	0	15	0	24	0	0	8	6	0	13373	4013	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000019.spe	38.04	7.87	1	0.018310	-0.003173	0.009822	0.093737	12621.86621	1.27	5	0	25	0	21	0	50	40	1195	0	398	15	231	12357	205	8	182	176	0	20	73	194	71	3028	794	11	0	0	0	41	11	49	42	72	0	0	784805082542448	16835	5065	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000020.spe	40.04	7.88	1	0.018310	-0.003173	0.009822	0.093737	15552.91992	1.33	14	9	57	31	23	0	50	91	1892	21	630	18	326	18887	139	0	228	337	19	0	106	266	55	3936	998	0	0	5	0	20	9	15	70	24	67	0	0	19643	5523	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000021.spe	42.04	7.92	1	0.018310	-0.003173	0.009822	0.093737	13289.33301	1.30	24	22	9	0	39	5	80	32	837	0	240	6	144	8507	31	0	192	255	10	54	90	213	0	3860	939	0	0	7	0	7	0	28	0	33	49	17	2228287156889048	19170	5647	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000022.spe	44.04	7.93	1	0.018310	-0.003173	0.009822	0.093737	11558.91797	1.34	0	0	0	0	28	4	57	0	80	0	19	8	32	1538	56	15	101	221	53	78	81	265	8	3699	1069	0	0	0	0	0	0	22	0	63	0	0	31516382690101	18811	5118	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000023.spe	46.04	7.93	1	0.018310	-0.003173	0.009822	0.093737	12710.25977	1.23	9	10	0	19	23	0	57	38	732	0	228	25	146	7379	72	4	252	363	9	187	70	231	0	3816	878	0	0	0	19	20	20	35	0	0	36	0	69272157909715	18673	4849	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000024.spe	48.04	7.93	1	0.018310	-0.003173	0.009822	0.093737	14948.75000	1.25	5	21	45	16	33	0	44	60	1465	0	323	0	246	10703	146	0	439	519	9	0	19	409	72	4883	946	0	0	0	0	6	0	36	0	0	8	21	0	20419	5462	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000025.spe	50.04	7.93	1	0.018310	-0.003173	0.009822	0.093737	15688.11328	1.37	0	0	0	25	41	9	42	41	1808	0	264	11	307	10761	118	0	505	702	0	0	61	453	0	5381	896	0	0	8	0	20	41	76	20	27	50	0	0	22176	5654	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000026.spe	52.04	7.95	1	0.018310	-0.003173	0.009822	0.093737	16070.19336	1.44	0	9	10	26	61	8	65	57	1492	11	216	15	270	13364	199	0	501	565	29	57	190	463	0	5457	1070	0	0	0	0	0	10	6	0	29	0	0	0	22694	5846	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000027.spe	54.04	7.95	1	0.018310	-0.003173	0.009822	0.093737	15901.20020	1.38	11	0	22	0	48	0	50	47	1705	0	252	29	327	10950	68	0	562	657	9	0	49	503	22	5625	1057	0	0	0	0	24	35	43	85	6	87	0	0	22396	5748	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000028.spe	56.04	7.84	1	0.018310	-0.003173	0.009822	0.093737	14095.49316	1.23	5	17	24	6	31	14	54	43	1281	0	144	30	220	5788	28	0	430	695	0	0	125	465	74	5311	825	0	0	4	0	52	39	59	119	0	65	0	575753645266922	20780	5413	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000029.spe	58.04	7.88	1	0.018310	-0.003173	0.009822	0.093737	14311.58008	1.49	0	0	28	18	44	6	64	38	1550	0	190	0	254	8932	149	0	474	716	26	0	124	285	29	5071	938	6	4	0	0	0	0	44	80	0	4	0	1269111570021182	20442	5238	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000030.spe	60.04	7.90	1	0.018310	-0.003173	0.009822	0.093737	12153.78906	1.46	0	0	0	17	28	0	78	25	865	0	109	0	149	5320	82	0	331	408	0	78	34	317	49	4207	775	0	7	8	17	8	40	41	14	0	8	0	233191153785911	17988	4703	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000031.spe	62.04	7.90	1	0.018310	-0.003173	0.009822	0.093737	12724.26172	1.31	15	0	7	0	21	0	62	37	1207	0	120	0	166	7571	88	0	329	449	0	97	103	298	37	4446	739	0	0	0	0	24	6	18	0	0	25	31	1026850562032975	18378	5002	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000032.spe	64.04	7.90	1	0.018310	-0.003173	0.009822	0.093737	14671.46191	1.38	5	0	0	0	33	0	65	47	1688	0	185	11	350	10453	94	0	510	533	0	32	80	436	61	5011	761	7	0	0	16	56	0	6	0	12	9	9	675543809799998	20770	5272	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000033.spe	66.04	7.90	1	0.018310	-0.003173	0.009822	0.093737	15566.31934	1.33	11	24	0	26	39	12	93	48	1783	0	164	8	350	10911	97	0	503	730	0	58	141	467	30	5092	850	17	0	0	14	0	27	43	0	17	63	12	39656410906783	22277	6051	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000034.spe	68.04	7.91	1	0.018310	-0.003173	0.009822	0.093737	15926.00098	1.33	0	11	7	35	39	14	60	43	1404	12	118	15	231	9866	140	0	420	554	0	0	167	556	107	5239	829	0	0	0	9	0	41	17	116	52	31	5	1331692610999580	23782	5666	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000035.spe	70.04	7.93	1	0.018310	-0.003173	0.009822	0.093737	14948.24902	1.28	11	0	9	13	6	0	63	0	935	0	117	12	187	7501	104	0	316	443	8	24	149	368	33	4727	850	8	0	0	34	6	0	14	33	0	27	0	510313413487666	22460	5786	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000036.spe	72.04	7.92	1	0.018310	-0.003173	0.009822	0.093737	15188.83691	1.33	0	8	7	23	47	0	70	35	1381	0	176	10	221	9340	133	10	515	608	0	0	120	396	0	5162	902	0	0	6	0	24	56	79	80	0	18	0	0	21714	5500	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000037.spe	74.04	7.87	1	0.018310	-0.003173	0.009822	0.093737	14890.95313	1.57	0	0	29	25	30	9	86	40	1683	0	193	0	242	9061	109	0	470	633	0	31	85	409	140	4788	743	0	0	6	0	0	25	79	17	0	63	0	0	21916	5716	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000038.spe	76.04	7.86	1	0.018310	-0.003173	0.009822	0.093737	13353.22754	1.23	25	13	0	18	23	8	68	40	796	0	196	0	141	7741	79	0	272	294	0	51	86	309	31	3597	907	5	0	0	48	0	14	32	0	16	37	0	0	19737	5222	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000039.spe	78.04	7.89	1	0.018310	-0.003173	0.009822	0.093737	12607.86719	1.24	0	0	0	14	35	0	78	23	424	0	98	0	66	4376	77	0	216	254	12	78	97	285	33	4074	824	0	0	0	0	0	0	0	18	0	0	14	0	19397	5182	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000040.spe	80.04	7.93	1	0.018310	-0.003173	0.009822	0.093737	13101.84082	1.32	0	0	0	0	26	11	68	21	573	0	76	15	126	5474	74	0	251	348	8	0	54	342	0	4267	854	0	5	0	0	41	28	73	104	22	9	18	0	20124	5471	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000041.spe	82.04	7.93	1	0.018310	-0.003173	0.009822	0.093737	13384.42773	1.40	0	0	0	17	0	0	66	26	612	14	104	24	117	6811	70	10	288	318	33	0	82	414	40	4618	849	0	0	0	0	0	0	31	41	0	8	0	0	20149	5189	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000042.spe	84.04	7.93	1	0.018310	-0.003173	0.009822	0.093737	11352.42871	1.27	7	15	29	36	33	4	62	11	679	0	66	0	115	4823	77	14	239	303	0	96	53	245	155	3794	777	0	0	12	0	17	34	31	0	86	0	0	0	17288	4584	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000043.spe	86.04	7.93	1	0.018310	-0.003173	0.009822	0.093737	14221.58594	1.25	9	0	10	8	44	0	40	19	1303	0	162	10	240	8093	111	0	403	699	32	98	202	319	0	4659	995	0	0	0	0	0	0	0	0	118	0	0	732829947572925	20822	5609	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000044.spe	88.04	7.93	1	0.018310	-0.003173	0.009822	0.093737	15949.89941	1.25	0	0	0	0	36	0	53	36	2243	5	289	0	369	12553	152	0	615	806	11	72	125	436	66	5509	953	0	0	0	0	8	24	26	0	81	33	15	0	22123	5671	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000045.spe	90.04	7.97	1	0.018310	-0.003173	0.009822	0.093737	15720.61035	1.38	10	20	12	18	40	8	69	47	2210	0	305	6	381	16010	80	0	549	712	0	70	101	371	41	4955	899	19	0	0	0	23	4	32	0	71	102	5	0	20780	5730	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000046.spe	92.04	7.99	1	0.018310	-0.003173	0.009822	0.093737	15631.51270	1.22	20	9	15	14	46	0	52	67	2432	0	278	0	369	14616	151	6	625	751	38	113	117	503	0	5372	948	0	0	0	0	65	5	68	0	58	59	0	0	20929	5546	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000047.spe	94.04	8.00	1	0.018310	-0.003173	0.009822	0.093737	15026.94629	1.43	0	4	17	26	51	7	71	59	2915	0	313	0	445	16579	152	0	658	813	0	72	83	433	29	4962	799	4	0	5	35	17	30	92	0	53	61	0	88514394502553	18875	5028	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000048.spe	96.04	8.00	1	0.018310	-0.003173	0.009822	0.093737	13950.79785	1.31	0	0	26	18	50	8	53	45	1706	12	187	23	285	11925	78	6	547	653	0	94	105	385	0	5002	879	0	0	0	0	16	0	88	0	117	39	18	276845937597765	18924	5167	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000049.spe	98.04	8.00	1	0.018310	-0.003173	0.009822	0.093737	15879.80273	1.57	0	11	28	33	66	22	38	59	2952	0	281	23	446	17696	174	0	704	897	23	30	162	461	0	5539	820	10	0	0	0	0	0	39	50	93	92	0	0	19855	5317	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000050.spe	100.04	8.00	1	0.018310	-0.003173	0.009822	0.093737	15225.43457	1.49	0	0	19	0	47	15	56	66	2404	0	255	9	385	13641	13	0	623	808	18	0	111	480	0	5605	842	6	0	0	0	0	0	65	61	68	115	9	111557225174313	20206	5275	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000051.spe	102.04	8.00	1	0.018310	-0.003173	0.009822	0.093737	16946.14844	1.45	20	15	31	30	57	0	41	62	3146	0	367	33	514	17307	182	0	777	965	0	81	39	515	131	6210	875	13	0	0	0	0	0	87	27	0	36	0	0	21803	5611	
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000052.spe	104.04	8.00	1	0.018310	-0.003173	0.009822	0.093737	17064.74219	1.41	10	10	22	31	46	0	64	70	3430	0	339	20	552	17380	97	0	822	1077	0	0	148	502	85	6610	989	0	0	6	0	0	51	21	19	91	102	0	0	21666	5828	
