"Core","depth_cm","Group","Guano_Zone","Guano_sum","SH20_age","kcps","MSE","Si","S","K","Ca","Ti","V","Cr","Mn","Fe","Co","Cu","Zn","Ga","Br","Rb","Sr","Zr","Ir","Pt","Au","Hg","Pb","Mo_inc","Mo_coh","inc_coh","coh_inc"
"YAN 8A-I_200um",0.02,"Unit 8","YAN FW",1,-52.85,18364.04688,1.33,-1.87021996381333,-1.94432793596705,-0.114828138756146,1.5895457719999,1.41675944835694,-1.43350231220106,-3.81613011286864,0.505792597735537,5.44515682672565,-0.152568466738993,-0.520293246864311,-1.21344042742426,NA,NA,-0.652062524495434,1.64628826435982,0.551205806395238,-0.570936979683065,-0.687908656268569,-1.26408416024301,-1.0127697319621,-2.42983575174875,3.77084244113994,2.75731725232166,2.75529685681024,0.362937299307081
"YAN 8A-I_200um",0.04,"Unit 8","YAN FW",1,-49.7,23229.83008,1.45,-1.70261116802463,-2.12186959826513,-0.197012858407653,1.64753321722061,1.49298200869011,-1.3391102590155,-2.08104760374488,0.449469557295173,5.44599300719875,-0.995858335408911,-0.917896793939199,-1.39795075903844,NA,NA,-0.52079993550155,1.40510348379744,0.483901753716657,-1.42872241770519,-0.930475576146058,-0.975790772358101,-1.16475687187072,-1.05859667604233,3.45510486286036,2.45241173468921,2.72561237645037,0.366890027591644
"YAN 8A-I_200um",0.06,"Unit 8","YAN FW",1,-46.55,25651.91016,1.31,-1.73248151107224,-2.09292293780645,-0.00175793243055811,1.76322828409744,1.61603657459448,-1.30962466025221,-2.02016358352402,0.610083116409079,5.52454903320939,-0.582575928016584,-0.735338682568994,-0.904159552144046,-1.95234098718526,NA,-0.102209511735301,1.47528014805489,0.289414544960992,-1.45804466537048,-1.10037022109867,-1.33582703264623,-0.85920816428178,-0.904159552144046,3.42027754128506,2.39231567966556,2.79536268878962,0.357735332166502
"YAN 8A-I_200um",0.08,"Unit 8","YAN FW",1,-43.4,27061.84375,1.34,-1.61474522788376,-2.51845717755105,0.187507517060133,1.87676328452561,1.73226771982557,-1.30206185322656,-1.62748425366119,0.772739308896772,5.69555105695992,NA,-0.921598047323815,-1.10899575714963,-1.73569783830142,NA,-0.244400168171548,1.54467617629147,0.373649186157318,-1.37902289436269,-0.726697708323,-1.36907256350952,-1.97685989511831,-1.6403876584971,3.50695579513401,2.47537099822882,2.80550847457627,0.356441625132155
"YAN 8A-I_200um",0.1,"Unit 8","YAN FW",1,-40.26,28196.38672,1.43,-1.75489230568022,-2.32358531176676,0.117836226081506,1.68722345139957,1.6483110947088,-1.48238503124767,-1.76701366621256,0.658220652089041,5.5734501127592,-0.620773328555197,-0.709901108451204,-1.19699917105624,NA,NA,-0.500409646305322,1.35889070531197,0.244632022459397,-1.82992749162313,-0.845856744687233,-1.24647922831961,-1.35345134787178,-1.29853559027566,3.31900056901754,2.3226451382255,2.70839289360833,0.369222649475986
"YAN 8A-I_200um",0.12,"Unit 8","YAN FW",1,-37.11,27998.99219,1.51,-1.6672655155221,-3.39003211326321,0.00671091804956703,1.82272736492318,1.75746236355025,-1.01667794938095,-2.1277904008133,0.713162064235876,5.62254813822983,-0.58869397773744,-0.668736685410977,-0.481311216698846,-1.26976857706312,NA,-0.374497212413037,1.41070485626886,0.0266010765287872,-1.70363315969298,-0.668736685410977,-1.45369141522405,-0.861640351535469,-0.856335299305775,3.38541007827822,2.38348369940767,2.72352331606218,0.367171448139411
"YAN 8A-I_200um",0.14,"Unit 8","YAN FW",1,-33.96,27863.80273,1.52,-1.91983707149363,-2.19609044812179,0.365356278788545,1.95959149432183,1.90617718893764,-0.943327479626421,-1.9549283913049,0.725359012819952,5.73655718396691,-0.862286269623295,-0.717589893135165,-0.838616525537391,-3.58238480924168,NA,-0.381858123041676,1.51748161858252,0.301986664855955,-0.844481644989789,-0.832785605226598,-1.91983707149363,-0.628421948563984,-0.892683746807667,3.51974036505059,2.4828792208837,2.82035043276335,0.354565868263473
"YAN 8A-I_200um",0.16,"Unit 8","YAN FW",1,-30.81,28052.39063,1.41,-1.30372944913325,-2.2024758713565,0.243644753396349,1.91550029539888,1.82868191271652,-1.14831534525922,-1.71362915430928,0.846178803651839,5.70451165161044,-1.81160956266948,-0.632954566327838,-0.529859057300863,NA,-2.22445477807527,-0.14223930951271,1.52164481636856,0.286047418901694,-1.15591994464444,-0.693579188144272,-1.39638827961595,-1.63666811317315,-1.62439802058134,3.46492822369815,2.40508276436112,2.88592496204728,0.346509355978057
"YAN 8A-I_200um",0.18,"Unit 8","YAN FW",1,-27.66,27797.90625,1.46,-1.48565141612439,-2.96005304475455,0.24397627199666,2.0410634043325,1.89403102970422,-1.08421045831595,-1.84404901337457,0.879965038716656,5.81437386344183,-2.72643819357304,-0.227738221652706,-0.428028471989476,-2.76899780799184,-1.53504417145397,-0.0522895441465128,1.53330309775095,0.235392528305268,-0.920885402212651,-0.497320252460868,-0.774593308997914,-0.85463601667145,-0.562157771956176,3.56821261252269,2.51177524890529,2.87610619469027,0.347692307692308
"YAN 8A-I_200um",0.2,"Unit 8","YAN FW",1,-24.52,27932.59375,1.44,-1.67508541330303,-2.25044955820659,0.414074377845727,2.11794288519149,1.96496481337851,-0.657818764088873,-1.35663168218449,0.971754056754284,5.90108400314388,-2.14508904254877,-0.613612671584377,-1.18957759752133,-4.2245305842286,-2.53813163065837,0.0741144415062296,1.60793823138892,0.611751322722877,-0.850361874954365,-0.300579007935181,-0.62448234382128,-0.784112489413165,-0.715974684245946,3.66492856517592,2.59788464758652,2.90677412328469,0.344023979018359
