"Core","depth_cm","Group","Guano_Zone","Guano_Sum","SH20_age","kcps","MSE","Si","P","K","Ca","Ti","V","Mn","Fe","Co","Cu","Zn","Br","Sr","Zr","Os","Mo_inc","Mo_coh","inc_coh","coh_inc"
"ARD1A",15,"Unit 12","ARD GZ 5",3,1613.05,11849.40625,1.19,-2.66357718174912,-3.04306680345402,-2.47252194498641,1.59687634928911,0.138187029624592,-3.21012088811719,-0.232737753231396,3.66501728039905,-1.33135004189951,0.226794576147044,0.676118000155241,-0.237378132787899,2.20436204507305,0.972622976369388,-3.12310951112756,4.04777896738494,2.78610503291068,3.53132775390183,0.283179605431719
"ARD1A",15.2,"Unit 12","ARD GZ 5",3,1629.66,13940.2998,1.1,-2.68604963104569,-2.53189895121843,-1.94411228631631,1.70881096160828,-0.312695467163434,-2.47632910006362,-0.273116480882776,3.43182727841673,-2.21604600179995,0.519403173490373,0.800305558956775,-0.306503496915513,2.09670870459711,0.612253327453836,-2.50372807425173,3.68664425165721,2.39452623347713,3.64048901782014,0.274688371563549
"ARD1A",15.4,"Unit 12","ARD GZ 5",3,1646.26,10691.76172,0.97,-3.12056885740796,-3.05157598592101,-3.36173091422484,1.3965504504574,-0.583476454449387,NA,-0.550140034181794,3.27254399928149,-2.07074673290928,0.221788024231265,0.638968747511992,-0.0760464196845341,2.22176539455685,0.640631258285605,-1.90947858531316,3.80235648636362,2.52915962340371,3.57225433526012,0.279935275080906
"ARD1A",15.6,"Unit 12","ARD GZ 5",3,1662.86,11732.21094,1.1,-2.77668052686324,NA,-2.04716570213242,1.01755944290852,0.0673671593586826,-2.89446356251963,-0.551056475005327,3.35156245034753,-1.26033303749516,-0.563129056239595,-0.0711025149064222,-0.555064496402865,1.9643793798175,0.509507746025253,-2.0651842076351,3.56060396498201,2.31319943576028,3.48129562043796,0.287249377538986
"ARD1A",15.8,"Unit 12","ARD GZ 5",3,1679.46,13269.7334,1.05,NA,-3.78874120225408,-2.54905031532606,1.42816888965863,-0.415195351922431,-3.35342313099623,-0.573508368664377,3.31158594937818,-1.01048674247862,0.284163028730155,0.616868782555891,-0.337311695105588,2.13551459516045,0.338393182791015,-1.90997035603639,3.57234540137395,2.25064733313549,3.74978336221837,0.266682072910047
"ARD1A",16,"Unit 12","ARD GZ 5",3,1696.06,14100.79199,1.07,-3.21925465302617,-3.39110490995283,-1.76924447752017,1.73768372160001,-0.0952680439484963,-2.76249625053045,-0.364600977732081,3.82201886059919,-1.02203007568995,0.407189330146977,0.740053625391991,-0.427121334713415,2.12484082722131,0.394504170619662,-1.88702751317655,3.53104624931304,2.18081145139791,3.85833135250773,0.259179398718581
"ARD1A",16.2,"Unit 12","ARD GZ 5",3,1712.66,12946.25098,1.05,-3.00649106741557,-2.8461484173404,-1.99885055695319,1.52517297197442,-0.30717454628212,NA,-0.178405939726279,3.52590650993795,-1.65334891361258,0.39470631424658,0.567319056913574,-0.690946829779024,1.93110591634843,0.467363959822656,-3.50292795372947,3.5593248836861,2.21339461190891,3.8417587585234,0.260297447824224
"ARD1A",16.4,"Unit 12","ARD GZ 5",3,1729.26,11716.21094,1.09,-3.63812997431662,NA,-2.04704120055072,0.823589656539211,-0.0445607000070094,-2.85797141676705,-0.794278232055349,3.29617871261803,-1.10877156195779,-0.810278573401789,-0.302683970217245,-0.888530770301538,1.90704747016294,0.510760163645533,NA,3.63672751341111,2.31794288319828,3.73887449964681,0.267460167516846
"ARD1A",16.6,"Unit 12","ARD GZ 5",3,1745.87,14840.35254,1.14,-2.24338805680067,-3.49615102529604,-2.0080739698662,0.915781092156752,0.389821302932169,-2.99971413898214,-0.518437257244722,3.74588020268136,-0.964724359873142,-0.872518166006408,-0.0737514359832767,-0.428098090162418,1.74143010606417,0.685899117345171,NA,3.7092720170448,2.41677266199061,3.64187753525208,0.274583642728334
"ARD1A",16.8,"Unit 12","ARD GZ 5",3,1762.47,16067.69141,1.15,-2.36989070752829,-4.05164928154202,-1.47713047306433,1.10164231295576,0.453700569163859,-2.39342120493849,-0.774504548549845,3.79327720689363,-1.06218662100163,-0.943705017381102,-0.0129936251805089,-1.0130970108051,1.82117248543519,0.655626127383224,NA,3.81827790457046,2.45488188358921,3.90944734876774,0.25579062992502
"ARD1A",17,"Unit 12","ARD GZ 5",3,1779.07,14178.48926,1.19,-3.34532887561185,NA,-1.98888747764164,0.953955331991974,0.256004299119383,-3.08749976630975,-0.572740153372072,3.57968832021092,-1.14158961725444,-1.15466169882179,-0.204732607798809,-1.515103125556,1.66648219757341,0.587649494992281,NA,3.64892784644414,2.31783583203425,3.78517459669185,0.264188605955978
"ARD1A",17.2,"Unit 12","ARD GZ 5",3,1795.67,14384.77832,1.14,-3.14048878032999,NA,-2.01330311921783,1.25771071358949,-0.264715821854982,-4.33007284720383,-0.513931613478967,3.42256922461144,-1.69101551758857,-0.104282398848229,0.0339352819673726,-0.715301365243616,1.97776534706936,0.269366664075276,NA,3.55724302323632,2.25452120921677,3.67929741464377,0.271791020758462
"ARD1A",17.4,"Unit 12","ARD GZ 5",3,1812.27,16103.89063,1.13,-3.32997386207346,-2.41368313019931,-2.7546097171699,1.93874303469828,-0.412203129989184,-2.78635841548448,-0.264508250504797,3.54732220942397,-0.994598946256426,0.660038462216377,0.815802873780909,-0.533370263629807,2.35152513273731,0.561846436037164,-2.39170422348053,3.65515389602633,2.35057789386758,3.68612585291888,0.271287535993418
"ARD1A",17.6,"Unit 12","ARD GZ 5",3,1828.87,15901.30078,1.08,-3.27560577817546,-3.33623039999189,-2.25867152052161,1.82102730751083,-0.587358204369426,-2.81298225622734,-0.155575787943888,3.42830383581821,-1.12521250052334,0.630517505125502,0.851528606869635,-0.239522209097898,2.39468074205256,0.777712520298838,-2.44525747610203,3.84121799095744,2.49142762431985,3.85661697036628,0.259294611750107
"ARD1A",17.8,"Unit 12","ARD GZ 5",3,1845.47,13700.5127,1.11,-4.04836331144589,-3.57835968220015,-2.52230700795084,1.9663293617813,-0.268729494063487,-2.39970468585851,0.122942291912341,3.63190470347693,-3.86604175465193,0.823775905396443,1.10839049078036,0.197270698322439,2.76155860718749,0.873076403845896,-1.80765362216993,4.16999248428694,2.83591861135061,3.7964782964783,0.263402006256067
"ARD1A",18,"Unit 12","ARD GZ 5",3,1862.07,12759.6582,1.17,-2.52722992467509,-3.42517151788105,-2.10949472397511,1.39290821197205,-0.947869467478268,-2.52722992467509,-0.402531791407133,3.0626508610327,-0.895813105522214,0.268243091398278,0.619473375788779,-0.146312988411138,2.70645015042565,1.01211779546788,-2.7320243373211,3.98857955819113,2.66325473706973,3.76340759075908,0.265716634694437
"ARD1A",18.2,"Unit 12","ARD GZ 5",3,1878.68,12303.58301,1.07,-2.78220622592358,-3.51617540100378,-2.56709484630663,1.39770422462817,-0.728082492228032,NA,-0.780726225713455,2.83688944056543,-1.55843079430146,0.189233355061369,0.541389909715026,-0.290655033416909,2.55936218261877,0.377344132859808,-1.84219896743211,3.74581016952127,2.41783657135612,3.7733892321271,0.265013741886439
"ARD1A",18.4,"Unit 12","ARD GZ 5",3,1895.28,14047.39355,1.14,-3.25815906381544,-2.56501188325549,-2.34186833194128,1.8237627656049,-0.506623750773486,-2.798626734437,0.0189856691767414,3.2042201557457,-2.798626734437,0.574098973143848,1.17265773502788,0.126231199530339,3.09997201135893,0.743095075340653,-3.44048062060939,4.13919820248107,2.807175331859,3.78869969040248,0.263942798774259
"ARD1A",18.6,"Unit 12","ARD GZ 5",3,1911.88,16801.85547,1.11,-3.06955873612407,-3.27022943158622,-1.94109348430628,1.66624090867591,-0.504609378662532,-2.49703954335274,-0.328718712198867,3.11590138474747,-2.06625662726028,0.542586923758479,1.04725868195009,0.147497252027146,2.86557593082047,0.719782892703621,-2.86476432347806,3.87105967677673,2.56636658550911,3.68655748337928,0.271255773037167
"ARD1A",18.8,"Unit 12","ARD GZ 5",3,1928.48,15825.00586,1.16,-4.48018181292596,-3.27620900860003,-1.58059339992487,1.94576712469129,-0.431299624780618,-2.74558075753786,-0.00284499844775521,3.33932055788046,-0.591768673136949,0.629795924502558,0.996978846039705,-0.226935968118005,2.57152949947336,0.369240887586574,-2.44329988566492,3.61916999931406,2.30691128964895,3.71455434373825,0.269211298977422
"ARD1A",19,"Unit 12","ARD GZ 5",3,1945.08,15385.32715,1.09,-2.87085640426999,-2.51418146033125,-1.80861175977275,1.8995255109456,-0.359516497413829,-4.00583633710897,-0.127714883356505,3.35030162501594,-1.33552646398961,0.472762307189658,0.896140829107902,-0.505967427939785,2.57526501418929,0.426302338992259,-2.14261790389877,3.68551602535518,2.36501548728562,3.74529557118419,0.267001624035729
"ARD1A",19.2,"Unit 12","ARD GZ 5",3,1961.68,15862.80176,1.1,-3.10552834133821,-2.6893679441133,-1.98563865422282,1.61613372454264,-0.588872993235631,NA,-0.33293961909843,2.95049992820269,-2.53218236059089,0.305299933384905,0.684509262462472,-0.279934081758435,2.31300637151201,0.2750273514366,-2.09686428933304,3.39168444527931,2.07516726687014,3.73040638606676,0.268067308627565
"ARD1A",19.4,"Unit 12","ARD GZ 5",3,1978.28,16385.67773,1.09,-2.98533635397707,-3.01923790565276,-1.85393424248597,1.96484097108207,-0.295223853561532,-3.20847990529128,-0.0657654413886473,3.226668358575,-1.11353417707548,0.496928850773863,1.0376315454028,0.0623556585076281,2.51292417071474,0.337298705181979,-2.83118567414982,3.5196003118378,2.21444898150669,3.68824719514438,0.271131501520969
"ARD1A",19.6,"Unit 12","ARD GZ 5",3,1994.89,12657.86328,1.04,-2.82948836532484,-2.92957182388182,-1.94218517032394,1.59393152923759,-0.64826412933506,-2.50671497306179,-0.611320614143376,2.9514021120373,-1.96198779762012,0.299775300853675,0.800550588766164,-0.134217890869028,2.78502911259621,0.665575152569407,-2.04536940655917,3.91299911142917,2.5998572636296,3.71783625730994,0.268973653165552
"ARD1A",19.8,"Unit 12","ARD GZ 5",3,2011.49,13355.23047,1.07,-2.7005486101583,-3.26016439809372,-1.82806050094254,1.46112076645006,-0.823266967492082,-2.47740505884409,-0.50332403282208,2.99246176751599,-1.31425424903841,0.173822806391424,0.717178073455067,-0.218622588508437,2.66909224321497,0.54371644871472,-1.72868802712933,3.78800478460363,2.50893754268312,3.59328649492584,0.278296762980665
"ARD1A",20,"Unit 12","ARD GZ 5",3,2028.09,13739.31055,1.06,-3.29436896339453,-3.02243524791088,-2.4834387471782,1.32507388188028,-1.00436265260734,NA,-0.902171711710792,3.00101234505015,-1.27946594285226,0.175265579820859,0.545083349198785,-0.243911790151287,2.70317084190388,0.486975718391505,-2.28276805171605,3.78765469911969,2.48868669215618,3.66551193225558,0.272813189121075
"ARD1A",20.2,"Unit 12","ARD GZ 5",3,2036.7,15278.03125,1.09,-3.18231514515431,-3.42917522308584,-2.04288086196594,1.41972514782485,-0.649114486007353,NA,-0.715805860506025,3.05978651757681,-1.76524912536767,0.206303454300985,0.343125839167174,-0.447541873911346,2.06470892700618,0.0817730225354394,NA,3.20303733578288,1.85362233180416,3.85516961202519,0.259391959534222
"ARD1A",20.4,"Unit 12","ARD GZ 5",3,2045.31,11608.01758,1.06,-3.27570073110564,-3.68116583921381,-1.86878708278302,1.43382947020669,-0.613112904080192,-2.8161684017272,-0.636643401490386,3.39369160019891,-0.916420294435054,0.284397933142367,0.627954024651985,0.166318645076766,2.63215573214442,0.710192122888957,-1.88940636998575,3.87356178320766,2.5753037133033,3.66291057300408,0.273006938080901
"ARD1A",20.6,"Unit 12","ARD GZ 5",3,2053.93,11761.80957,1.13,NA,NA,-2.56962603052028,0.62755269073735,-1.33443820684642,NA,-1.23334208997505,2.55128451139609,-2.6456119374982,-0.271930922820425,0.0781043803484094,-0.616771409112154,2.26820326552139,0.206006834100731,-2.61963645109494,3.42979458782843,2.13041077793508,3.6670363797693,0.27269977617809
"ARD1A",21.6,"Unit 12","ARD GZ 5",3,2096.99,14318.5791,1.15,-3.26658971512017,-3.57674464342401,-2.39112097776627,1.77855435366196,-0.473381705677651,-4.36520200378828,-0.148639808841929,3.43167833899524,-0.792856365930294,0.592032513580862,0.848646206133308,0.0984046178780265,2.57463316865727,0.556237711503506,-1.34966710293811,3.90532309126679,2.57869232180973,3.76832561728395,0.265369848988994
"ARD1A",21.8,"Unit 12","ARD GZ 5",3,2105.6,15867.30371,1.16,-3.73416149628686,-3.3286963881787,-1.5556290519628,1.64765413906187,-0.469675160166609,-4.02184356873864,-0.375523729043502,3.45764426891301,-1.81234889881061,0.28970099089682,0.815319783840641,-0.00846806905020969,2.39579607251482,0.591074304040274,NA,3.73111213445325,2.37804466851725,3.86927621861152,0.258446268371827
"ARD1A",22,"Unit 12","ARD GZ 5",3,2114.21,12030.5957,1.09,NA,NA,NA,0.0577216347570726,-1.58945660565988,-3.74894085501325,-1.69055272253124,2.48285206816305,-1.92978241159708,-0.930542596742172,-0.471796122021071,-0.62804543850525,2.09315323544047,0.556249730712657,NA,3.54152254495444,2.25761753804226,3.61071208701006,0.276953680022734
"ARD1A",22.2,"Unit 12","ARD GZ 5",3,2122.82,14568.26855,1.24,NA,-3.29512193997104,-1.88142860466304,1.08551484041379,-0.386401043406681,-3.78759842506884,-1.14206858094796,3.45695371316356,-1.37330934249479,0.0190640647014835,0.437242626082633,-0.339054922809482,2.3676456203225,0.552658796728751,-1.708156883389,3.65201429573495,2.34204578560317,3.70605700712589,0.269828553116488
"ARD1A",22.4,"Unit 12","ARD GZ 5",3,2131.44,12914.85059,1.25,-2.87615531622514,-2.92494548039457,-1.93169370738428,1.34265186352828,-0.168105115122925,-2.62484088794423,-0.612410056547353,3.56334718083555,-1.29570494066429,0.246838736939783,0.457748429703028,-0.271703515787352,2.43517228705892,0.743731266401849,-2.3943172293324,3.79660069506642,2.51378578986868,3.60677818813817,0.277255752318998
"ARD1A",22.6,"Unit 12","ARD GZ 5",3,2140.05,11760.20898,1.19,NA,-3.80872133511965,-2.14371357153074,1.43378125232199,-0.654765056350765,-2.81019250500852,-0.342985432319924,3.21019190751012,-2.04105941747066,0.3456874678451,0.536937655383356,-0.356468782657211,2.57767686804415,0.783508339592706,-3.26972483438696,3.93628146839619,2.60356597575082,3.79132473622509,0.263760049474335
"ARD1A",23.2,"Unit 12","ARD GZ 5",3,2165.89,13632.41602,1.08,-1.99869574080652,-2.74793238801751,-1.8788945409939,0.908701966679569,0.107653253793238,-2.87053471010984,-0.722825197301005,3.63114657978155,-1.19384457066658,0.25736933655263,0.247799885536479,-0.371239322869744,2.21652471235796,0.654546223800692,-2.47966840142283,3.76352715385127,2.47636575983455,3.62248912818389,0.276053278454239
"ARD1A",23.4,"Unit 12","ARD GZ 5",3,2174.5,12843.25586,1.14,-2.99100195624552,NA,-1.96138253906437,0.662250320225262,-0.0103833205015809,-2.49022666833303,-0.924139196772548,3.48288874010675,-1.30460300267529,-0.0978562714666342,-0.282951755143314,-0.688416863251478,2.07159307678144,0.610411472087137,-2.27316216309521,3.75863645463948,2.43834367270892,3.74451754385965,0.26705710102489
"ARD1A",23.6,"Unit 12","ARD GZ 5",3,2183.11,14524.87012,1.22,-2.8310751709813,-3.30107880022704,-1.69164088779294,0.737283127244124,-0.125806612840972,NA,-1.1187798731075,3.26624976682615,-1.41400915119466,-0.16558458429789,0.160481731162206,-0.189046070976889,2.25058795969227,0.780968234184654,-2.8310751709813,3.93141345915789,2.54111204413319,4.01606037151703,0.249000240905806
"ARD1A",23.8,"Unit 12","ARD GZ 5",3,2191.72,16426.67578,1.11,-2.59756577254231,-2.98960786031833,-1.74257556653195,1.30139937596838,0.119453098542662,-2.87627917501133,-0.779138056232092,3.37321332526436,-1.1715310827729,0.45464901080427,0.416908682821424,-0.0859908756721461,2.18608979268179,0.730770260854976,-2.59756577254231,3.82295723166006,2.43481338302543,4.0074047954866,0.249538055433348
"ARD1A",24,"Unit 12","ARD GZ 5",3,2200.34,14454.5752,1.17,-2.60070837962605,-2.87834011622433,-1.66639914224922,1.31675434909791,0.188782153416332,-3.532266583631,-0.451769043449295,3.44350673286746,-1.26093403414106,0.432202897169693,0.407072232444112,0.101262775399775,2.1599103449049,0.62420975969811,-2.43365429496289,3.76560585471758,2.38476449456796,3.97824735860783,0.251366973910327
"ARD1A",24.2,"Unit 12","ARD GZ 5",3,2208.95,12514.57227,1.25,-2.5789179716928,-3.05849105195469,-1.88577079113286,1.20093326062686,0.461059003658944,-2.09707988480007,-0.606160572601303,3.76286804538173,-2.18945320493108,0.0935872919899943,0.347821430374235,-0.315172712015023,2.48065864672735,0.908893882806121,-3.42621583208001,4.13438533068855,2.76705512895405,3.92485811577753,0.254786280293828
"ARD1A",24.4,"Unit 12","ARD GZ 5",3,2217.56,13734.31055,1.17,-3.31919692813238,-3.00904199982854,-2.16174413944134,1.38869392855052,0.204486218713066,-3.31919692813238,-0.782618267800059,3.61005295058752,-1.28627540208744,0.371952674516096,0.491497825165879,0.0789655498346216,2.63711136199102,0.943482948908936,-2.77265322176431,4.13746767798195,2.78701575093683,3.85916919959473,0.259123129430297
"ARD1A",24.6,"Unit 12","ARD GZ 5",3,2226.17,15207.03711,1.13,-2.75333546512369,-3.88831539796268,-1.85143347070164,0.832165634536408,0.0903272948068645,-3.19516821740273,-0.898154169458142,3.69312104429039,-0.678368203838778,-0.174743331258369,-0.079186815697164,-0.345747063119663,2.14477082383612,0.811154356323816,NA,3.82069380290526,2.472219177864,3.85154599577492,0.259636000997258
"ARD1A",24.8,"Unit 12","ARD GZ 5",3,2234.79,14500.6709,1.12,-2.53350539879475,-3.94449237250501,-1.79273016924555,0.96742694865209,0.0500318544348817,-2.2040261976645,-0.758139739342367,3.66452705513902,-1.2364421714028,0.105551930820513,-0.0107078752953491,-0.374959676023638,1.97197919556154,0.399313049348676,NA,3.51357843792953,2.18259512838769,3.78476315215019,0.26421732610451
"ARD1A",25,"Unit 12","ARD GZ 5",3,2243.4,12219.28516,1.2,-2.80617847388415,-3.29168628966585,-2.80617847388415,1.24761115217153,-0.838528338192429,-3.76168991891158,-0.394394088925111,3.18393901249863,NA,0.223583548256154,0.516364125379319,-0.18374202550493,2.36211781518411,0.615324173938752,NA,3.61750545710225,2.31595232443745,3.675,0.272108843537415
"ARD1A",25.2,"Unit 12","ARD GZ 5",3,2249.41,15988.49805,1.21,-2.71898479206173,-2.58893166381354,-2.20815916829574,1.63665508743895,-0.657056832874606,-2.93520790053137,-0.255131551471566,3.45676697125788,-1.00418636396981,0.534829084167748,0.723034584120677,-0.128717626615907,2.41239211973065,0.484213220087238,-2.58893166381354,3.58139317225328,2.25602332439137,3.76357704855114,0.265704670609831
"ARD1A",25.4,"Unit 12","ARD GZ 5",3,2255.43,16746.6582,1.17,-3.23874461015896,-2.92858968185512,-2.18665233712574,1.77219366833592,-0.164369209285853,-2.80342653890111,-0.0625865149759113,3.45345191642268,-1.42451228507884,0.692189359554886,0.844937246319103,-0.209489644566323,2.43426620583049,0.483657535993622,-2.54559742959901,3.59946569690488,2.28380662218528,3.72720668361787,0.268297436896989
"ARD1A",25.6,"Unit 12","ARD GZ 5",3,2261.44,14420.97461,1.13,-3.85174586308363,-2.1653469095134,-1.44480075476534,1.90304653248032,-0.271008567589393,-3.15859868252368,-0.0362337580363228,3.46427061130868,-2.4166613377943,0.690484523130592,1.04010589502266,-0.147977796475939,2.47868780084416,0.430460436308045,-2.37014132215941,3.59862436215391,2.25683483069304,3.82588392261508,0.261377506538797
"ARD1A",25.8,"Unit 12","ARD GZ 5",3,2267.45,15761.30859,1.09,-2.74926011116732,-2.80988473298375,-1.60279180132157,1.9320537885718,-0.395087649382777,-4.07839605844726,0.106195381622621,3.44135659933724,-1.20044682054965,0.729261353929382,0.970747444318984,-0.264353461379316,2.4586175484851,0.311929379041318,-2.63803447605709,3.57904425205508,2.2090493639272,3.9353305785124,0.254108258518402
"ARD1A",26,"Unit 12","ARD GZ 5",3,2273.47,14971.74902,1.09,-2.72249892073944,-2.96366097755633,-2.49935536942523,1.74750588533247,-0.521313942187128,-3.41564610129939,-0.255610776454122,3.31392192002725,-1.28401880644898,0.471791428656142,0.973498001143357,0.108611373119993,2.61726881428914,0.728621769689312,-2.65350604925249,3.84903409037669,2.50535766072877,3.83310979114773,0.260884778805299
"ARD1A",26.2,"Unit 12","ARD GZ 5",3,2279.48,13416.82715,1.18,-3.5275920132606,-3.04801893299871,-1.68582212345788,1.46649688472125,-0.685369599262017,-2.48162345807791,-0.330489987941959,3.19318472815994,-2.79670450471781,0.306053563813071,0.732918665533171,-0.231755147256271,2.45129375164052,0.58202002109229,NA,3.68226017418595,2.37314797782699,3.70288481785639,0.270059709980097
"ARD1A",26.4,"Unit 12","ARD GZ 5",3,2285.5,13830.10352,1.15,-2.88544043573627,-3.11905528691778,-2.02044299824967,1.89087800644765,-0.432282484262851,-3.42443693646896,-0.292053142954201,3.422126595626,-0.795636107020888,0.58549028394056,0.794019796461174,-0.0871433567862825,2.45069441631172,0.280386168042114,-2.47997532762811,3.7253116863683,2.38755912282748,3.81047008547009,0.262434811865642
