"Core","depth_cm","Group","Guano_Zone","Guano_Sum","SH20_age","kcps","MSE","Si","P","K","Ca","Ti","V","Mn","Fe","Co","Cu","Zn","Br","Sr","Zr","Os","Mo_inc","Mo_coh","inc_coh","coh_inc"
"ARD1A",11.4,"Unit 13","ARD NON GUANO",2,1030.42,10586.56934,0.97,-2.35903441305267,NA,-2.35903441305267,0.668446558815897,0.259067551386597,-2.26666109292166,-0.594524586271994,3.63299449090505,-1.9863591277675,-2.20950267908171,-1.24972683526782,NA,1.33627593139155,0.801391842211958,NA,3.74475024640743,2.58191652629755,3.19898547382984,0.312599106241891
"ARD1A",11.6,"Unit 13","ARD NON GUANO",2,1062.78,13329.53125,1.26,-3.34947640373136,-3.75494151183952,-1.34200836167661,1.61103450318233,1.06534005376551,-2.02034045645142,-0.0373126444396004,4.40452856745397,-2.02034045645142,-0.941530795079486,-0.837170779755244,-0.428707168650822,1.82037607881343,1.22294099578493,-2.45565852770926,4.15699326876256,2.90627363802201,3.49285561953508,0.286298693369154
"ARD1A",11.8,"Unit 13","ARD NON GUANO",2,1095.15,10465.1748,1.12,-2.65087502076455,NA,-1.51144073757618,1.32255661279224,0.779071774183593,-3.12087865001028,-0.256774818934729,4.16032346838443,-0.571433479084712,-1.16548975700043,-0.859115551536493,-1.83994480454822,1.22724643298792,0.690218436827902,-2.0002874546234,3.47125222486348,2.32557132403945,3.14458177637252,0.31800731261426
"ARD1A",12,"Unit 13","ARD NON GUANO",2,1127.52,10582.66699,1.25,-3.13873534178925,NA,-1.55461523733944,1.33931144786965,0.75563272840018,-2.27373790430264,-0.269416993090913,4.14441236104476,-0.447492259003416,-2.3004061513848,-1.30615387804094,-2.10466157425871,1.08444209227582,0.49885081793714,NA,3.38464339391459,2.18792649776793,3.30923450789793,0.302184688819534
"ARD1A",12.2,"Unit 13","ARD NON GUANO",2,1159.89,10957.5498,1.13,-3.47933354476794,NA,-1.42520981107239,1.45081449841563,0.807007839771533,-1.83067491918056,0.0262238522184575,4.26488973421836,-0.899116715175616,-1.4381132159083,-0.519228448857101,-2.89154687986582,1.25686490362656,0.670130316675239,-1.97525614799167,3.58610901004979,2.39643952784385,3.28599494807746,0.304321831226512
"ARD1A",12.4,"Unit 13","ARD NON GUANO",2,1192.26,12618.46582,1.21,-2.28563127479604,-3.73255025773237,-1.89996879398406,1.60918572918319,1.00474408118276,-1.42996516473832,0.0879055541702858,4.36616857098206,-0.427496736623117,-1.57788529481495,-0.794711962597281,-1.15803144925468,1.45063680156204,0.753273170623156,-2.12311234529827,3.67613181283651,2.48130755929912,3.30297723292469,0.302757158006363
"ARD1A",12.6,"Unit 13","ARD NON GUANO",2,1224.63,13446.62305,1.25,-2.21895882677628,-3.6258724750989,-1.70405987762265,1.4472158336439,0.859011545014688,-2.06772785705235,-0.181189981497007,4.2436566503598,-0.917822273996691,-1.96764439849537,-1.38339130617456,NA,1.28309916522085,0.596083211715845,NA,3.41583077639297,2.22176981436574,3.30045706038008,0.30298833819242
"ARD1A",12.8,"Unit 13","ARD NON GUANO",2,1257,11675.71191,1.12,-2.8669713612792,-3.60890870600857,-1.73710652910698,1.40903316327012,0.788006541159059,-1.88614210826747,-0.13075028321029,4.21469720801931,-0.874541196588989,-1.28652098571835,-0.664469726842133,-1.14080917453695,1.30521568770684,0.62809215661505,NA,3.49753348385378,2.35364183093477,3.13896037056099,0.318576815871454
"ARD1A",13,"Unit 12","ARD GZ 5",3,1289.37,12100.3916,1.02,-2.72675542987836,NA,-2.29775982436,1.42933357510586,0.784790008952657,-3.49401058259203,-0.145456934415297,4.22409354706504,-1.1761580174672,-1.15368516161514,-0.770692909359032,-1.48424896155018,1.06632315145714,0.291925776661173,NA,3.30195329040199,2.15034847159337,3.16326530612245,0.316129032258064
"ARD1A",13.2,"Unit 12","ARD GZ 5",3,1321.73,12724.3623,1.11,-2.48164008814557,NA,-1.28771761967314,1.39923618828574,0.875257034620004,-2.48164008814557,-0.172410452432857,4.23321790767043,-1.05452373250542,-2.09864783588947,-0.984997669856815,-1.08704692421099,1.33753636691622,0.776456449875911,-3.11024874756795,3.65759770325184,2.47957150780764,3.24795703945832,0.307885845733592
"ARD1A",13.4,"Unit 12","ARD GZ 5",3,1354.1,13759.11035,1.13,-2.91593645170996,NA,-1.59708337138561,1.31753973455568,0.842225686963522,-2.00837939980456,-0.202105887692254,4.181684320654,-0.892375368424585,-1.03415083082419,-0.886644693715599,-1.054218393875,1.3306936980984,0.671199127216335,-3.65353539484074,3.54335544522116,2.35773177956342,3.27272727272727,0.305555555555556
"ARD1A",13.6,"Unit 12","ARD GZ 5",3,1386.47,13456.82324,2.33,-2.15655186878132,-2.79254063550132,-1.94524277511412,1.61958403032984,1.13382348719748,-2.12756433190807,0.0471873895760897,4.44838779330112,-1.60537494949176,-1.27619314613323,-0.770257507661432,-1.32620356670789,1.62830599102214,1.07401999585007,-2.59186994003917,3.90360158205146,2.7368884520101,3.21141975308642,0.311388755406055
"ARD1A",13.8,"Unit 12","ARD GZ 5",3,1418.84,14416.07617,1.52,-2.02755174721152,-2.59286555626159,-1.73420393722407,1.48467188764413,1.1580492887718,-1.54906150408847,0.249715537798231,4.39904703072728,-0.220754400618929,-1.20657119514169,-1.09324250983469,-1.73420393722407,1.51208918507253,0.892672973834321,-4.01998191190173,3.84309248592204,2.63909830973643,3.33340457362684,0.299993588510611
"ARD1A",14,"Unit 12","ARD GZ 5",3,1451.21,14892.75098,1.09,-2.36571597363451,-2.66198178977768,-1.47540072816361,1.39309608122267,1.082234496732,-2.07803390118273,-0.0204644343215588,4.29843136936258,-0.653999212079988,-1.14647569717778,-0.841891813923398,-0.663301604742302,1.3682839157599,0.552747519128673,-2.893783403835,3.64529978656343,2.4609553900693,3.2685432504623,0.305946693487553
"ARD1A",14.2,"Unit 12","ARD GZ 5",3,1483.58,12453.07324,1.23,-3.4200779948991,-3.70776006735088,-1.71532990266068,1.50898564550334,1.22551410558791,-2.36402532064979,0.187455819760884,4.42817270465401,-0.0527821649126263,-0.772131717866595,-0.357855980076276,-2.72693081433916,1.7201225035518,1.18007964926545,-2.13222370659246,4.09540273258899,2.90338450843517,3.29372197309417,0.30360789652825
"ARD1A",14.4,"Unit 12","ARD GZ 5",3,1515.95,12356.47852,1.17,-3.2967896043265,NA,-1.96555502038964,1.00727548887767,0.763653406219919,-2.06464592303387,-0.442785490601211,4.02590952671834,-1.01586600811363,-1.89279566610721,-0.980019876340498,-2.4094864093256,1.34140079268972,0.792781679142943,NA,3.64681532754933,2.49010777704021,3.17944785276074,0.314520019295707
