"Core","depth_cm","Group","Guano_Zone","Guano_Sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Rb","Sr","Zr","Nb","Mo","In","Sn","Sb","Te","I","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Ta","W","Os","Ir","Pt","Au","Hg","Pb","Bi","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum"
"ARD1A",11.4,"Unit 13","ARD NON GUANO",2,1030.42,10586.56934,0.97,-4.66579480780453,-3.97264762724458,-2.61810196443927,NA,-3.00756673120099,-4.26032969969636,-1.70828374707073,-2.61810196443927,0.409379007429301,-4.44265125649032,0,-2.52572864430826,-2.9610467155661,-0.853592137658591,3.37392693951845,-2.2454266791541,NA,-2.46857023046831,-1.50879438665441,-2.496741107435,NA,NA,-2.41450300919803,NA,-3.00756673120099,1.07720838000496,0.542324290825362,-4.44265125649032,-3.56718251913642,-4.26032969969636,NA,-3.41303183930916,-3.34403896782221,-3.8548645915882,NA,NA,-3.10765018975798,-3.16171741102825,NA,-3.34403896782221,-4.26032969969636,NA,-3.34403896782221,-1.6826413164574,NA,-4.26032969969636,-2.36320971481048,-3.65419389612605,NA,NA,-2.68479333893794,NA,-1.57475235444621,-3.74950407593037,-2.87403533857647,NA,NA,3.48568269502083,2.32284897491095,18211,3.19898547382984,0.312599106241891,34772
"ARD1A",11.6,"Unit 13","ARD NON GUANO",2,1062.78,13329.53125,1.26,NA,NA,-4.41481645749687,-4.82028156560504,-2.76189343312303,-4.82028156560504,-2.94847938870345,-2.40734841544213,0.545694449416815,-5.2257466737132,0,-3.08568051021693,-3.6163087612791,-1.10265269820511,3.33918851368846,-3.08568051021693,-5.00260312239899,-2.006870848845,-1.90251083352076,-2.64174912128097,-3.35394449681161,NA,NA,-1.49404722241634,-2.29455292129678,0.75503602504792,0.157600942019411,NA,NA,NA,-4.82028156560504,NA,-4.30945594183905,-5.00260312239899,NA,NA,-3.08568051021693,-3.24474520484662,-5.00260312239899,-5.2257466737132,-4.41481645749687,-2.15769373857958,-2.20532178756884,-1.33904147626934,-2.68021540210877,NA,NA,-3.14630513203337,-3.52099858147478,-3.47654681890394,-3.6163087612791,-3.72166927693693,-4.30945594183905,-1.68478734967589,-2.3215815936847,NA,NA,3.09165321499704,1.84093358425649,21067,3.49285561953508,0.286298693369154,48429
"ARD1A",11.8,"Unit 13","ARD NON GUANO",2,1095.15,10465.1748,1.12,NA,-3.96894329568083,-3.42994679494814,NA,-3.31216375929176,NA,-2.9704144655697,-2.29051251175978,0.543484838608648,NA,0,-3.89995042419388,NA,-1.03584659311832,3.38125169420083,-1.35050525326831,NA,-1.94456153118402,-1.63818732572009,-2.80133813552577,-3.17401342081094,-2.22597399062221,-2.91912117118215,-2.61901657873181,NA,0.448174658804323,-0.0888533373556913,NA,NA,NA,NA,NA,-3.20680324363393,NA,NA,NA,NA,-3.20680324363393,-4.21010535249772,-4.66209047624077,-3.6122683517421,-3.89995042419388,-2.71618032718546,-1.6735266921654,-4.52855908361625,-3.17401342081094,NA,-2.82381099137783,-2.77935922880699,-3.24070479530961,-3.77478728123987,-2.7367996143882,-3.20680324363393,NA,-2.80133813552577,NA,-2.87033100701272,2.69218045067989,1.54649954985586,14419,3.14458177637252,0.31800731261426,41854
"ARD1A",12,"Unit 13","ARD NON GUANO",2,1127.52,10582.66699,1.25,NA,NA,-3.89436807018943,NA,NA,NA,-2.83831539594011,-2.31024796573961,0.583678719469474,NA,0,-3.02937063270282,-3.89436807018943,-1.02504972149109,3.38877963264458,-1.2031249874036,NA,-3.05603887978498,-2.06178660644112,-2.22430553593889,-3.40886025440772,-2.86029430265889,-4.10200743496767,-2.86029430265889,-3.62243435470578,0.328809363875644,-0.256781910463039,NA,-3.67122451887522,-4.46973221509299,NA,NA,-2.90575667673564,-4.36437169943516,NA,-4.36437169943516,-4.46973221509299,NA,NA,-3.83374344837299,-3.72251781326277,-3.14059626781305,-2.64160510169406,-1.56709036460501,-3.05603887978498,-3.53146257650006,-5.28066243130932,NA,NA,NA,-4.02789946281395,-2.86029430265889,-5.28066243130932,-4.87519732320115,-4.10200743496767,-3.53146257650006,NA,2.62901066551441,1.43229376936775,14186,3.30923450789793,0.302184688819534,43014
"ARD1A",12.2,"Unit 13","ARD NON GUANO",2,1159.89,10957.5498,1.13,NA,NA,-4.28634138453947,NA,-3.88087627643131,NA,-3.25672196735832,-2.23221765084393,0.643806658644095,-4.97948856509942,0,-2.63768275895209,NA,-0.780783987553076,3.45788189444683,-1.70612455494715,NA,-2.24512105567984,-1.32623628862863,-2.28486138432935,-2.54587520969897,-1.26105030874394,-2.39927173550709,-3.69855471963735,-2.46179209248843,0.449857063855022,-0.136877523096293,NA,NA,NA,-4.79716700830546,-4.97948856509942,-3.41087264718557,NA,NA,NA,NA,-4.79716700830546,-5.20263211641363,-3.64448749836708,-3.7557131334773,NA,-2.90004702341958,-1.37399071992453,-2.97800856488929,-2.97800856488929,-3.37005065266532,-2.5284834669871,-2.7822639877632,-3.45343226160437,-3.09241891606704,-4.3917019001973,-3.45343226160437,NA,-2.67690347210537,NA,NA,2.77910117027826,1.58943168807232,15271,3.28599494807746,0.304321831226512,44289
"ARD1A",12.4,"Unit 13","ARD NON GUANO",2,1192.26,12618.46582,1.21,NA,NA,-3.29037535597881,-4.73729433891513,-4.25178652313343,-4.10868567949276,-3.15317423446532,-2.90471287516682,0.604441648000425,-5.43044151947508,0,-2.43470924592109,-4.4188406077966,-0.916838527012477,3.3614244897993,-1.43224081780588,NA,-2.58262937599771,-1.79945604378004,-3.38274867610982,-3.52089901459064,-2.84644396704285,-2.5126707873908,-2.16277553043744,-4.25178652313343,0.445892720379273,-0.251470910559607,-5.02497641136691,-4.87082573153966,-3.77221344287155,-5.43044151947508,NA,NA,-4.73729433891513,-4.87082573153966,-3.55863934257349,NA,NA,NA,-5.02497641136691,-3.44944005060849,-4.73729433891513,-3.0790662623116,-1.29128294146318,-4.4188406077966,-2.72239131837287,-3.44944005060849,-4.17767855097971,-3.12785642648103,-2.79138418985982,-3.29037535597881,-2.77368461276042,-3.03254624667671,NA,-2.39789527279837,NA,NA,2.67138773165375,1.47656347811636,17199,3.30297723292469,0.302757158006363,50444
"ARD1A",12.6,"Unit 13","ARD NON GUANO",2,1224.63,13446.62305,1.25,-5.17803120067353,NA,-3.07797037179096,-4.48488402011359,NA,-5.02388052084628,-3.3322045101752,-2.56307142263734,0.588204288629216,NA,0,-2.92673940206704,-3.67395380389726,-1.0402015265117,3.38464510534511,-1.77683381901138,NA,-2.82665594351006,-2.24240285118925,NA,NA,-4.13657732584537,-3.44343014528543,NA,-2.57534151522915,0.424087620206166,-0.262928333298843,-4.89034912822175,-3.56859328823943,NA,-3.75091484503339,NA,-3.92526823217817,-3.38627173144548,NA,-4.57189539710322,-5.17803120067353,NA,NA,-3.67395380389726,-3.75091484503339,-2.90934765935517,-2.66572557669742,-1.60849850419216,-3.0985896589937,-3.18560103598333,-3.75091484503339,-3.35887275725737,NA,-3.71169413188011,NA,NA,-2.75028296472548,NA,NA,-3.79173683955364,NA,2.55681923137829,1.36275826935105,17877,3.30045706038008,0.30298833819242,56645
"ARD1A",12.8,"Unit 13","ARD NON GUANO",2,1257,11675.71191,1.12,-4.90774087093362,NA,-3.65497790243825,-4.39691524716763,NA,NA,-3.06191418043529,-2.52511307026604,0.621026622111062,NA,0,-2.67414864942653,-4.13455098270014,-0.918756824369349,3.42669066686026,-1.66254773774805,NA,-2.07452752687741,-1.45247626800119,NA,-4.30160506736331,-2.33005248769466,-2.47999263498557,-1.92881571569601,-2.76767470743735,0.51720914654778,-0.159914384544008,NA,-4.50227576282546,-4.13455098270014,NA,-3.99145013905947,-2.98592827345737,NA,NA,NA,NA,-3.52144650981373,-5.31320597904179,NA,-3.3322045101752,-3.9269116179219,-2.52511307026604,-1.99901997436926,-3.14415227867226,-3.48062451529348,-3.56400612423253,-2.63905732961526,NA,-3.56400612423253,-3.01062088604774,-3.3322045101752,-4.39691524716763,-3.70376806660769,-3.80912858226551,NA,-2.55636561377015,2.70952694269472,1.56563528977571,16084,3.13896037056099,0.318576815871454,47426
"ARD1A",13,"Unit 12","ARD GZ 5",3,1289.37,12100.3916,1.02,NA,NA,-3.51154543883102,NA,-3.51154543883102,-4.89783979995091,-3.15487049489229,-3.08254983331266,0.644543566153203,-4.44585467620785,0,-4.27880059154469,-3.18018830287658,-0.930246943367955,3.43930353811238,-1.96094802641985,NA,-1.9384751705678,-1.55548291831169,NA,-3.232832036362,NA,NA,-2.26903897050284,NA,0.281533142504486,-0.492864232291485,NA,NA,-3.62487412413802,NA,NA,-3.34724238753974,NA,NA,NA,-3.28840188751681,-3.70825573307707,NA,-4.76430840732639,-3.28840188751681,NA,-2.60964344440897,-1.20539527967248,-2.8734580354541,-2.49994452715254,-3.26023101055011,-3.5479130830019,NA,-2.97254893809833,-3.26023101055011,NA,-2.8925062304248,-2.68486686564655,NA,-4.76430840732639,NA,2.51716328144933,1.36555846264071,15300,3.16326530612245,0.316129032258064,51162
"ARD1A",13.2,"Unit 12","ARD GZ 5",3,1321.73,12724.3623,1.11,-4.45550941143369,-3.71357206670431,-3.35689712276558,NA,-3.42588999425253,NA,-2.8068507858463,-2.16297465429314,0.523979153665734,NA,0,-3.35689712276558,-3.292358601628,-1.04766748705286,3.35796087305042,-1.92978076712543,NA,-2.97390487050947,-1.86025470447682,-3.66705205106941,-3.62260028849858,-2.18338352592435,-2.99689438873417,-1.96230395883099,-2.0485643031154,0.462279332296219,-0.0988005847440934,NA,-4.81218435537242,NA,-3.71357206670431,NA,-3.86772274653157,-4.19314514696619,NA,NA,-4.6786529627479,-4.45550941143369,-4.45550941143369,-4.36019923162936,-3.53921867955953,-3.62260028849858,-3.26158694296125,-1.14862270924277,-4.05004430332552,-2.38864665196071,-3.62260028849858,-3.42588999425253,-3.98550578218795,-2.95143201465741,-3.17457556597162,NA,NA,NA,NA,NA,NA,2.78234066863184,1.60431447318764,18194,3.24795703945832,0.307885845733592,49411
