"Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Si","Ti","Al","Fe","Mn","Mg","Ca","Na","K","P","Location","Location1","Location2","Reference"
"ARD","ARD1A",29,1988.47,2639.36,2377.18,2358.07,"Freshwater","Unit A12","ARD GZ 5","Guano",20.04788334065,0.73118734946,7.19238517641,5.03689331448,0.09293411148,1.4593251464,5.15319539063,2.040088996,0.50638691829,1.79365227606,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",31,2049.95,2687.73,2440.06,2418.05,"Freshwater","Unit A12","ARD GZ 5","Guano",19.99179227045,0.74916736625,7.23472445633,4.99802839693,0.09293411148,1.4231435312,5.23181556996,2.02525198512,0.44827694406,1.88093462526,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",33,2118.06,2717.92,2508.14,2479.55,"Freshwater","Unit A12","ARD GZ 5","Guano",19.3794647541,0.73718068839,7.10770661657,5.08353121554,0.09293411148,1.4231435312,5.35331948347,1.95848543616,0.43167409428,2.05986344112,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",35,2169.18,2772.8,2575.83,2541.04,"Freshwater","Unit A11","ARD GZ 0","Non Guano",22.7355804544,0.67125396016,7.13946107651,4.90475259481,0.0774450929,1.5015370308,4.03821830195,1.84720785456,0.43167409428,1.13903465706,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",37,2272.18,2789.62,2643.25,2602.1,"Freshwater","Unit A11","ARD GZ 0","Non Guano",23.00201303785,0.66526062123,7.07065974664,4.81147679269,0.0774450929,1.537718646,3.88812523232,1.86946337088,0.43167409428,1.03429583802,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",39,2325.96,2815.67,2712.57,2663.16,"Freshwater","Unit A11","ARD GZ 0","Non Guano",22.93657345595,0.70122065481,7.45171326592,4.95916347938,0.08518960219,1.6643542992,4.23834239479,2.12169255584,0.56449689252,1.02120348564,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",41,2368.01,2849.66,2759.62,2708.66,"Freshwater","Unit A11","ARD GZ 0","Non Guano",21.4361373281,0.76714738304,7.38291193605,5.37890458892,0.09293411148,1.6040516072,4.6457378695,2.13652956672,0.45657836895,1.2655940634,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",43,2401.23,2870.97,2784.57,2738.6,"Freshwater","Unit A11","ARD GZ 0","Non Guano",19.2485855903,0.67125396016,6.99127359679,4.92807154534,0.09293411148,1.2723868012,5.40335050668,1.99557796336,0.53129119296,2.2475204919,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",45,2436.08,2909.07,2805.56,2768.54,"Freshwater","Unit A11","ARD GZ 0","Non Guano",22.16064698485,0.69522731588,7.44112844594,4.90475259481,0.08518960219,1.4291738004,4.92448214167,2.13652956672,0.63920971653,1.75873933638,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",47,2466.9,2923.74,2825.46,2791.29,"Freshwater","Unit A11","ARD GZ 0","Non Guano",16.5094716622,0.58734721514,6.2450437882,4.59383325441,0.10842313006,1.1397208788,6.432560127,1.63948970224,0.39846839472,2.88904575852,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",49,2495.59,2947.24,2844.36,2814.04,"Freshwater","Unit A11","ARD GZ 0","Non Guano",20.49661190225,0.73118734946,7.32998783615,5.23899088574,0.09293411148,1.4593251464,5.42479237377,2.0771815232,0.47318121873,1.95512462208,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",51,2518.94,2969.03,2861.63,2833.23,"Freshwater","Unit A11","ARD GZ 0","Non Guano",23.7358712063,0.78512739983,7.92273775503,5.06798524852,0.09293411148,1.7125964528,4.95307129779,2.27748117008,0.44827694406,1.1346705396,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",53,2541.18,2986.86,2874.52,2848.88,"Freshwater","Unit A11","ARD GZ 0","Non Guano",24.60060853855,0.82108743341,8.18206584454,5.35558563839,0.09293411148,1.8271715676,5.08172250033,2.3368292136,0.45657836895,1.05611642532,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A/B",55,2559.92,3012.59,2887.29,2864.53,"Freshwater","Unit A11","ARD GZ 0","Non Guano",24.6239798178,0.97691424559,8.87007914324,6.36607349469,0.10842313006,2.3638655264,5.59632731049,2.65582494752,0.46487979384,0.78990526026,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",57,2578.45,3026.62,2900.07,2878.81,"Freshwater","Unit A11","ARD GZ 0","Non Guano",23.54422671645,0.76714738304,8.15560379459,5.18458000117,0.09293411148,1.7668688756,5.13890081257,2.29231818096,0.47318121873,1.24813759356,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",58.2,2587.8,3036.01,2907.78,2887.38,"Freshwater","Unit A11","ARD GZ 0","Non Guano",22.5486102204,0.76115404411,8.07621764474,5.15348806713,0.10067862077,1.7970202216,5.39620321765,2.30715519184,0.48148264362,1.45761523164,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",59,2594.01,3043.78,2913.07,2893.09,"Freshwater","Unit A11","ARD GZ 0","Non Guano",23.33855945905,0.92297419522,8.58958141377,6.07070012131,0.10842313006,2.321653642,5.36761406153,2.51487334416,0.43997551917,0.8510029047,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",61,2611.63,3059.76,2925.46,2907.4,"Freshwater","Unit A11","ARD GZ 0","Non Guano",21.5202739334,0.64728060444,7.38820434604,4.42282761719,0.09293411148,1.35681057,4.80297822816,1.9659039416,0.53129119296,1.95512462208,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",61.3,2614.07,3061.66,2927.48,2909.56,"Freshwater","Unit A11","ARD GZ 0","Non Guano",19.8375418274,0.64128726551,7.42525121597,4.29068689752,0.11616763935,1.326659224,5.68924206788,1.90655589808,0.46487979384,2.3566234284,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
