"Al","Fe","Mn","Mg","Ca","Na","K","P"
1.5872752134687,1.24252249298835,-2.8478874250824,0.0254857596075679,1.0890632758894,0.309632761261995,-1.22509591930296,-0.180996158830659
1.563799398765,1.18480207480079,-2.89177211141731,-0.0760280395639794,1.11318898184009,0.239480148106473,-1.23124027765502,0.0977698251239574
1.60496353961424,1.24486632536954,-2.87413846797826,0.00720288636088467,1.07258429772733,0.330406657010997,-1.21360663421597,-0.172278603888773
1.71166979519895,1.34455308357977,-2.81087234108954,0.210920848718699,1.06708906140655,0.491229074065959,-1.1880808353101,-0.826508686570287
1.67601548241421,1.28677987033582,-2.9010199509925,0.14125177015928,1.00095632770747,0.469219269330218,-0.763564045139901,-0.9096387238146
1.7199863255108,1.35492460713039,-2.81329416899883,0.232350236631592,1.07158767634184,0.507855441127367,-1.17145446824869,-0.901955649494464
1.65344049218612,1.32990614004355,-2.83913621398974,0.162336973327544,1.01732841862735,0.47649505339801,-0.754790133451087,-1.04558073014176
1.66362439892863,1.4067210443813,-2.75462934824648,0.262111311201589,1.12666516846134,0.501045970034467,-1.26115159914736,-0.944386945613486
1.4864877756527,1.12686916267949,-3.00876221834778,-0.309266343669106,1.19457335811142,0.142814414095764,-1.05224950931901,0.419533360796519
1.5959722486787,1.1293925709464,-2.91092863027655,-0.0783774401068366,1.13741997109444,0.246591556067845,-1.21402915234338,0.0939588759393793
1.38745752092753,0.946720017993155,-2.67364264937882,-0.767101893771247,1.50171907503797,-0.0930162899448048,-1.25427287243342,0.952137091569629
1.56096252952976,1.00416750634277,-2.92739880347553,-0.552922671686283,1.20447780900152,0.116081333491311,-1.10009782592677,0.694730122723219
1.4752622183867,0.978770991353507,-2.88658515514691,-0.690485801860601,1.28554763524071,0.0431511003267688,-0.980930863351637,0.775269875051458
1.36732502840572,0.965776466397849,-2.78846651195529,-0.811581431843303,1.5324430919037,-0.0703129853947471,-1.20489571932913,1.0097120618152
1.45024533596191,1.02011765040074,-2.72292115886946,-0.39723519124964,1.32050003304573,0.0374327221814656,-1.32224351493621,0.614104123465458
1.46433754693394,1.11691490140194,-2.79415199087129,-0.166876098184942,1.24275626371555,0.177621977797785,-1.33841456975501,0.29781196896202
1.49198134955501,1.13574798375918,-2.85690601803896,-0.103067402044182,1.15857548405656,0.231951929984001,-1.16149574365726,0.10321241638564
1.50954018943778,1.13969142895449,-2.84521660072899,-0.116483905865296,1.18540627804289,0.236342044812352,-1.27169614395634,0.162416709303115
1.48660050773268,1.15142701466968,-2.85044364223338,-0.121710947369682,1.20313770609441,0.197592311269322,-1.31466351344357,0.248060563280536
1.6276722089049,1.25223956724139,-2.89615115753964,0.0685241855571119,1.05783849521133,0.27571014607541,-1.17804947195587,-0.207783973494629
1.63391795713191,1.24896822772295,-2.88022190720146,0.108264084589006,1.035891261259,0.303615587460302,-1.1621202216177,-0.288314989344015
1.59572019851429,1.18851329714413,-2.87559966863615,0.0967134639087177,1.03144847216177,0.339490369529718,-0.98454417626203,-0.391741956360458
1.5585430347078,1.24185964807304,-2.81648961299049,0.0319075856292955,1.09532511470976,0.31855771750184,-1.22462001754964,-0.20508347008161
1.44966574218129,1.09995074409923,-2.87086151578386,-0.254102492469705,1.19202222520624,0.195936714174366,-1.1274420222158,0.314830604808238
1.51178197230871,1.09496411448236,-2.95811643049435,-0.138144022531503,1.09897858231951,0.26394227698761,-0.942763221442654,0.0693567283703226
1.36152198896877,1.05444864091819,-2.69198000210651,-0.339482777036039,1.39110644620111,0.0241188699403702,-1.39039326081749,0.590660093931601
1.49267623074735,1.15683127504126,-2.87516214131692,-0.121323525322141,1.19168200088928,0.23171431220872,-1.24757446327398,0.171156311026431
1.6194990125006,1.17270554201066,-2.82610232536186,0.0877728026374355,1.14977003863861,0.372832272581725,-1.2525818685892,-0.323895474417969
1.63293989762533,1.20913529149466,-2.84486928496486,0.133764410382594,1.15664550964895,0.379790204217156,-1.25299968952401,-0.414406338879815
