"Sample_code","Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Al","Fe","Mg","Mn","Ca","Na","K","P","Location","Location1","Location2","Reference"
"AR-5","ARD Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","ARD Bedrock","ARD Bedrock","Non Guano",1.94688048996706,1.63645940131412,0.855824426559373,-2.40366113772294,1.64322226192072,0.454066907353158,-1.15556308138491,-2.97722926800658,"Ardley Island","Ardley Island","SSI","Machado et al. (2005)"
"AR-1","ARD Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","ARD Bedrock","ARD Bedrock","Non Guano",1.84705746353388,1.67036238641401,0.723352790246289,-2.51076703775246,1.32499700354379,0.451909066799085,-0.805568757004603,-2.70134291577999,"Ardley Island","Ardley Island","SSI","Machado et al. (2005)"
"AR-6","ARD Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","ARD Bedrock","ARD Bedrock","Non Guano",1.87097329387031,1.54026665851448,0.58603681437327,-2.55057936946287,1.35683006476946,0.513559991606408,-0.598405062032708,-2.71868239163835,"Ardley Island","Ardley Island","SSI","Machado et al. (2005)"
"KG-10","ARD Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","ARD Bedrock","ARD Bedrock","Non Guano",2.26929445126082,1.56964253273432,0.786045464132392,-2.32457139625056,1.82565435489469,0.443329690435741,-1.09589142576963,-3.47350367143776,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-12","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",1.90050837943906,1.55909447304549,0.870014544277393,-2.41819149852434,1.73310319980982,0.210920193496197,-1.12151877203775,-2.73393051950587,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-1","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",2.02927529025406,1.68935965801367,0.630514037899099,-2.29502983393457,1.63909819272967,0.573710283690712,-1.0729072639998,-3.19402036465284,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-11","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",2.1417676452031,1.52963214802671,1.06539022282982,-2.62113293481479,1.80764240521897,0.226232323225767,-0.66714867213938,-3.4823831375502,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-15","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",2.04988493662976,1.78384691291587,0.665351779295474,-2.32198014427689,1.65006519630028,0.551192997719536,-1.21454941742883,-3.16381226115521,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-6","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",2.06314269649861,1.70432506698383,0.871904792911557,-2.4003339931908,1.78957856293625,0.518490228831893,-1.63774375263447,-2.90936360233687,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-5","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",1.80421151559834,1.47766883520038,0.36814030953488,-2.35464251652258,1.26640847218848,0.487151696468513,-0.383091930129278,-2.66584638233873,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-14","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",1.78037245713227,1.58417838076634,0.339151564309201,-2.44186263706454,1.24552566550861,0.505292091584384,-0.364951535013407,-2.64770598722286,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-7","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",1.94372774152597,1.59214754706388,0.695877382073763,-2.8193496887886,1.35665657319482,0.703327882175866,-0.626013324541543,-2.84637411270416,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
